player,avg,ngames,teamgames,team
Brandon Marsh,4.30, 10, 15,LAA
Tyler Wade,5.40, 10, 15,LAA
Luis Rengifo,5.60,  5, 15,LAA
Jo Adell,4.73, 11, 15,LAA
Matt Thaiss,6.00,  3, 15,LAA
Jack Mayfield,5.50,  6, 15,LAA
Henry Gatewood,7.67,  3, 15,LAA
Braxton Martinez,8.50,  2, 15,LAA
Magneuris Sierra,9.00,  1, 15,LAA
David Fletcher,6.50,  8, 15,LAA
Shohei Ohtani,1.22,  9, 15,LAA
Mike Trout,2.00,  7, 15,LAA
Jared Walsh,3.89,  9, 15,LAA
Taylor Ward,5.14,  7, 15,LAA
Justin Upton,4.86,  7, 15,LAA
Max Stassi,6.33,  6, 15,LAA
Andrew Velazquez,5.00,  2, 15,LAA
Jose Rojas,4.67,  3, 15,LAA
Michael Stefanic,8.20,  5, 15,LAA
Trey Cabbage,9.00,  1, 15,LAA
Anthony Rendon,3.00,  6, 15,LAA
Austin Romine,9.00,  1, 15,LAA
Orlando Martinez,9.00,  1, 15,LAA
Matt Duffy,3.00,  5, 15,LAA
Chad Wallach,9.00,  1, 15,LAA
Kurt Suzuki,7.25,  4, 15,LAA
Dillon Thomas,8.00,  1, 15,LAA
Aaron Whitefield,7.00,  1, 15,LAA
Pedro Leon,4.50,  2, 12,HOU
Justin Dirden,2.00,  1, 12,HOU
Marty Costes,5.50,  2, 12,HOU
J.J. Matijevic,6.00,  2, 12,HOU
Corey Julks,7.00,  2, 12,HOU
Korey Lee,6.00,  1, 12,HOU
Grae Kessinger,7.00,  1, 12,HOU
Cristian Gonzalez,8.00,  1, 12,HOU
Zach Daniels,9.00,  1, 12,HOU
Leosdany Molina,1.00,  1, 12,HOU
Yeuris Ramirez,2.00,  1, 12,HOU
Wilyer Abreu,2.00,  2, 12,HOU
Luke Berryhill,4.00,  1, 12,HOU
Ramiro Rodriguez,5.00,  1, 12,HOU
Michael Papierski,6.50,  2, 12,HOU
Enmanuel Valdez,7.00,  1, 12,HOU
Rainier Rivas,8.00,  1, 12,HOU
Peter Zimmermann,9.00,  1, 12,HOU
Dauri Lorenzo,1.00,  1, 12,HOU
AJ Lee,2.00,  1, 12,HOU
David Hensley,5.00,  2, 12,HOU
J.C. Correa,4.00,  1, 12,HOU
Alex Holderbach,5.00,  1, 12,HOU
