player,avg,ngames,teamgames,team
Scott Kingery,5.00,  9, 33,LAA
Tim Anderson,4.00, 21, 33,LAA
Mickey Moniak,5.12, 17, 33,LAA
Niko Kavadas,6.33,  3, 33,LAA
Matthew Lugo,6.00, 14, 33,LAA
Ryan Noda,6.00, 12, 33,LAA
Chuckie Robinson,8.50,  6, 33,LAA
Yolmer Sanchez,8.00,  1, 33,LAA
Gustavo Campero,9.00,  2, 33,LAA
Mike Trout,2.65, 17, 33,LAA
Travis d'Arnaud,2.75, 12, 33,LAA
Taylor Ward,1.59, 17, 33,LAA
Jorge Soler,3.95, 20, 33,LAA
Yoan Moncada,5.00, 10, 33,LAA
Nolan Schanuel,4.14, 22, 33,LAA
Jo Adell,6.05, 21, 33,LAA
Christian Moore,5.90, 10, 33,LAA
Kevin Newman,8.44, 18, 33,LAA
Logan O'Hoppe,3.00, 13, 33,LAA
Cole Fontenelle,7.67,  3, 33,LAA
David Mershon,4.40,  5, 33,LAA
Nelson Rada,6.80,  5, 33,LAA
J.D. Davis,6.40, 10, 33,LAA
Carter Kieboom,9.00,  1, 33,LAA
Luis Rengifo,4.60, 10, 33,LAA
Sebastian  Rivero,9.00,  1, 33,LAA
Kyren Paris,7.71,  7, 33,LAA
Kevyn Castillo,9.00,  1, 33,LAA
Pedro Leon,1.00,  1, 29,HOU
Cooper Hummel,1.25,  8, 29,HOU
Ben Gamel,4.00,  7, 29,HOU
Brice Matthews,5.67,  3, 29,HOU
Cesar Salazar,7.50,  4, 29,HOU
Zack Short,7.38,  8, 29,HOU
Jesus Bastidas,8.00,  2, 29,HOU
Zach Daniels,8.00,  1, 29,HOU
Miguel Palma,9.00,  1, 29,HOU
Yainer Diaz,3.60, 15, 29,HOU
Zach Dezenzo,4.80, 15, 29,HOU
Shay Whitcomb,6.43,  7, 29,HOU
Quincy Hamilton,6.00,  4, 29,HOU
Tommy Sacco Jr.,7.00,  1, 29,HOU
Luis Castro,7.33,  3, 29,HOU
Joseph Sullivan,9.00,  1, 29,HOU
Mauricio Dubon,6.64, 14, 29,HOU
Isaac Paredes,2.27, 15, 29,HOU
Christian Walker,3.25,  4, 29,HOU
Victor Caratini,4.92, 13, 29,HOU
Chas McCormick,6.53, 15, 29,HOU
Jake Meyers,7.86, 14, 29,HOU
Luis Guillorme,7.62,  8, 29,HOU
Kenedy Corona,6.25,  4, 29,HOU
Jon Singleton,5.00, 13, 29,HOU
Brendan Rodgers,6.50, 12, 29,HOU
Jeremy Pena,3.71, 14, 29,HOU
Yordan Alvarez,2.58, 12, 29,HOU
Cam Smith,3.50, 10, 29,HOU
Jose Altuve,1.00, 14, 29,HOU
Jacob Melton,7.67,  3, 29,HOU
Joe Hudson,9.00,  2, 29,HOU
Collin Price,8.50,  2, 29,HOU
Nehomar Ochoa Jr.,9.00,  1, 29,HOU
Colin Barber,9.00,  1, 29,HOU
JJ Bleday,3.06, 17, 31,ATH
Brent Rooker,2.06, 16, 31,ATH
Shea Langeliers,3.65, 17, 31,ATH
Seth Brown,5.31, 16, 31,ATH
Gio Urshela,5.07, 14, 31,ATH
Miguel Andujar,4.11, 18, 31,ATH
Max Schuemann,4.53, 15, 31,ATH
Nick Kurtz,7.33,  6, 31,ATH
Brett Harris,9.00,  1, 31,ATH
Lawrence Butler,1.00, 15, 31,ATH
Jacob Wilson,5.06, 18, 31,ATH
Tyler Soderstrom,3.88, 17, 31,ATH
Luis Urias,5.62, 13, 31,ATH
Zack Gelof,5.38, 13, 31,ATH
CJ Alexander,6.60, 10, 31,ATH
Esteury Ruiz,7.33,  9, 31,ATH
Darell Hernaiz,6.88,  8, 31,ATH
Colby Thomas,8.75,  4, 31,ATH
Max Muncy,6.08, 25, 31,ATH
Drew Avans,7.29,  7, 31,ATH
Denzel Clarke,9.00,  4, 31,ATH
Jhonny Pereda,5.50,  8, 31,ATH
Logan Davidson,8.00,  5, 31,ATH
Kyle McCann,6.50,  2, 31,ATH
Henry Bolte,9.00,  1, 31,ATH
Alejo Lopez,7.00,  1, 31,ATH
Carlos Cortes,8.00,  1, 31,ATH
Luke Mann,9.00,  1, 31,ATH
Willie MacIver,6.00,  1, 31,ATH
Leo Jimenez,5.62,  8, 29,TOR
Addison Barger,4.33,  9, 29,TOR
Orelvis Martinez,6.40,  5, 29,TOR
Christian Bethancourt,5.00,  3, 29,TOR
Alan Roden,5.75,  8, 29,TOR
Steward Berroa,7.11,  9, 29,TOR
Myles Straw,8.10, 10, 29,TOR
RJ Schreck,8.50,  2, 29,TOR
Rainer Nunez,8.50,  4, 29,TOR
Bo Bichette,1.47, 17, 29,TOR
Andres Gimenez,4.29, 17, 29,TOR
Vladimir Guerrero Jr.,2.24, 17, 29,TOR
Alejandro Kirk,5.94, 16, 29,TOR
Will Wagner,3.64, 14, 29,TOR
Ernie Clement,6.13, 15, 29,TOR
Davis Schneider,5.20, 10, 29,TOR
Nathan Lukes,6.79, 14, 29,TOR
George Springer,4.67, 15, 29,TOR
Tyler Heineman,6.00,  9, 29,TOR
Matt Whatley,9.00,  1, 29,TOR
Daulton Varsho,3.45, 11, 29,TOR
Joey Loperfido,4.33,  9, 29,TOR
Anthony Santander,3.00, 16, 29,TOR
Arjun Nimmala,8.00,  1, 29,TOR
Michael Stefanic,7.75,  4, 29,TOR
Jonatan Clase,8.50,  2, 29,TOR
Riley Tirotta,8.75,  4, 29,TOR
Ali Sanchez,8.00,  1, 29,TOR
Josh Rivera,9.00,  1, 29,TOR
Eli White,4.69, 13, 31,ATL
Austin Riley,2.16, 19, 31,ATL
Matt Olson,3.16, 19, 31,ATL
Marcell Ozuna,3.95, 19, 31,ATL
Michael Harris II,5.00, 19, 31,ATL
Bryan De La Cruz,4.56, 16, 31,ATL
Orlando Arcia,7.33, 18, 31,ATL
Jake Marisnick,8.10, 10, 31,ATL
Chadwick Tromp,7.27, 11, 31,ATL
Jarred Kelenic,5.71, 17, 31,ATL
Sean Murphy,4.50,  2, 31,ATL
Conner Capel,6.75,  8, 31,ATL
Nick Allen,3.29,  7, 31,ATL
Christian Cairo,7.50,  6, 31,ATL
Nacho Alvarez Jr.,2.00,  2, 31,ATL
Garrett Cooper,4.20, 10, 31,ATL
Curt Casali,8.00,  3, 31,ATL
Luke Williams,5.14,  7, 31,ATL
Jose Devers,8.00,  2, 31,ATL
Jurickson Profar,1.00, 11, 31,ATL
Ozzie Albies,3.59, 17, 31,ATL
Eddy Alvarez,6.00,  3, 31,ATL
Sandy Leon,6.50,  4, 31,ATL
Drake Baldwin,6.00, 13, 31,ATL
Carlos D. Rodriguez,5.00,  1, 31,ATL
David McCabe,8.00,  1, 31,ATL
Kevin Kilpatrick Jr.,8.00,  2, 31,ATL
Charles Leblanc,8.50,  2, 31,ATL
Patrick Clohisy,6.50,  2, 31,ATL
Stephen Paolini,9.00,  1, 31,ATL
Cal Conley,8.00,  2, 31,ATL
Tyler Tolve,9.00,  1, 31,ATL
Jace Grady,7.00,  1, 31,ATL
Matthew Batten,8.00,  1, 31,ATL
Caleb Durbin,4.75, 16, 31,MIL
Luis Lara,6.00,  3, 31,MIL
Jake Bauers,5.00, 12, 31,MIL
Oliver Dunn,5.12, 17, 31,MIL
Jorge Alfaro,7.62,  8, 31,MIL
Isaac Collins,5.25,  8, 31,MIL
Vinny Capra,5.14, 14, 31,MIL
Ernesto Martinez Jr.,7.00,  2, 31,MIL
Brewer Hicklen,8.40,  5, 31,MIL
Jackson Chourio,2.12, 17, 31,MIL
Brice Turang,2.82, 11, 31,MIL
William Contreras,3.14, 14, 31,MIL
Garrett Mitchell,4.38, 16, 31,MIL
Rhys Hoskins,4.38, 16, 31,MIL
