player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
David Fletcher,LAA,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Jay,LAA,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
Jared Walsh,LAA,0.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Jo Adell,LAA,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
Juan Lagares,LAA,0.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0
Luis Rengifo,LAA,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0
Taylor Ward,LAA,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0
Anthony Bemboom,LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0
Matt Thaiss,LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
Dexter Fowler,LAA,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,9.0
Shohei Ohtani,LAA,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Trout,LAA,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Pujols,LAA,0.0,0.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0
Justin Upton,LAA,0.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0
Jose Iglesias,LAA,0.0,0.0,1.0,0.0,0.0,2.0,10.0,1.0,6.0
Jose Rojas,LAA,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0
Kurt Suzuki,LAA,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0
Franklin Barreto,LAA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Phil Gosselin,LAA,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Scott Schebler,LAA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Anthony Rendon,LAA,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
Brandon Marsh,LAA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Max Stassi,LAA,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0
Jack Mayfield,LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Anthony Mulrine,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Myles Straw,HOU,6.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
Jose Altuve,HOU,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Tucker,HOU,0.0,1.0,2.0,7.0,5.0,1.0,1.0,0.0,0.0
Aledmys Diaz,HOU,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
Jason Castro,HOU,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0
Abraham Toro,HOU,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0
Steven Souza Jr.,HOU,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0
Alex De Goti,HOU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Scott Manea,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Carlos Correa,HOU,3.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0
Yuli Gurriel,HOU,0.0,0.0,1.0,1.0,2.0,8.0,5.0,0.0,0.0
Martin Maldonado,HOU,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,6.0
C.J. Hinojosa,HOU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jake Meyers,HOU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Zach Daniels,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Korey Lee,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Michael Brantley,HOU,0.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Taylor Jones,HOU,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Bryan De La Cruz,HOU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jeremy Pena,HOU,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Freudis Nova,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Garrett Stubbs,HOU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Chas McCormick,HOU,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Michael Papierski,HOU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Dawson,HOU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Colin Barber,HOU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robel Garcia,HOU,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
Jose Siri,HOU,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Grae Kessinger,HOU,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Pedro Leon,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lorenzo Quintana,HOU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Colton Shaver,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yordan Alvarez,HOU,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0
Alex Bregman,HOU,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramon Laureano,OAK,2.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0
Elvis Andrus,OAK,2.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
Chad Pinder,OAK,0.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0
Mark Canha,OAK,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Mitch Moreland,OAK,0.0,0.0,1.0,2.0,6.0,4.0,2.0,0.0,0.0
Austin Allen,OAK,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0
Michael Reed,OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
Seth Brown,OAK,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0
Tony Kemp,OAK,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
Vimael Machin,OAK,2.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0
Matt Olson,OAK,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Chapman,OAK,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
Stephen Piscotty,OAK,0.0,0.0,1.0,0.0,5.0,3.0,3.0,2.0,1.0
