player,avg,ngames,teamgames,team
David Fletcher,1.10, 20, 29,LAA
Jon Jay,4.12,  8, 29,LAA
Jared Walsh,2.59, 17, 29,LAA
Jo Adell,6.00,  6, 29,LAA
Juan Lagares,4.70, 10, 29,LAA
Luis Rengifo,6.78,  9, 29,LAA
Taylor Ward,5.14,  7, 29,LAA
Anthony Bemboom,8.14,  7, 29,LAA
Matt Thaiss,8.00,  4, 29,LAA
Dexter Fowler,6.42, 19, 29,LAA
Shohei Ohtani,2.00, 13, 29,LAA
Mike Trout,2.68, 19, 29,LAA
Albert Pujols,5.63, 19, 29,LAA
Justin Upton,4.95, 19, 29,LAA
Jose Iglesias,7.35, 20, 29,LAA
Jose Rojas,5.57,  7, 29,LAA
Kurt Suzuki,7.67, 12, 29,LAA
Franklin Barreto,6.17,  6, 29,LAA
Phil Gosselin,6.25,  4, 29,LAA
Scott Schebler,7.00,  3, 29,LAA
Anthony Rendon,3.94, 17, 29,LAA
Brandon Marsh,5.00,  2, 29,LAA
Max Stassi,7.40, 10, 29,LAA
Jack Mayfield,8.00,  2, 29,LAA
Anthony Mulrine,9.00,  1, 29,LAA
Myles Straw,4.94, 16, 24,HOU
Jose Altuve,1.50, 18, 24,HOU
Kyle Tucker,4.35, 17, 24,HOU
Aledmys Diaz,4.17,  6, 24,HOU
Jason Castro,6.57,  7, 24,HOU
Abraham Toro,6.88,  8, 24,HOU
Steven Souza Jr.,6.14,  7, 24,HOU
Alex De Goti,8.00,  4, 24,HOU
Scott Manea,9.00,  1, 24,HOU
Carlos Correa,3.62, 16, 24,HOU
Yuli Gurriel,5.88, 17, 24,HOU
Martin Maldonado,6.93, 14, 24,HOU
C.J. Hinojosa,7.50,  2, 24,HOU
Jake Meyers,7.50,  2, 24,HOU
Zach Daniels,8.00,  1, 24,HOU
Korey Lee,9.00,  1, 24,HOU
Michael Brantley,2.50, 16, 24,HOU
Taylor Jones,6.40,  5, 24,HOU
Bryan De La Cruz,7.50,  2, 24,HOU
Jeremy Pena,7.60,  5, 24,HOU
Freudis Nova,8.50,  2, 24,HOU
Garrett Stubbs,8.25,  4, 24,HOU
Chas McCormick,4.00,  6, 24,HOU
Michael Papierski,3.00,  1, 24,HOU
Ronnie Dawson,7.33,  3, 24,HOU
Colin Barber,7.00,  1, 24,HOU
Robel Garcia,6.00,  6, 24,HOU
Jose Siri,2.33,  6, 24,HOU
Grae Kessinger,6.50,  2, 24,HOU
Pedro Leon,9.00,  1, 24,HOU
Lorenzo Quintana,7.00,  1, 24,HOU
Colton Shaver,9.00,  1, 24,HOU
Yordan Alvarez,4.80, 10, 24,HOU
Alex Bregman,3.00,  7, 24,HOU
Ramon Laureano,3.31, 13, 28,OAK
Elvis Andrus,3.94, 16, 28,OAK
Chad Pinder,5.22, 18, 28,OAK
Mark Canha,1.47, 17, 28,OAK
Mitch Moreland,5.27, 15, 28,OAK
Austin Allen,7.25,  8, 28,OAK
Michael Reed,8.20,  5, 28,OAK
Seth Brown,5.00,  8, 28,OAK
Tony Kemp,5.00, 13, 28,OAK
Vimael Machin,5.46, 13, 28,OAK
Matt Olson,3.00, 17, 28,OAK
Matt Chapman,3.78, 18, 28,OAK
