player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
TJ Friedl,1.0,8,14,CIN,TJ Friedl ,514,0.246,0.036,17,9,56,17,65,18,14,8,87,,742.0,228.0
LaMonte Wade Jr.,1.0,7,14,SF,LaMonte Wade Jr. ,441,0.243,0.035,11,7,50,14,40,13,3,4,181,,742.0,301.0
Lawrence Butler,1.0,6,15,ATH,Lawrence Butler ,607,0.247,0.038,19,10,57,18,53,18,11,8,88,,742.0,135.0
Jarren Duran,1.0,7,14,BOS,Jarren Duran ,647,0.273,0.037,14,9,86,23,64,20,27,15,41,,742.0,95.0
Brenton Doyle,1.0,8,15,COL,Brenton Doyle ,614,0.239,0.037,15,9,62,19,55,18,24,12,90,,742.0,128.0
Matt Wallner,1.0,7,14,MIN,Matt Wallner ,486,0.25,0.041,19,9,48,15,57,16,3,4,136,,742.0,256.0
Jurickson Profar,1.0,6,14,ATL,Jurickson Profar ,598,0.257,0.035,16,9,75,21,64,19,6,6,77,,742.0,144.0
Ketel Marte,1.0,9,16,AZ,Ketel Marte ,620,0.278,0.039,29,13,91,23,87,23,7,6,16,,742.0,122.0
CJ Abrams,1.0,7,14,WSH,CJ Abrams ,585,0.247,0.035,14,9,70,20,53,17,31,13,76,,742.0,157.0
Victor Robles,1.0,8,17,SEA,Victor Robles ,497,0.277,0.038,5,5,64,17,40,14,39,13,152,,742.0,245.0
Marcus Semien,1.0,9,16,TEX,Marcus Semien ,657,0.252,0.035,23,12,93,24,77,22,10,8,21,,742.0,85.0
Ian Happ,1.0,9,16,CHC,Ian Happ ,644,0.249,0.035,21,11,83,23,79,22,11,8,28,,742.0,98.0
Masyn Winn,1.0,7,15,STL,Masyn Winn ,628,0.233,0.036,10,7,53,18,44,16,8,7,154,,742.0,114.0
Xavier Edwards,1.0,7,14,MIA,Xavier Edwards ,571,0.312,0.053,1,5,37,14,24,11,27,12,234,,742.0,171.0
Steven Kwan,1.0,7,14,CLE,Steven Kwan ,642,0.283,0.04,10,8,83,23,49,17,14,9,81,,742.0,100.0
Jonathan India,1.0,7,16,KC,Jonathan India ,569,0.25,0.035,15,9,76,20,58,18,10,7,80,,742.0,173.0
Luis Arraez,1.0,8,15,SD,Luis Arraez ,639,0.315,0.05,7,6,78,22,55,18,7,6,105,,742.0,103.0
Francisco Lindor,1.0,6,15,NYM,Francisco Lindor ,659,0.266,0.036,28,13,98,25,90,24,22,12,5,,742.0,83.0
Tommy Pham,1.12,8,15,PIT,Tommy Pham ,482,0.246,0.033,11,7,54,16,48,15,10,7,132,,740.0,258.0
Yandy Diaz,1.17,6,15,TB,Yandy Diaz ,619,0.291,0.042,16,10,73,21,70,20,2,9,84,,739.0,120.0
Trea Turner,1.17,6,14,PHI,Trea Turner ,644,0.285,0.041,22,12,97,25,73,21,24,12,9,,739.0,95.0
Bo Bichette,1.25,8,15,TOR,Bo Bichette ,600,0.259,0.034,13,9,63,19,64,19,8,7,83,,738.0,138.0
Mookie Betts,1.44,9,17,LAD,Mookie Betts ,647,0.287,0.041,29,13,103,25,93,24,15,10,4,,734.0,87.0
Jazz Chisholm Jr.,1.57,7,14,NYY,Jazz Chisholm Jr. ,587,0.252,0.035,24,12,76,21,74,20,33,13,19,,732.0,145.0
Julio Rodriguez,1.62,8,17,SEA,Julio Rodriguez ,646,0.276,0.038,22,11,80,22,74,21,23,12,18,,731.0,85.0
Trey Sweeney,1.62,8,14,DET,Trey Sweeney ,335,0.222,0.046,6,4,16,7,24,8,2,3,316,,731.0,396.0
Corbin Carroll,1.67,6,16,AZ,Corbin Carroll ,643,0.253,0.037,19,11,96,24,66,20,31,14,26,,730.0,87.0
Austin Wells,1.67,6,14,NYY,Austin Wells ,449,0.225,0.048,7,5,23,10,29,11,0,4,293,,730.0,281.0
Dylan Crews,1.71,7,14,WSH,Dylan Crews ,570,0.224,0.045,6,6,28,12,18,10,24,11,240,,729.0,159.0
Matt McLain,1.86,7,14,CIN,Matt McLain ,550,0.29,0.068,6,6,26,11,21,10,5,5,269,,727.0,177.0
Alex Bregman,2.0,7,14,BOS,Alex Bregman ,637,0.26,0.036,22,12,83,23,80,22,3,6,55,,724.0,87.0
