player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Nolan Gorman,5.39,18,30,STL,Nolan Gorman ,416,0.221,0.035,19,8,45,13,53,14,5,4,144,,663.0,247.0
Gabriel Arias,5.39,18,32,CLE,Gabriel Arias ,134,0.216,0.034,2,1,10,3,9,3,2,1,364,,663.0,529.0
Bryson Stott,5.41,17,30,PHI,Bryson Stott ,583,0.256,0.035,11,8,64,19,53,17,26,12,95,,663.0,80.0
Miguel Amaya,5.44,9,24,CHC,Miguel Amaya ,308,0.224,0.037,6,4,24,8,30,9,0,3,307,,662.0,354.0
Bo Naylor,5.44,16,32,CLE,Bo Naylor ,410,0.213,0.037,12,7,37,12,37,12,5,4,188,,662.0,252.0
Will Brennan,5.44,16,32,CLE,Will Brennan ,251,0.267,0.037,3,3,20,7,17,6,3,3,315,,662.0,411.0
Rob Refsnyder,5.44,9,29,BOS,Rob Refsnyder ,218,0.268,0.036,5,3,25,7,25,7,2,2,286,,662.0,444.0
Brett Baty,5.47,17,31,NYM,Brett Baty ,106,0.224,0.036,2,1,8,2,8,2,0,1,392,,662.0,556.0
Alex Call,5.5,14,30,WSH,Alex Call ,247,0.277,0.038,5,3,27,8,24,7,6,4,258,,661.0,414.0
Wilmer Flores,5.53,17,30,SF,Wilmer Flores ,366,0.235,0.034,10,6,36,11,42,12,0,3,230,,660.0,294.0
J.P. Crawford,5.53,17,32,SEA,J.P. Crawford ,565,0.231,0.033,11,8,69,19,48,16,5,5,130,,660.0,95.0
Ildemaro Vargas,5.54,13,34,AZ,Ildemaro Vargas ,125,0.248,0.032,1,1,10,3,11,3,2,1,368,,660.0,535.0
Rowdy Tellez,5.56,16,32,SEA,Rowdy Tellez ,136,0.231,0.034,4,2,12,4,17,4,0,1,354,,660.0,524.0
Luis Campusano,5.57,7,32,SD,Luis Campusano ,316,0.263,0.039,8,5,33,10,36,10,0,3,257,,660.0,344.0
Jose Tena,5.57,14,30,WSH,Jose Tena ,347,0.268,0.047,3,3,15,7,15,7,5,4,321,,660.0,313.0
Oswaldo Cabrera,5.58,19,33,NYY,Oswaldo Cabrera ,340,0.239,0.034,7,4,39,11,32,10,5,4,212,,660.0,320.0
Luis Urias,5.62,13,31,ATH,Luis Urias ,217,0.204,0.033,6,3,23,7,26,7,0,2,322,,659.0,442.0
Nolan Jones,5.62,16,32,CLE,Nolan Jones ,487,0.25,0.038,9,6,44,14,43,14,10,7,168,,659.0,172.0
Pete Crow-Armstrong,5.62,13,24,CHC,Pete Crow-Armstrong ,525,0.239,0.046,6,5,30,12,28,12,17,9,225,,659.0,134.0
Manuel Margot,5.67,12,31,MIL,Manuel Margot ,159,0.251,0.032,2,1,17,5,16,5,2,2,342,,658.0,499.0
Patrick Bailey,5.67,15,30,SF,Patrick Bailey ,450,0.235,0.036,7,5,34,12,41,13,2,4,220,,658.0,208.0
Brandon Marsh,5.68,19,30,PHI,Brandon Marsh ,493,0.258,0.035,13,8,58,16,59,17,13,8,98,,658.0,165.0
Trent Grisham,5.69,13,33,NYY,Trent Grisham ,186,0.199,0.032,6,3,20,6,22,6,2,2,312,,658.0,472.0
Jarred Kelenic,5.71,17,31,ATL,Jarred Kelenic ,214,0.222,0.033,6,3,22,7,22,6,4,2,279,,657.0,443.0
Taylor Walls,5.8,15,30,TB,Taylor Walls ,221,0.196,0.029,2,2,25,7,16,6,11,4,292,,656.0,435.0
Harrison Bader,5.82,17,31,MIN,Harrison Bader ,312,0.242,0.033,7,4,39,11,35,10,13,6,186,,655.0,343.0
Tyrone Taylor,5.87,15,31,NYM,Tyrone Taylor ,286,0.244,0.033,8,5,38,10,34,9,7,4,198,,654.0,368.0
Austin Barnes,5.89,9,23,LAD,Austin Barnes ,133,0.225,0.031,1,1,11,3,10,3,1,1,359,,654.0,521.0
Travis Jankowski,5.9,10,24,CHC,Travis Jankowski ,119,0.227,0.033,0,1,11,3,7,3,5,2,355,,654.0,535.0
Ben Rortvedt,5.91,11,30,TB,Ben Rortvedt ,241,0.228,0.046,1,2,10,5,11,5,0,2,384,,654.0,413.0
Connor Wong,5.92,12,29,BOS,Connor Wong ,384,0.265,0.038,7,5,37,11,30,10,5,4,214,,653.0,269.0
Alejandro Kirk,5.94,16,29,TOR,Alejandro Kirk ,414,0.251,0.034,8,5,33,11,50,14,0,4,219,,653.0,239.0
Tyler Heineman,6.0,9,29,TOR,Tyler Heineman ,138,0.219,0.11,0,1,1,1,1,1,0,1,413,,652.0,514.0
Romy Gonzalez,6.0,7,29,BOS,Romy Gonzalez ,111,0.259,0.042,1,1,8,3,8,3,2,1,373,,652.0,541.0
Otto Lopez,6.0,17,30,MIA,Otto Lopez ,452,0.271,0.048,3,4,25,10,20,9,9,6,273,,652.0,200.0
Danny Jansen,6.0,11,30,TB,Danny Jansen ,342,0.222,0.034,13,6,41,11,41,11,1,3,211,,652.0,310.0
Jo Adell,6.05,21,33,LAA,Jo Adell ,447,0.22,0.039,12,7,35,12,42,13,7,5,179,,651.0,204.0
Mike Yastrzemski,6.06,16,30,SF,Mike Yastrzemski ,475,0.23,0.034,17,9,61,17,55,16,3,4,131,,651.0,176.0
Miguel Rojas,6.08,13,23,LAD,Miguel Rojas ,163,0.26,0.034,2,2,18,5,14,4,3,2,339,,651.0,488.0
Max Muncy,6.08,25,31,ATH,Max Muncy ,518,0.23,0.036,28,12,80,20,84,20,2,5,78,,651.0,133.0
Ernie Clement,6.13,15,29,TOR,Ernie Clement ,327,0.246,0.038,4,4,24,8,22,8,3,3,285,,650.0,323.0
Eddie Rosario,6.14,7,23,LAD,Eddie Rosario ,197,0.21,0.031,6,3,20,6,22,6,3,2,299,,649.0,452.0
Christian Vazquez,6.14,14,31,MIN,Christian Vazquez ,289,0.232,0.031,5,3,27,8,26,8,2,2,277,,649.0,360.0
Wilyer Abreu,6.17,6,29,BOS,Wilyer Abreu ,462,0.255,0.049,7,5,30,11,29,11,4,4,247,,649.0,187.0
Dominic Canzone,6.18,11,32,SEA,Dominic Canzone ,105,0.205,0.035,3,1,9,3,8,2,0,1,383,,649.0,544.0
Nick Fortes,6.18,11,30,MIA,Nick Fortes ,332,0.223,0.032,5,4,31,10,26,9,2,3,271,,649.0,317.0
Ty France,6.19,16,31,MIN,Ty France ,375,0.245,0.033,9,5,38,12,38,11,1,3,231,,649.0,274.0
Jose Siri,6.19,16,31,NYM,Jose Siri ,372,0.203,0.033,15,7,44,12,39,12,10,6,161,,649.0,277.0
Joey Ortiz,6.19,16,31,MIL,Joey Ortiz ,559,0.243,0.048,6,6,32,13,32,13,5,5,235,,649.0,90.0
Sam Hilliard,6.2,15,33,COL,Sam Hilliard ,265,0.231,0.042,9,5,28,8,27,8,4,3,248,,648.0,383.0
Tyler Fitzgerald,6.2,15,30,SF,Tyler Fitzgerald ,541,0.274,0.051,10,7,41,14,26,11,14,8,184,,648.0,107.0
Brooks Lee,6.21,14,31,MIN,Brooks Lee ,449,0.227,0.044,4,4,13,10,31,11,3,4,301,,648.0,199.0
Luis Torrens,6.25,16,31,NYM,Luis Torrens ,155,0.229,0.038,2,2,11,4,11,4,0,1,376,,648.0,493.0
Juan Yepez,6.27,11,30,WSH,Juan Yepez ,101,0.275,0.044,1,1,7,2,6,2,0,1,396,,647.0,546.0
Michael A. Taylor,6.29,14,31,CWS,Michael A. Taylor ,172,0.216,0.032,4,2,19,5,16,5,5,2,310,,647.0,475.0
Pedro Pages,6.31,13,30,STL,Pedro Pages ,223,0.241,0.047,3,2,10,4,13,5,1,2,363,,646.0,423.0
Kevin Pillar,6.33,12,32,TEX,Kevin Pillar ,159,0.231,0.036,5,2,17,5,20,5,3,2,324,,646.0,487.0
Joey Gallo,6.33,9,31,CWS,Joey Gallo ,180,0.176,0.032,8,3,19,5,20,6,1,1,311,,646.0,466.0
Kyle Higashioka,6.36,14,32,TEX,Kyle Higashioka ,289,0.227,0.034,14,6,30,9,42,11,1,2,215,,646.0,357.0
Stuart Fairchild,6.38,13,30,CIN,Stuart Fairchild ,221,0.227,0.035,6,3,27,7,23,7,7,4,259,,645.0,424.0
J.D. Davis,6.4,10,33,LAA,J.D. Davis ,115,0.235,0.033,3,1,11,3,9,3,0,1,375,,645.0,530.0
Jonah Heim,6.43,14,32,TEX,Jonah Heim ,357,0.235,0.033,11,6,37,11,48,13,1,3,201,,644.0,287.0
Kyle Farmer,6.46,13,33,COL,Kyle Farmer ,232,0.237,0.033,5,3,26,7,26,7,2,2,287,,644.0,412.0
Brendan Rodgers,6.5,12,29,HOU,Brendan Rodgers ,304,0.266,0.035,7,4,36,10,31,9,1,3,252,,643.0,339.0
Austin Martin,6.5,14,31,MIN,Austin Martin ,155,0.257,0.048,0,1,11,4,5,2,2,1,382,,643.0,488.0
Jose Caballero,6.5,16,30,TB,Jose Caballero ,301,0.229,0.036,4,3,29,9,21,8,21,7,254,,643.0,342.0
Chas McCormick,6.53,15,29,HOU,Chas McCormick ,414,0.239,0.034,13,7,50,14,50,14,10,6,140,,642.0,228.0
Jason Heyward,6.56,18,32,SD,Jason Heyward ,332,0.231,0.034,11,6,42,11,39,11,4,3,191,,642.0,310.0
Mauricio Dubon,6.64,14,29,HOU,Mauricio Dubon ,344,0.264,0.035,5,4,41,11,35,11,3,3,224,,640.0,296.0
Ramon Urias,6.67,12,29,BAL,Ramon Urias ,238,0.255,0.034,6,3,28,8,27,8,1,2,281,,640.0,402.0
Jordan Beck,6.68,19,33,COL,Jordan Beck ,367,0.186,0.041,3,3,14,7,13,7,5,4,330,,640.0,273.0
Carson Kelly,6.7,10,24,CHC,Carson Kelly ,273,0.226,0.032,6,4,27,8,29,8,1,2,282,,639.0,366.0
Korey Lee,6.73,11,31,CWS,Korey Lee ,209,0.213,0.043,2,2,9,4,9,4,1,2,369,,639.0,430.0
Michael Siani,6.87,15,30,STL,Michael Siani ,242,0.232,0.046,1,2,15,6,7,4,7,4,344,,636.0,394.0
Darell Hernaiz,6.88,8,31,ATH,Darell Hernaiz ,138,0.188,0.043,0,1,4,2,6,2,0,1,408,,636.0,498.0
Isiah Kiner-Falefa,6.88,17,30,PIT,Isiah Kiner-Falefa ,483,0.263,0.035,7,5,54,16,44,14,13,8,151,,636.0,153.0
Austin Hedges,6.88,16,32,CLE,Austin Hedges ,179,0.168,0.028,2,2,14,5,16,5,1,1,350,,636.0,457.0
Andruw Monasterio,6.9,10,31,MIL,Andruw Monasterio ,124,0.231,0.035,1,1,10,3,10,3,3,1,365,,636.0,512.0
Geraldo Perdomo,6.95,19,34,AZ,Geraldo Perdomo ,465,0.254,0.036,5,6,62,17,41,13,10,6,174,,635.0,170.0
Joey Wiemer,7.0,9,33,KC,Joey Wiemer ,128,0.209,0.059,1,1,4,2,3,2,0,1,406,,634.0,506.0
Angel Martinez,7.0,13,32,CLE,Angel Martinez ,190,0.231,0.045,1,1,8,4,6,3,1,1,378,,634.0,444.0
Ceddanne Rafaela,7.0,15,29,BOS,Ceddanne Rafaela ,432,0.248,0.046,5,4,25,10,27,10,6,5,263,,634.0,202.0
Joshua Palacios,7.0,6,30,PIT,Joshua Palacios ,158,0.242,0.061,1,1,4,2,6,3,0,1,397,,634.0,476.0
Eric Haase,7.0,10,31,MIL,Eric Haase ,125,0.222,0.045,1,1,5,2,6,2,0,1,402,,634.0,509.0
Jacob Stallings,7.08,12,33,COL,Jacob Stallings ,266,0.236,0.033,5,3,26,8,27,8,0,3,298,,633.0,367.0
Brett Wisely,7.08,12,30,SF,Brett Wisely ,152,0.217,0.034,2,1,10,4,11,4,1,1,370,,633.0,481.0
Ezequiel Duran,7.09,11,32,TEX,Ezequiel Duran ,196,0.253,0.033,3,2,19,6,15,5,2,2,338,,632.0,436.0
Nick Gordon,7.14,7,29,BAL,Nick Gordon ,124,0.24,0.039,2,1,9,3,9,3,1,1,374,,631.0,507.0
Jose Trevino,7.14,14,30,CIN,Jose Trevino ,245,0.223,0.032,6,4,24,7,26,8,1,2,294,,631.0,386.0
Jake Rogers,7.21,14,31,DET,Jake Rogers ,351,0.213,0.035,12,6,38,11,36,11,1,3,223,,630.0,279.0
Jacob Young,7.28,18,30,WSH,Jacob Young ,517,0.254,0.037,2,5,50,16,33,13,32,12,189,,629.0,112.0
Jared Triolo,7.28,18,30,PIT,Jared Triolo ,243,0.246,0.037,3,3,21,7,19,6,3,3,318,,629.0,386.0
Esteury Ruiz,7.33,9,31,ATH,Esteury Ruiz ,132,0.253,0.065,0,1,4,2,3,2,4,2,380,,628.0,496.0
Orlando Arcia,7.33,18,31,ATL,Orlando Arcia ,535,0.236,0.034,14,8,49,16,48,16,2,5,164,,628.0,93.0
Drew Waters,7.38,8,33,KC,Drew Waters ,112,0.235,0.051,1,1,5,2,5,2,1,1,391,,627.0,515.0
Riley Adams,7.44,9,30,WSH,Riley Adams ,104,0.231,0.032,2,1,8,2,8,3,0,1,385,,626.0,522.0
Dominic Fletcher,7.67,9,31,CWS,Dominic Fletcher ,104,0.241,0.035,0,1,6,2,7,2,0,1,403,,622.0,518.0
Alex Jackson,7.67,6,33,NYY,Alex Jackson ,141,0.134,0.034,1,1,8,3,6,2,0,1,399,,622.0,481.0
Elias Diaz,7.67,12,32,SD,Elias Diaz ,296,0.258,0.033,7,4,26,8,36,10,0,2,266,,622.0,326.0
Leody Taveras,7.68,19,32,TEX,Leody Taveras ,342,0.239,0.032,7,4,37,11,32,10,11,6,195,,622.0,280.0
Jake Meyers,7.86,14,29,HOU,Jake Meyers ,409,0.227,0.032,10,6,43,13,45,13,6,5,171,,619.0,210.0
Jon Berti,8.0,12,24,CHC,Jon Berti ,184,0.267,0.048,1,1,11,4,7,3,4,2,352,,616.0,432.0
Andy Pages,8.15,13,23,LAD,Andy Pages ,219,0.251,0.048,3,2,15,5,11,5,0,2,366,,613.0,394.0
Oswald Peraza,8.24,17,33,NYY,Oswald Peraza ,231,0.188,0.058,0,2,5,3,5,3,1,2,400,,612.0,381.0
Kevin Newman,8.44,18,33,LAA,Kevin Newman ,219,0.267,0.036,2,2,25,7,20,6,5,3,290,,608.0,389.0
