player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Eloy Jimenez,3.5,14,30,TB,Eloy Jimenez ,237,0.253,0.034,6,3,21,7,24,7,1,2,295,,697.0,460.0
Junior Caminero,3.5,14,30,TB,Junior Caminero ,586,0.25,0.048,9,7,26,12,30,13,3,5,237,,697.0,111.0
Starling Marte,3.5,8,31,NYM,Starling Marte ,294,0.268,0.036,5,4,37,10,29,9,14,6,204,,697.0,403.0
Endy Rodriguez,3.56,9,30,PIT,Endy Rodriguez ,315,0.222,0.062,1,3,11,6,6,4,0,3,395,,696.0,381.0
Jonathan Aranda,3.57,14,30,TB,Jonathan Aranda ,367,0.238,0.038,9,5,41,12,32,10,0,3,244,,696.0,329.0
Ozzie Albies,3.59,17,31,ATL,Ozzie Albies ,618,0.261,0.035,20,11,79,22,84,22,10,8,27,,695.0,77.0
Nathaniel Lowe,3.59,17,30,WSH,Nathaniel Lowe ,600,0.267,0.036,17,10,70,20,70,20,3,6,85,,695.0,95.0
Yainer Diaz,3.6,15,29,HOU,Yainer Diaz ,545,0.287,0.041,16,9,52,16,61,18,1,5,143,,695.0,150.0
Justyn-Henry Malloy,3.6,15,31,DET,Justyn-Henry Malloy ,125,0.197,0.045,2,1,4,2,5,2,0,1,404,,695.0,570.0
Justin Turner,3.6,10,24,CHC,Justin Turner ,358,0.269,0.036,10,6,44,12,45,12,2,4,192,,695.0,337.0
Jake McCarthy,3.61,18,34,AZ,Jake McCarthy ,511,0.27,0.036,7,6,61,17,44,15,28,12,135,,695.0,184.0
Triston Casas,3.62,16,29,BOS,Triston Casas ,579,0.245,0.04,22,11,56,18,59,18,0,5,145,,695.0,116.0
Salvador Perez,3.65,17,33,KC,Salvador Perez ,573,0.262,0.035,23,11,56,18,85,22,1,5,96,,694.0,121.0
Shea Langeliers,3.65,17,31,ATH,Shea Langeliers ,494,0.221,0.035,22,10,50,15,65,18,3,4,125,,694.0,200.0
Tyler O'Neill,3.67,12,29,BAL,Tyler O'Neill ,475,0.237,0.035,23,10,64,17,56,16,7,5,86,,694.0,219.0
Kyle Manzardo,3.68,19,32,CLE,Kyle Manzardo ,449,0.233,0.046,6,5,16,8,20,9,0,4,334,,694.0,245.0
Dane Myers,3.69,16,30,MIA,Dane Myers ,288,0.268,0.05,4,3,22,8,24,8,4,3,296,,694.0,406.0
Alek Thomas,3.69,16,34,AZ,Alek Thomas ,275,0.216,0.033,7,4,31,9,34,9,6,4,232,,694.0,419.0
Andy Ibanez,3.69,13,31,DET,Andy Ibanez ,194,0.248,0.033,4,2,21,6,21,6,1,1,328,,694.0,500.0
Jeremy Pena,3.71,14,29,HOU,Jeremy Pena ,628,0.265,0.035,12,9,71,21,58,19,14,9,73,,693.0,65.0
Josh Naylor,3.72,18,34,AZ,Josh Naylor ,596,0.263,0.036,25,12,71,20,98,24,7,6,33,,693.0,97.0
Jorge Polanco,3.77,13,32,SEA,Jorge Polanco ,490,0.233,0.034,18,9,52,16,58,16,4,4,124,,692.0,202.0
Luke Raley,3.79,14,32,SEA,Luke Raley ,446,0.245,0.04,16,8,46,14,45,14,8,6,146,,692.0,246.0
Manny Machado,3.79,14,32,SD,Manny Machado ,634,0.273,0.037,29,13,82,22,99,25,8,7,11,,692.0,58.0
Jeff McNeil,3.8,10,31,NYM,Jeff McNeil ,495,0.259,0.034,10,7,58,16,46,15,5,5,148,,692.0,197.0
Andrew McCutchen,3.87,15,30,PIT,Andrew McCutchen ,449,0.233,0.034,15,8,54,15,45,14,5,4,150,,690.0,241.0
Jonah Bride,3.88,16,30,MIA,Jonah Bride ,418,0.233,0.035,8,6,40,12,39,12,1,4,222,,690.0,272.0
Tyler Soderstrom,3.88,17,31,ATH,Tyler Soderstrom ,506,0.206,0.036,13,8,32,12,38,14,0,5,226,,690.0,184.0
Matt Chapman,3.88,16,30,SF,Matt Chapman ,625,0.24,0.035,23,12,83,22,70,20,8,7,40,,690.0,65.0
Jesse Winker,3.88,16,31,NYM,Jesse Winker ,407,0.237,0.034,9,6,45,13,45,13,5,4,176,,690.0,283.0
Edouard Julien,3.89,18,31,MIN,Edouard Julien ,343,0.223,0.037,8,5,34,10,21,8,4,3,249,,690.0,347.0
Donovan Solano,3.92,12,32,SEA,Donovan Solano ,342,0.281,0.039,6,4,34,10,33,10,2,4,242,,689.0,347.0
Trevor Story,3.93,15,29,BOS,Trevor Story ,520,0.235,0.032,11,7,46,15,51,16,23,16,128,,689.0,169.0
Ryan O'Hearn,3.93,14,29,BAL,Ryan O'Hearn ,401,0.262,0.035,12,6,47,13,51,14,3,4,165,,689.0,288.0
Joey Bart,3.93,15,30,PIT,Joey Bart ,358,0.251,0.045,9,5,29,10,32,10,0,3,267,,689.0,331.0
Trevor Larnach,3.94,16,31,MIN,Trevor Larnach ,464,0.242,0.035,16,8,62,16,64,17,3,4,123,,689.0,225.0
Miguel Vargas,3.94,16,31,CWS,Miguel Vargas ,438,0.171,0.033,8,6,35,12,29,11,3,4,238,,689.0,251.0
Jorge Soler,3.95,20,33,LAA,Jorge Soler ,544,0.237,0.035,23,11,72,19,63,18,1,5,103,,689.0,145.0
Marcell Ozuna,3.95,19,31,ATL,Marcell Ozuna ,629,0.274,0.037,33,14,83,22,92,24,2,7,39,,689.0,60.0
Johan Rojas,4.0,12,30,PHI,Johan Rojas ,302,0.261,0.036,2,3,32,9,25,8,18,7,250,,688.0,386.0
Ke'Bryan Hayes,4.0,12,30,PIT,Ke'Bryan Hayes ,539,0.246,0.032,8,6,56,17,45,15,12,8,137,,688.0,149.0
Josh Bell,4.0,14,30,WSH,Josh Bell ,552,0.248,0.035,17,9,56,17,65,19,1,5,134,,688.0,136.0
Tim Anderson,4.0,21,33,LAA,Tim Anderson ,120,0.24,0.03,0,1,11,3,6,2,2,1,372,,688.0,568.0
Kris Bryant,4.0,14,33,COL,Kris Bryant ,420,0.236,0.033,9,6,39,12,39,12,1,4,216,,688.0,268.0
Mitch Haniger,4.0,7,32,SEA,Mitch Haniger ,360,0.219,0.032,11,6,40,12,42,12,1,3,217,,688.0,328.0
Ryan Jeffers,4.0,15,31,MIN,Ryan Jeffers ,397,0.237,0.035,16,8,48,13,51,14,2,3,159,,688.0,291.0
