,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
37,36,Nathaniel Lowe,TEX,157.0,593.0,645.0,179.0,123.0,26.0,3.0,27.0,74.0,76.0,48.0,2.0,147.0,4.0,0.0,0.0,10.0,2.0,2.0,0.302
38,37,Tim Anderson,CHW,79.0,332.0,351.0,100.0,81.0,13.0,0.0,6.0,50.0,25.0,14.0,1.0,55.0,5.0,0.0,0.0,10.0,13.0,0.0,0.301
39,38,Yonathan Daza,COL,113.0,372.0,408.0,112.0,87.0,21.0,2.0,2.0,56.0,34.0,26.0,0.0,58.0,4.0,5.0,1.0,12.0,0.0,3.0,0.301
40,39,Harold Ramirez,TBR,120.0,403.0,435.0,121.0,91.0,24.0,0.0,6.0,46.0,58.0,19.0,1.0,72.0,9.0,4.0,0.0,5.0,3.0,5.0,0.3
41,40,Dustin Garneau,DET,8.0,10.0,11.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
42,41,Joe Dunand,MIA,3.0,10.0,11.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3
43,42,Royce Lewis,MIN,12.0,40.0,41.0,12.0,6.0,4.0,0.0,2.0,5.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3
44,43,Jose Altuve,HOU,141.0,527.0,604.0,158.0,91.0,39.0,0.0,28.0,103.0,57.0,66.0,2.0,87.0,10.0,1.0,0.0,13.0,18.0,1.0,0.3
45,44,Steven Kwan,CLE,147.0,563.0,638.0,168.0,130.0,25.0,7.0,6.0,89.0,52.0,62.0,2.0,60.0,7.0,4.0,2.0,9.0,19.0,5.0,0.298
46,45,Manny Machado,SDP,150.0,578.0,644.0,172.0,102.0,37.0,1.0,32.0,100.0,102.0,63.0,10.0,133.0,1.0,2.0,0.0,12.0,9.0,1.0,0.298
47,46,Trea Turner,LAD,160.0,652.0,708.0,194.0,130.0,39.0,4.0,21.0,101.0,100.0,45.0,1.0,131.0,3.0,6.0,0.0,9.0,27.0,3.0,0.298
48,47,Andres Gimenez,CLE,146.0,491.0,557.0,146.0,100.0,26.0,3.0,17.0,66.0,69.0,34.0,4.0,112.0,25.0,3.0,4.0,9.0,20.0,3.0,0.297
49,48,Sean Bouchard,COL,27.0,74.0,97.0,22.0,13.0,6.0,0.0,3.0,9.0,11.0,21.0,0.0,25.0,1.0,1.0,0.0,1.0,0.0,0.0,0.297
50,49,Michael Harris II,ATL,114.0,414.0,441.0,123.0,74.0,27.0,3.0,19.0,75.0,64.0,21.0,0.0,107.0,5.0,0.0,1.0,7.0,20.0,2.0,0.297
51,50,Yandy Diaz,TBR,137.0,473.0,558.0,140.0,98.0,33.0,0.0,9.0,71.0,57.0,78.0,2.0,60.0,6.0,1.0,0.0,10.0,3.0,3.0,0.296
52,51,Oscar Gonzalez,CLE,91.0,362.0,382.0,107.0,69.0,27.0,0.0,11.0,39.0,43.0,15.0,2.0,75.0,3.0,2.0,0.0,6.0,1.0,2.0,0.296
53,52,Rafael Devers,BOS,141.0,555.0,614.0,164.0,94.0,42.0,1.0,27.0,84.0,88.0,50.0,11.0,114.0,6.0,3.0,0.0,14.0,3.0,1.0,0.295
54,53,Vinnie Pasquantino,KCR,72.0,258.0,298.0,76.0,56.0,10.0,0.0,10.0,25.0,26.0,35.0,1.0,34.0,3.0,2.0,0.0,5.0,1.0,0.0,0.295
