,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
142,141,Luis Rengifo,LAA,127.0,489.0,511.0,129.0,86.0,22.0,4.0,17.0,45.0,52.0,17.0,0.0,79.0,4.0,0.0,1.0,11.0,6.0,2.0,0.264
143,142,Austin Slater,SFG,125.0,277.0,325.0,73.0,49.0,15.0,2.0,7.0,49.0,34.0,40.0,0.0,89.0,6.0,2.0,0.0,9.0,12.0,1.0,0.264
144,143,Nick Castellanos,PHI,136.0,524.0,558.0,138.0,98.0,27.0,0.0,13.0,56.0,62.0,29.0,0.0,130.0,3.0,2.0,0.0,15.0,7.0,1.0,0.263
145,144,Ildemaro Vargas,- - -,63.0,209.0,222.0,55.0,37.0,13.0,1.0,4.0,19.0,23.0,8.0,0.0,23.0,3.0,1.0,1.0,6.0,3.0,1.0,0.263
146,145,Jared Young,CHC,6.0,19.0,22.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.263
147,146,Charles Leblanc,MIA,48.0,156.0,169.0,41.0,27.0,10.0,0.0,4.0,18.0,11.0,12.0,0.0,53.0,1.0,0.0,0.0,0.0,4.0,2.0,0.263
148,147,Randy Arozarena,TBR,153.0,586.0,645.0,154.0,90.0,41.0,3.0,20.0,72.0,89.0,46.0,2.0,156.0,11.0,2.0,0.0,17.0,32.0,12.0,0.263
149,148,Brandon Drury,- - -,138.0,518.0,568.0,136.0,75.0,31.0,2.0,28.0,87.0,87.0,38.0,0.0,126.0,8.0,4.0,0.0,8.0,2.0,3.0,0.263
150,149,Jordan Groshans,MIA,17.0,61.0,65.0,16.0,15.0,0.0,0.0,1.0,9.0,2.0,4.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.262
151,150,Alejo Lopez,CIN,61.0,145.0,156.0,38.0,31.0,5.0,1.0,1.0,15.0,10.0,9.0,1.0,21.0,2.0,0.0,0.0,1.0,3.0,1.0,0.262
152,151,Bryan Reynolds,PIT,145.0,542.0,614.0,142.0,92.0,19.0,4.0,27.0,74.0,62.0,56.0,6.0,141.0,14.0,2.0,0.0,13.0,7.0,3.0,0.262
153,152,Seiya Suzuki,CHC,111.0,397.0,446.0,104.0,66.0,22.0,2.0,14.0,54.0,46.0,42.0,3.0,110.0,4.0,3.0,0.0,8.0,9.0,5.0,0.262
154,153,DJ LeMahieu,NYY,125.0,467.0,541.0,122.0,92.0,18.0,0.0,12.0,74.0,46.0,67.0,0.0,71.0,4.0,2.0,1.0,12.0,4.0,3.0,0.261
155,154,Leody Taveras,TEX,99.0,314.0,341.0,82.0,61.0,14.0,2.0,5.0,39.0,34.0,21.0,0.0,88.0,2.0,3.0,1.0,2.0,11.0,5.0,0.261
156,155,Garrett Cooper,MIA,119.0,414.0,469.0,108.0,64.0,33.0,2.0,9.0,37.0,50.0,40.0,0.0,119.0,10.0,5.0,0.0,6.0,0.0,0.0,0.261
157,156,Isiah Kiner-Falefa,NYY,142.0,483.0,531.0,126.0,102.0,20.0,0.0,4.0,66.0,48.0,35.0,2.0,72.0,5.0,5.0,3.0,13.0,22.0,4.0,0.261
158,157,Wil Myers,SDP,77.0,261.0,286.0,68.0,46.0,15.0,0.0,7.0,29.0,41.0,21.0,1.0,86.0,1.0,3.0,0.0,7.0,2.0,1.0,0.261
159,158,Danny Jansen,TOR,72.0,215.0,248.0,56.0,31.0,10.0,0.0,15.0,34.0,44.0,25.0,1.0,44.0,3.0,5.0,0.0,1.0,1.0,0.0,0.26
160,159,Thairo Estrada,SFG,140.0,488.0,541.0,127.0,89.0,22.0,2.0,14.0,71.0,62.0,33.0,0.0,89.0,14.0,5.0,1.0,10.0,21.0,6.0,0.26
161,160,Will Smith,LAD,137.0,508.0,578.0,132.0,79.0,26.0,3.0,24.0,68.0,87.0,56.0,4.0,96.0,10.0,4.0,0.0,11.0,1.0,0.0,0.26
162,161,Corbin Carroll,ARI,32.0,104.0,115.0,27.0,12.0,9.0,2.0,4.0,13.0,14.0,8.0,0.0,31.0,3.0,0.0,0.0,1.0,2.0,1.0,0.26
163,162,Joey Wendle,MIA,101.0,347.0,371.0,90.0,62.0,24.0,1.0,3.0,27.0,32.0,15.0,0.0,50.0,5.0,3.0,1.0,7.0,12.0,3.0,0.259
164,163,Austin Wynns,SFG,66.0,162.0,177.0,42.0,32.0,7.0,0.0,3.0,14.0,21.0,10.0,0.0,38.0,3.0,1.0,1.0,9.0,0.0,0.0,0.259
165,164,Jake Fraley,CIN,68.0,216.0,247.0,56.0,35.0,9.0,0.0,12.0,33.0,28.0,26.0,1.0,54.0,3.0,2.0,0.0,1.0,4.0,1.0,0.259
166,165,Alex Bregman,HOU,155.0,548.0,656.0,142.0,81.0,38.0,0.0,23.0,93.0,93.0,87.0,1.0,77.0,11.0,10.0,0.0,18.0,1.0,2.0,0.259
167,166,Randal Grichuk,COL,141.0,506.0,538.0,131.0,88.0,21.0,3.0,19.0,60.0,73.0,24.0,0.0,127.0,6.0,2.0,0.0,12.0,4.0,0.0,0.259
168,167,David Bote,CHC,41.0,116.0,127.0,30.0,18.0,8.0,0.0,4.0,15.0,12.0,6.0,0.0,45.0,4.0,1.0,0.0,3.0,1.0,0.0,0.259
169,168,Gunnar Henderson,BAL,34.0,116.0,132.0,30.0,18.0,7.0,1.0,4.0,12.0,18.0,16.0,1.0,34.0,0.0,0.0,0.0,1.0,1.0,1.0,0.259
170,169,Terrin Vavra,BAL,40.0,89.0,103.0,23.0,19.0,2.0,1.0,1.0,14.0,12.0,12.0,0.0,19.0,0.0,2.0,0.0,2.0,0.0,1.0,0.258
171,170,Cedric Mullins II,BAL,156.0,608.0,672.0,157.0,105.0,32.0,4.0,16.0,89.0,64.0,47.0,2.0,126.0,9.0,5.0,1.0,4.0,34.0,10.0,0.258
172,171,Jose Azocar,SDP,98.0,202.0,216.0,52.0,40.0,9.0,3.0,0.0,24.0,10.0,12.0,0.0,44.0,0.0,1.0,1.0,6.0,5.0,6.0,0.257
173,172,C.J. Cron,COL,150.0,575.0,632.0,148.0,88.0,28.0,3.0,29.0,79.0,102.0,43.0,6.0,164.0,8.0,5.0,0.0,16.0,0.0,0.0,0.257
174,173,Kyle Tucker,HOU,150.0,544.0,609.0,140.0,81.0,28.0,1.0,30.0,71.0,107.0,59.0,4.0,95.0,1.0,2.0,0.0,11.0,25.0,4.0,0.257
175,174,Abraham Almonte,BOS,15.0,35.0,37.0,9.0,6.0,2.0,0.0,1.0,7.0,2.0,1.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.257
176,175,Gleyber Torres,NYY,140.0,526.0,572.0,135.0,82.0,28.0,1.0,24.0,73.0,76.0,39.0,2.0,129.0,3.0,3.0,1.0,12.0,10.0,5.0,0.257
177,176,Josh Harrison,CHW,119.0,386.0,425.0,99.0,71.0,19.0,2.0,7.0,50.0,27.0,21.0,0.0,71.0,14.0,2.0,2.0,9.0,2.0,1.0,0.256
178,177,Josh Naylor,CLE,122.0,449.0,498.0,115.0,67.0,28.0,0.0,20.0,47.0,79.0,38.0,4.0,80.0,6.0,5.0,0.0,13.0,6.0,1.0,0.256
179,178,Trayce Thompson,- - -,80.0,219.0,255.0,56.0,28.0,14.0,1.0,13.0,36.0,41.0,32.0,0.0,93.0,2.0,2.0,0.0,2.0,4.0,1.0,0.256
180,179,Sam Haggerty,SEA,83.0,176.0,201.0,45.0,30.0,9.0,1.0,5.0,29.0,23.0,18.0,3.0,53.0,4.0,2.0,1.0,4.0,13.0,1.0,0.256
181,180,Mike Brosseau,MIL,70.0,141.0,160.0,36.0,25.0,5.0,0.0,6.0,15.0,23.0,14.0,0.0,48.0,5.0,0.0,0.0,0.0,2.0,0.0,0.255
182,181,Hunter Renfroe,MIL,125.0,474.0,522.0,121.0,68.0,23.0,1.0,29.0,62.0,72.0,39.0,1.0,121.0,4.0,3.0,2.0,11.0,1.0,1.0,0.255
183,182,Kyle Farmer,CIN,145.0,526.0,583.0,134.0,94.0,25.0,1.0,14.0,58.0,78.0,33.0,0.0,99.0,16.0,6.0,2.0,20.0,4.0,3.0,0.255
184,183,David Fletcher,LAA,61.0,216.0,228.0,55.0,43.0,9.0,1.0,2.0,20.0,17.0,7.0,0.0,16.0,3.0,0.0,2.0,6.0,1.0,0.0,0.255
185,184,Miguel Cabrera,DET,112.0,397.0,433.0,101.0,86.0,10.0,0.0,5.0,25.0,43.0,28.0,3.0,101.0,3.0,5.0,0.0,11.0,1.0,0.0,0.254
186,185,Luis Gonzalez,SFG,98.0,311.0,350.0,79.0,56.0,17.0,2.0,4.0,31.0,36.0,30.0,1.0,75.0,4.0,5.0,0.0,5.0,10.0,2.0,0.254
187,186,Victor Reyes,DET,92.0,315.0,336.0,80.0,55.0,19.0,3.0,3.0,27.0,34.0,13.0,0.0,77.0,4.0,4.0,0.0,7.0,2.0,2.0,0.254
188,187,Salvador Perez,KCR,114.0,445.0,473.0,113.0,66.0,23.0,1.0,23.0,48.0,76.0,18.0,2.0,109.0,7.0,3.0,0.0,9.0,0.0,0.0,0.254
189,188,Eric Haase,DET,110.0,323.0,351.0,82.0,50.0,17.0,1.0,14.0,41.0,44.0,24.0,1.0,97.0,1.0,3.0,0.0,9.0,0.0,0.0,0.254
190,189,Bobby Witt Jr.,KCR,150.0,591.0,632.0,150.0,93.0,31.0,6.0,20.0,82.0,80.0,30.0,2.0,135.0,6.0,5.0,0.0,12.0,30.0,7.0,0.254
191,190,Adley Rutschman,BAL,113.0,398.0,470.0,101.0,52.0,35.0,1.0,13.0,70.0,42.0,65.0,0.0,86.0,4.0,3.0,0.0,4.0,4.0,0.0,0.254
192,191,Michael A. Taylor,KCR,124.0,414.0,456.0,105.0,83.0,10.0,3.0,9.0,49.0,43.0,35.0,0.0,109.0,2.0,3.0,2.0,6.0,4.0,2.0,0.254
193,192,Jazz Chisholm Jr.,MIA,60.0,213.0,241.0,54.0,26.0,10.0,4.0,14.0,39.0,45.0,21.0,0.0,66.0,3.0,3.0,0.0,0.0,12.0,5.0,0.254
194,193,Jeremy Pena,HOU,136.0,521.0,558.0,132.0,88.0,20.0,2.0,22.0,72.0,63.0,22.0,0.0,135.0,6.0,5.0,1.0,5.0,11.0,2.0,0.253
195,194,Juan Yepez,STL,76.0,253.0,274.0,64.0,39.0,13.0,0.0,12.0,27.0,30.0,16.0,0.0,61.0,1.0,4.0,0.0,6.0,0.0,0.0,0.253
196,195,Kyle Stowers,BAL,34.0,91.0,98.0,23.0,15.0,4.0,1.0,3.0,11.0,11.0,5.0,0.0,29.0,2.0,0.0,0.0,3.0,0.0,0.0,0.253
197,196,Riley Greene,DET,93.0,376.0,418.0,95.0,68.0,18.0,4.0,5.0,46.0,42.0,36.0,0.0,120.0,3.0,3.0,0.0,8.0,1.0,4.0,0.253
198,197,Kerry Carpenter,DET,31.0,103.0,113.0,26.0,15.0,4.0,1.0,6.0,16.0,10.0,6.0,0.0,32.0,3.0,1.0,0.0,0.0,0.0,0.0,0.252
199,198,Bryan De La Cruz,MIA,115.0,329.0,355.0,83.0,50.0,20.0,0.0,13.0,38.0,43.0,19.0,0.0,90.0,2.0,4.0,0.0,8.0,4.0,0.0,0.252
200,199,Charlie Culberson,TEX,70.0,115.0,124.0,29.0,21.0,6.0,0.0,2.0,19.0,12.0,5.0,0.0,31.0,0.0,0.0,4.0,5.0,2.0,3.0,0.252
201,200,Christian Yelich,MIL,154.0,575.0,671.0,145.0,102.0,25.0,4.0,14.0,99.0,57.0,88.0,5.0,162.0,5.0,2.0,1.0,9.0,19.0,3.0,0.252
202,201,Christian Bethancourt,- - -,101.0,318.0,333.0,80.0,52.0,17.0,0.0,11.0,39.0,34.0,12.0,0.0,80.0,2.0,0.0,1.0,6.0,5.0,1.0,0.252
203,202,Ha-seong Kim,SDP,150.0,517.0,582.0,130.0,87.0,29.0,3.0,11.0,58.0,59.0,51.0,0.0,100.0,7.0,4.0,3.0,9.0,12.0,2.0,0.251
204,203,Keibert Ruiz,WSN,112.0,394.0,433.0,99.0,70.0,22.0,0.0,7.0,33.0,36.0,30.0,0.0,50.0,6.0,2.0,1.0,9.0,6.0,1.0,0.251
205,204,Kolten Wong,MIL,134.0,430.0,497.0,108.0,65.0,24.0,4.0,15.0,65.0,47.0,46.0,2.0,88.0,14.0,5.0,2.0,5.0,17.0,6.0,0.251
206,205,Austin Nola,SDP,110.0,347.0,397.0,87.0,68.0,15.0,0.0,4.0,40.0,40.0,34.0,1.0,60.0,6.0,9.0,1.0,5.0,2.0,1.0,0.251
207,206,David Peralta,- - -,134.0,439.0,490.0,110.0,65.0,30.0,3.0,12.0,39.0,59.0,41.0,5.0,114.0,4.0,6.0,0.0,8.0,1.0,3.0,0.251
208,207,Austin Hays,BAL,145.0,535.0,582.0,134.0,81.0,35.0,2.0,16.0,66.0,60.0,34.0,0.0,114.0,10.0,3.0,0.0,11.0,2.0,4.0,0.25
209,208,Ryan Mountcastle,BAL,145.0,555.0,609.0,139.0,88.0,28.0,1.0,22.0,62.0,85.0,43.0,1.0,154.0,4.0,7.0,0.0,12.0,4.0,1.0,0.25
210,209,Whit Merrifield,- - -,139.0,504.0,550.0,126.0,86.0,28.0,1.0,11.0,70.0,58.0,38.0,0.0,85.0,0.0,8.0,0.0,11.0,16.0,5.0,0.25
211,210,Matt Duffy,LAA,77.0,228.0,247.0,57.0,47.0,8.0,0.0,2.0,14.0,16.0,17.0,0.0,50.0,2.0,0.0,0.0,6.0,0.0,0.0,0.25
212,211,Anthony Alford,PIT,2.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
213,212,Austin Meadows,DET,36.0,128.0,147.0,32.0,24.0,6.0,2.0,0.0,9.0,11.0,16.0,0.0,17.0,3.0,0.0,0.0,2.0,0.0,1.0,0.25
214,213,Alex Jackson,MIL,5.0,12.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
215,214,Narciso Crook,CHC,4.0,8.0,9.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25
216,215,JT Riddle,CIN,2.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
217,216,Harrison Bader,- - -,86.0,292.0,313.0,73.0,55.0,10.0,3.0,5.0,38.0,30.0,15.0,0.0,62.0,4.0,2.0,0.0,4.0,17.0,3.0,0.25
218,217,Darick Hall,PHI,42.0,136.0,142.0,34.0,16.0,8.0,1.0,9.0,19.0,16.0,5.0,0.0,44.0,1.0,0.0,0.0,3.0,0.0,0.0,0.25
219,218,Mario Feliciano,MIL,2.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
220,219,Alex Kirilloff,MIN,45.0,144.0,156.0,36.0,26.0,7.0,0.0,3.0,14.0,21.0,5.0,0.0,36.0,4.0,2.0,0.0,5.0,0.0,0.0,0.25
221,220,Nick Maton,PHI,35.0,72.0,85.0,18.0,10.0,2.0,1.0,5.0,13.0,17.0,10.0,0.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.25
222,221,Luis Campusano,SDP,16.0,48.0,50.0,12.0,10.0,1.0,0.0,1.0,4.0,5.0,1.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.25
223,222,Jake Burger,CHW,51.0,168.0,183.0,42.0,24.0,9.0,1.0,8.0,20.0,26.0,10.0,1.0,56.0,3.0,1.0,1.0,7.0,0.0,0.0,0.25
224,223,Adolis Garcia,TEX,156.0,605.0,657.0,151.0,85.0,34.0,5.0,27.0,88.0,101.0,40.0,2.0,183.0,6.0,6.0,0.0,9.0,25.0,6.0,0.25
225,224,Sean Murphy,OAK,148.0,537.0,612.0,134.0,77.0,37.0,2.0,18.0,67.0,66.0,56.0,2.0,124.0,13.0,5.0,0.0,14.0,1.0,0.0,0.25
226,225,Nick Madrigal,CHC,59.0,209.0,228.0,52.0,45.0,7.0,0.0,0.0,19.0,7.0,14.0,0.0,27.0,3.0,0.0,2.0,6.0,3.0,1.0,0.249
227,226,Jonathan India,CIN,103.0,386.0,431.0,96.0,68.0,16.0,2.0,10.0,48.0,41.0,31.0,1.0,94.0,14.0,0.0,0.0,5.0,3.0,4.0,0.249
228,227,Elvis Andrus,- - -,149.0,535.0,577.0,133.0,84.0,32.0,0.0,17.0,66.0,58.0,39.0,0.0,92.0,3.0,0.0,0.0,11.0,18.0,4.0,0.249
229,228,J.D. Davis,- - -,115.0,318.0,365.0,79.0,50.0,16.0,1.0,12.0,46.0,35.0,39.0,1.0,122.0,6.0,2.0,0.0,13.0,1.0,1.0,0.248
230,229,Cesar Hernandez,WSN,147.0,560.0,617.0,139.0,106.0,28.0,4.0,1.0,64.0,34.0,45.0,0.0,114.0,7.0,2.0,3.0,9.0,10.0,4.0,0.248
231,230,Ramon Urias,BAL,118.0,403.0,445.0,100.0,66.0,17.0,1.0,16.0,50.0,51.0,30.0,1.0,98.0,5.0,4.0,3.0,7.0,1.0,0.0,0.248
232,231,Marcus Semien,TEX,161.0,657.0,724.0,163.0,101.0,31.0,5.0,26.0,101.0,83.0,53.0,0.0,120.0,4.0,10.0,0.0,7.0,25.0,8.0,0.248
233,232,Jose Trevino,NYY,115.0,335.0,353.0,83.0,59.0,12.0,1.0,11.0,39.0,43.0,15.0,0.0,62.0,2.0,1.0,0.0,5.0,2.0,1.0,0.248
234,233,Stuart Fairchild,- - -,46.0,97.0,110.0,24.0,14.0,4.0,1.0,5.0,14.0,6.0,8.0,0.0,34.0,5.0,0.0,0.0,1.0,0.0,2.0,0.247
235,234,Ozzie Albies,ATL,64.0,247.0,269.0,61.0,37.0,16.0,0.0,8.0,36.0,35.0,16.0,0.0,47.0,2.0,4.0,0.0,0.0,3.0,5.0,0.247
236,235,Mark Mathias,- - -,30.0,81.0,91.0,20.0,11.0,3.0,0.0,6.0,13.0,20.0,9.0,0.0,30.0,0.0,1.0,0.0,0.0,3.0,0.0,0.247
237,236,Oswaldo Cabrera,NYY,44.0,154.0,171.0,38.0,23.0,8.0,1.0,6.0,21.0,19.0,15.0,0.0,44.0,0.0,1.0,1.0,1.0,3.0,2.0,0.247
238,237,Tyler Freeman,CLE,24.0,77.0,86.0,19.0,16.0,3.0,0.0,0.0,9.0,3.0,4.0,0.0,11.0,4.0,1.0,0.0,2.0,1.0,0.0,0.247
239,238,CJ Abrams,- - -,90.0,284.0,302.0,70.0,54.0,12.0,2.0,2.0,33.0,21.0,5.0,0.0,50.0,9.0,2.0,2.0,5.0,7.0,4.0,0.246
240,239,Rhys Hoskins,PHI,156.0,589.0,672.0,145.0,80.0,33.0,2.0,30.0,81.0,79.0,72.0,0.0,169.0,6.0,4.0,0.0,12.0,2.0,1.0,0.246
241,240,Matt Vierling,PHI,117.0,325.0,357.0,80.0,60.0,12.0,2.0,6.0,41.0,32.0,23.0,0.0,70.0,3.0,6.0,0.0,7.0,7.0,4.0,0.246
242,241,Jorge Alfaro,SDP,82.0,256.0,274.0,63.0,42.0,14.0,0.0,7.0,25.0,40.0,11.0,0.0,98.0,4.0,3.0,0.0,5.0,1.0,0.0,0.246
243,242,Matt Reynolds,- - -,93.0,244.0,272.0,60.0,46.0,10.0,1.0,3.0,31.0,23.0,26.0,0.0,78.0,1.0,1.0,0.0,7.0,5.0,0.0,0.246
244,243,Ryan McMahon,COL,153.0,529.0,597.0,130.0,84.0,23.0,3.0,20.0,67.0,67.0,60.0,0.0,158.0,5.0,3.0,0.0,7.0,7.0,3.0,0.246
245,244,Mitch Haniger,SEA,57.0,224.0,247.0,55.0,36.0,8.0,0.0,11.0,31.0,34.0,20.0,1.0,65.0,1.0,2.0,0.0,7.0,0.0,0.0,0.246
246,245,A.J. Pollock,CHW,138.0,489.0,527.0,120.0,79.0,26.0,1.0,14.0,61.0,56.0,32.0,0.0,98.0,2.0,4.0,0.0,13.0,3.0,1.0,0.245
247,246,Brandon Marsh,- - -,134.0,424.0,461.0,104.0,71.0,18.0,4.0,11.0,49.0,52.0,28.0,1.0,158.0,3.0,3.0,3.0,4.0,10.0,4.0,0.245
248,247,Chas McCormick,HOU,119.0,359.0,407.0,88.0,60.0,12.0,2.0,14.0,47.0,44.0,46.0,0.0,106.0,1.0,1.0,0.0,5.0,4.0,3.0,0.245
249,248,Corey Seager,TEX,151.0,593.0,663.0,145.0,87.0,24.0,1.0,33.0,91.0,83.0,58.0,7.0,103.0,7.0,5.0,0.0,14.0,3.0,0.0,0.245
250,249,Evan Longoria,SFG,89.0,266.0,298.0,65.0,38.0,13.0,0.0,14.0,31.0,42.0,27.0,2.0,83.0,2.0,3.0,0.0,6.0,0.0,0.0,0.244
251,250,Edwin Rios,LAD,27.0,86.0,92.0,21.0,13.0,1.0,0.0,7.0,12.0,17.0,5.0,1.0,36.0,1.0,0.0,0.0,2.0,0.0,1.0,0.244
252,251,Nolan Jones,CLE,28.0,86.0,94.0,21.0,14.0,5.0,0.0,2.0,10.0,13.0,8.0,1.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,0.244
253,252,Orlando Arcia,ATL,68.0,209.0,234.0,51.0,33.0,9.0,0.0,9.0,25.0,30.0,21.0,0.0,51.0,2.0,2.0,0.0,7.0,0.0,0.0,0.244
254,253,Hanser Alberto,LAD,73.0,156.0,159.0,38.0,25.0,9.0,2.0,2.0,13.0,15.0,3.0,0.0,25.0,0.0,0.0,0.0,7.0,0.0,1.0,0.244
255,254,Ke'Bryan Hayes,PIT,136.0,505.0,560.0,123.0,89.0,24.0,3.0,7.0,55.0,41.0,48.0,0.0,122.0,5.0,2.0,0.0,12.0,20.0,5.0,0.244
256,255,Jurickson Profar,SDP,152.0,575.0,658.0,140.0,87.0,36.0,2.0,15.0,82.0,58.0,73.0,0.0,103.0,4.0,3.0,3.0,12.0,5.0,1.0,0.243
257,256,J.P. Crawford,SEA,145.0,518.0,603.0,126.0,93.0,24.0,3.0,6.0,57.0,42.0,68.0,0.0,80.0,10.0,5.0,2.0,11.0,3.0,2.0,0.243
258,257,Owen Miller,CLE,130.0,424.0,472.0,103.0,70.0,26.0,1.0,6.0,53.0,51.0,32.0,1.0,93.0,7.0,9.0,0.0,8.0,2.0,0.0,0.243
259,258,Willson Contreras,CHC,113.0,416.0,487.0,101.0,54.0,23.0,2.0,22.0,65.0,55.0,45.0,0.0,103.0,24.0,2.0,0.0,14.0,4.0,2.0,0.243
260,259,Michael Massey,KCR,52.0,173.0,194.0,42.0,28.0,9.0,1.0,4.0,16.0,17.0,9.0,0.0,46.0,8.0,2.0,2.0,1.0,3.0,0.0,0.243
261,260,Aledmys Diaz,HOU,92.0,305.0,327.0,74.0,49.0,13.0,0.0,12.0,35.0,38.0,18.0,0.0,53.0,2.0,2.0,0.0,7.0,1.0,1.0,0.243
262,261,Juan Soto,- - -,153.0,524.0,664.0,127.0,73.0,25.0,2.0,27.0,93.0,62.0,135.0,6.0,96.0,4.0,0.0,0.0,12.0,6.0,2.0,0.242
263,262,Francisco Mejia,TBR,93.0,289.0,299.0,70.0,42.0,22.0,0.0,6.0,32.0,31.0,7.0,0.0,65.0,2.0,1.0,0.0,6.0,0.0,0.0,0.242
264,263,Yuli Gurriel,HOU,146.0,545.0,584.0,132.0,84.0,40.0,0.0,8.0,53.0,53.0,30.0,0.0,73.0,6.0,3.0,0.0,13.0,8.0,0.0,0.242
265,264,Christian Walker,ARI,160.0,583.0,667.0,141.0,78.0,25.0,2.0,36.0,84.0,94.0,69.0,2.0,131.0,8.0,7.0,0.0,15.0,2.0,2.0,0.242
266,265,Gavin Sheets,CHW,124.0,377.0,410.0,91.0,57.0,19.0,0.0,15.0,34.0,53.0,27.0,0.0,86.0,3.0,3.0,0.0,9.0,0.0,0.0,0.241
267,266,Willi Castro,DET,112.0,365.0,392.0,88.0,60.0,18.0,2.0,8.0,47.0,31.0,15.0,0.0,82.0,8.0,3.0,1.0,4.0,9.0,4.0,0.241
268,267,Lane Thomas,WSN,146.0,498.0,548.0,120.0,75.0,26.0,2.0,17.0,62.0,52.0,41.0,0.0,132.0,4.0,5.0,0.0,8.0,8.0,4.0,0.241
269,268,Willians Astudillo,MIA,21.0,54.0,55.0,13.0,12.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.241
270,269,Rafael Ortega,CHC,118.0,316.0,371.0,76.0,54.0,14.0,1.0,7.0,35.0,35.0,44.0,2.0,74.0,2.0,7.0,1.0,10.0,12.0,7.0,0.241
271,270,Anthony Santander,BAL,152.0,574.0,647.0,138.0,81.0,24.0,0.0,33.0,78.0,89.0,55.0,1.0,122.0,13.0,5.0,0.0,14.0,0.0,2.0,0.24
272,271,Eduardo Escobar,NYM,136.0,495.0,542.0,119.0,69.0,26.0,4.0,20.0,58.0,69.0,40.0,3.0,129.0,1.0,6.0,0.0,4.0,0.0,2.0,0.24
273,272,Matt Olson,ATL,162.0,616.0,699.0,148.0,70.0,44.0,0.0,34.0,86.0,103.0,75.0,6.0,170.0,4.0,4.0,0.0,13.0,0.0,0.0,0.24
274,273,Jon Berti,MIA,102.0,358.0,404.0,86.0,62.0,17.0,3.0,4.0,47.0,28.0,42.0,0.0,89.0,3.0,1.0,0.0,6.0,41.0,5.0,0.24
275,274,Jake Hager,ARI,28.0,50.0,59.0,12.0,10.0,2.0,0.0,0.0,4.0,3.0,8.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24
276,275,T.J. Friedl,CIN,72.0,225.0,258.0,54.0,31.0,10.0,5.0,8.0,33.0,25.0,20.0,0.0,40.0,7.0,6.0,0.0,3.0,7.0,2.0,0.24
277,276,Ketel Marte,ARI,137.0,492.0,558.0,118.0,62.0,42.0,2.0,12.0,68.0,52.0,55.0,3.0,101.0,6.0,5.0,0.0,12.0,5.0,1.0,0.24
278,277,Sam Huff,TEX,44.0,121.0,132.0,29.0,21.0,4.0,0.0,4.0,9.0,10.0,11.0,1.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.24
279,278,Drew Waters,KCR,32.0,96.0,109.0,23.0,11.0,6.0,1.0,5.0,14.0,18.0,12.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24
280,279,Tomas Nido,NYM,98.0,284.0,313.0,68.0,50.0,15.0,0.0,3.0,31.0,28.0,14.0,0.0,76.0,1.0,2.0,12.0,14.0,0.0,0.0,0.239
281,280,Trey Mancini,- - -,143.0,519.0,587.0,124.0,82.0,23.0,1.0,18.0,56.0,63.0,53.0,2.0,135.0,10.0,5.0,0.0,12.0,0.0,0.0,0.239
282,281,Luis Urias,MIL,119.0,406.0,472.0,97.0,63.0,17.0,1.0,16.0,54.0,47.0,50.0,0.0,99.0,11.0,5.0,0.0,9.0,1.0,2.0,0.239
283,282,Tommy La Stella,SFG,60.0,180.0,195.0,43.0,27.0,14.0,0.0,2.0,17.0,14.0,11.0,0.0,30.0,1.0,3.0,0.0,4.0,0.0,0.0,0.239
284,283,Ryan O'Hearn,KCR,67.0,134.0,145.0,32.0,24.0,6.0,1.0,1.0,14.0,16.0,8.0,0.0,35.0,2.0,1.0,0.0,2.0,0.0,0.0,0.239
285,284,Jake Cronenworth,SDP,158.0,587.0,684.0,140.0,89.0,30.0,4.0,17.0,88.0,88.0,70.0,3.0,131.0,16.0,8.0,0.0,2.0,3.0,0.0,0.239
