date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,team
2023-02-25, David Fletcher, Luis Rengifo, Gio Urshela, Matt Thaiss, Jo Adell, Mickey Moniak, Kevin Padlo, Taylor Jones, Brett Phillips,LAA
2023-02-26, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Hunter Renfroe, Brandon Drury, Jake Lamb, Logan O'Hoppe, Andrew Velazquez,LAA
2023-02-27, David Fletcher, Mike Trout, Shohei Ohtani, Gio Urshela, Jared Walsh, Luis Rengifo, Mickey Moniak, Brett Phillips, Chad Wallach,LAA
2023-02-28, David Fletcher, Luis Rengifo, Jake Lamb, Mickey Moniak, Jo Adell, Logan O'Hoppe, Trey Cabbage, Aaron Whitefield, Livan Soto,LAA
2023-03-01, Taylor Ward, Mike Trout, Jared Walsh, Anthony Rendon, Hunter Renfroe, Brandon Drury, Gio Urshela, Matt Thaiss, Kevin Padlo,LAA
2023-03-02, Brett Phillips, Luis Rengifo, Jake Lamb, Jo Adell, Kevin Padlo, Matt Thaiss, Chad Wallach, Andrew Velazquez, Michael Stefanic,LAA
2023-03-03, Taylor Ward, Mike Trout, Luis Rengifo, Anthony Rendon, Hunter Renfroe, Jared Walsh, Brandon Drury, Gio Urshela, Logan O'Hoppe,LAA
2023-03-04, Mickey Moniak, Jo Adell, Jake Lamb, Kevin Padlo, Matt Thaiss, Trey Cabbage, Michael Stefanic, Brett Phillips, Andrew Velazquez,LAA
2023-03-05a, Brett Phillips, Gio Urshela, Luis Rengifo, Jared Walsh, Zach Neto, Jo Adell, Taylor Jones, Chad Wallach, Jordyn Adams,LAA
2023-03-05b, Taylor Ward, Mike Trout, Brandon Drury, Anthony Rendon, Hunter Renfroe, Jake Lamb, Livan Soto, Max Stassi, Mickey Moniak,LAA
2023-03-06, Livan Soto, Mike Trout, Jared Walsh, Hunter Renfroe, Brandon Drury, Gio Urshela, Logan O'Hoppe, Luis Barrera, Andrew Velazquez,LAA
2023-03-07, Taylor Ward, Jake Lamb, Taylor Jones, Kevin Padlo, Matt Thaiss, Jo Adell, Brett Phillips, Kyren Paris, Andrew Velazquez,LAA
2023-03-08, Livan Soto, Brandon Drury, Jared Walsh, Anthony Rendon, Hunter Renfroe, Logan O'Hoppe, Max Stassi, Mickey Moniak, Jordyn Adams,LAA
2023-03-10, Taylor Ward, Livan Soto, Kevin Padlo, Matt Thaiss, Zach Neto, Mickey Moniak, Jo Adell, Trey Cabbage, Taylor Jones,LAA
2023-03-11, Brett Phillips, Brandon Drury, Jared Walsh, Anthony Rendon, Hunter Renfroe, Logan O'Hoppe, Jake Lamb, Max Stassi, Kyren Paris,LAA
2023-03-12, Taylor Ward, Mickey Moniak, Hunter Renfroe, Jake Lamb, Logan O'Hoppe, Kevin Padlo, Jeremiah Jackson, Jordyn Adams, Andrew Velazquez,LAA
2023-03-13, Taylor Ward, Brandon Drury, Jared Walsh, Anthony Rendon, Anthony Rendon, Hunter Renfroe, Matt Thaiss, Jo Adell, Mickey Moniak,LAA
2023-03-14, Taylor Ward, Jake Lamb, Brandon Drury, Jared Walsh, Matt Thaiss, Max Stassi, Brett Phillips, Andrew Velazquez, Kyren Paris,LAA
2023-03-16, Jo Adell, Brandon Drury, Jared Walsh, Hunter Renfroe, Taylor Jones, Logan O'Hoppe, Livan Soto, Jordyn Adams, Andrew Velazquez,LAA
2023-03-17, Taylor Ward, Brandon Drury, Jared Walsh, Anthony Rendon, Hunter Renfroe, Gio Urshela, Jake Lamb, Max Stassi, Mickey Moniak,LAA
2023-03-18, Mickey Moniak, Gio Urshela, Jared Walsh, Anthony Rendon, Matt Thaiss, Logan O'Hoppe, Livan Soto, Taylor Jones, Brett Phillips,LAA
2023-03-19, Brett Phillips, Livan Soto, Jake Lamb, Anthony Rendon, Hunter Renfroe, Matt Thaiss, Max Stassi, Jo Adell, Andrew Velazquez,LAA
2023-03-20, Taylor Ward, Luis Rengifo, Taylor Jones, Hunter Renfroe, Gio Urshela, Logan O'Hoppe, Kevin Padlo, Jordyn Adams, David Fletcher,LAA
2023-03-21a, Taylor Ward, Luis Rengifo, Jared Walsh, Hunter Renfroe, Jake Lamb, Matt Thaiss, Mickey Moniak, David Fletcher, Livan Soto,LAA
2023-03-21b, Brett Phillips, Brandon Drury, Gio Urshela, Anthony Rendon, Jo Adell, Logan O'Hoppe, Edgar Quero, Jordyn Adams, Andrew Velazquez,LAA
2023-03-22, David Fletcher, Luis Rengifo, Brandon Drury, Anthony Rendon, Jake Lamb, Jared Walsh, Mickey Moniak, Chad Wallach, Brett Phillips,LAA
2023-03-24, Taylor Ward, Luis Rengifo, Brandon Drury, Anthony Rendon, Hunter Renfroe, Gio Urshela, Taylor Jones, Chad Wallach, David Fletcher,LAA
2023-03-25, Jordyn Adams, Brett Phillips, Luis Rengifo, Trey Cabbage, Taylor Jones, Matt Thaiss, Jose Gomez, David Calabrese, Adrian Placencia,LAA
2023-03-26, Taylor Ward, Mike Trout, Shohei Ohtani, Brandon Drury, Hunter Renfroe, Luis Rengifo, Gio Urshela, Logan O'Hoppe, Jeremiah Jackson,LAA
2023-03-27, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Hunter Renfroe, Brandon Drury, Matt Thaiss, Zach Neto, Preston Palmeiro,LAA
2023-03-28, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Hunter Renfroe, Luis Rengifo, Brandon Drury, Gio Urshela, Logan O'Hoppe,LAA
2023-02-25, Rylan Bannon, Mauricio Dubon, Jose Abreu, Korey Lee, Bligh Madris, Corey Julks, David Hensley, Ross Adolph, Marty Costes,HOU
2023-02-26, Kyle Tucker, Jake Meyers, Chas McCormick, Luke Berryhill, J.C. Correa, Shay Whitcomb, David Hensley, Joe Perez, Cesar Salazar,HOU
2023-02-27, Jose Altuve, Jeremy Pena, J.J. Matijevic, Corey Julks, Martin Maldonado, Marty Costes, Mauricio Dubon, Grae Kessinger, Bligh Madris,HOU
2023-02-28, Kyle Tucker, Jake Meyers, Chas McCormick, Jose Abreu, Korey Lee, Rylan Bannon, David Hensley, Shay Whitcomb, Kyle Tucker,HOU
2023-03-01, Jose Altuve, Jeremy Pena, Martin Maldonado, Justin Dirden, Corey Julks, Kenedy Corona, J.J. Matijevic, Joe Perez, Quincy Hamilton,HOU
2023-03-02, Kyle Tucker, Chas McCormick, Jake Meyers, Jose Abreu, Yainer Diaz, Will Wagner, Dixon Machado, Shay Whitcomb, Cesar Salazar,HOU
2023-03-03, Jose Altuve, Jeremy Pena, Kyle Tucker, Alex Bregman, Martin Maldonado, Joe Perez, Kenedy Corona, Mauricio Dubon, Colin Barber,HOU
2023-03-04, Justin Dirden, Chas McCormick, Jake Meyers, Corey Julks, Korey Lee, C.J. Stubbs, Rylan Bannon, Shay Whitcomb, Cristian Gonzalez,HOU
2023-03-05, Jose Altuve, Jeremy Pena, Martin Maldonado, Alex Bregman, Kyle Tucker, Jose Abreu, David Hensley, Bligh Madris, Jacob Melton,HOU
2023-03-06, Jose Altuve, Jeremy Pena, Martin Maldonado, David Hensley, Justin Dirden, Chas McCormick, Jake Meyers, Yainer Diaz, J.C. Correa,HOU
2023-03-07, Mauricio Dubon, Alex Bregman, Bligh Madris, Jose Abreu, Zach Daniels, Cesar Salazar, Kenedy Corona, Grae Kessinger, Colin Barber,HOU
2023-03-10, Mauricio Dubon, Jake Meyers, Chas McCormick, Alex Bregman, Jose Abreu, Yainer Diaz, David Hensley, Dixon Machado, Bligh Madris,HOU
2023-03-11, Ross Adolph, Alex Bregman, Jose Abreu, J.J. Matijevic, C.J. Stubbs, Corey Julks, Chad Stevens, Leosdany Molina, Jordan Brewer,HOU
2023-03-12, Rylan Bannon, David Hensley, Chas McCormick, Justin Dirden, Yainer Diaz, Korey Lee, Mauricio Dubon, Marty Costes, Dixon Machado,HOU
2023-03-13, Mauricio Dubon, Corey Julks, Alex Bregman, Jose Abreu, David Hensley, Yainer Diaz, J.J. Matijevic, Grae Kessinger, Shay Whitcomb,HOU
2023-03-14a, Mauricio Dubon, Justin Dirden, Alex Bregman, Jose Abreu, Corey Julks, Chas McCormick, Korey Lee, J.C. Correa, Tyler Whitaker,HOU
2023-03-14b, Jake Meyers, David Hensley, Ross Adolph, Yainer Diaz, J.J. Matijevic, Marty Costes, Rylan Bannon, Dixon Machado, Kenedy Corona,HOU
2023-03-15, Kenedy Corona, Logan Cerny, Corey Julks, Cesar Salazar, Bligh Madris, Rylan Bannon, Luke Berryhill, Shay Whitcomb, Leosdany Molina,HOU
2023-03-16, Jake Meyers, Chas McCormick, Alex Bregman, Jose Abreu, J.J. Matijevic, Yainer Diaz, Ross Adolph, David Hensley, Mauricio Dubon,HOU
2023-03-17, Jake Meyers, Jeremy Pena, Chas McCormick, Jose Abreu, Alex Bregman, Bligh Madris, David Hensley, C.J. Stubbs, Dixon Machado,HOU
2023-03-18, Mauricio Dubon, Alex Bregman, Jose Abreu, Korey Lee, Chas McCormick, Jake Meyers, Corey Julks, Rylan Bannon, Marty Costes,HOU
2023-03-19, Jeremy Pena, Alex Bregman, Jose Abreu, David Hensley, Bligh Madris, Chas McCormick, Korey Lee, Justin Dirden, Yainer Diaz,HOU
2023-03-21, Chas McCormick, Jeremy Pena, Alex Bregman, Jose Abreu, David Hensley, Jake Meyers, Korey Lee, Mauricio Dubon, Martin Maldonado,HOU
2023-03-22, Rylan Bannon, David Hensley, Corey Julks, Yainer Diaz, J.J. Matijevic, Justin Dirden, Grae Kessinger, Dixon Machado, Mauricio Dubon,HOU
