date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,team
2022-03-18, Brandon Marsh, Tyler Wade, Luis Rengifo, Jo Adell, Matt Thaiss, Jack Mayfield, Henry Gatewood, Braxton Martinez, Magneuris Sierra,LAA
2022-03-19, David Fletcher, Shohei Ohtani, Mike Trout, Jared Walsh, Taylor Ward, Justin Upton, Max Stassi, Tyler Wade, Luis Rengifo,LAA
2022-03-20, Andrew Velazquez, Brandon Marsh, Jo Adell, Jack Mayfield, Jose Rojas, Taylor Ward, Matt Thaiss, Henry Gatewood, Braxton Martinez,LAA
2022-03-21, Brandon Marsh, Mike Trout, Jared Walsh, Justin Upton, Max Stassi, David Fletcher, Tyler Wade, Michael Stefanic, Trey Cabbage,LAA
2022-03-22, Shohei Ohtani, Mike Trout, Anthony Rendon, Justin Upton, Jared Walsh, Jo Adell, Tyler Wade, David Fletcher, Austin Romine,LAA
2022-03-23, Luis Rengifo, Tyler Wade, Jo Adell, Taylor Ward, Jack Mayfield, Matt Thaiss, Michael Stefanic, Henry Gatewood, Orlando Martinez,LAA
2022-03-24, Shohei Ohtani, Matt Duffy, Anthony Rendon, Jared Walsh, Justin Upton, Brandon Marsh, Jo Adell, David Fletcher, Chad Wallach,LAA
2022-03-25, Jo Adell, Jack Mayfield, Jared Walsh, Taylor Ward, Brandon Marsh, Luis Rengifo, Kurt Suzuki, Tyler Wade, Michael Stefanic,LAA
2022-03-26, Shohei Ohtani, Tyler Wade, Matt Duffy, Brandon Marsh, Jo Adell, Jose Rojas, Max Stassi, Dillon Thomas, Andrew Velazquez,LAA
2022-03-27, Shohei Ohtani, David Fletcher, Anthony Rendon, Jared Walsh, Taylor Ward, Jo Adell, Brandon Marsh, Kurt Suzuki, Luis Rengifo,LAA
2022-03-28, Shohei Ohtani, Mike Trout, Anthony Rendon, Justin Upton, Matt Duffy, Max Stassi, Taylor Ward, Jo Adell, David Fletcher,LAA
2022-03-29, Shohei Ohtani, Mike Trout, Anthony Rendon, Jared Walsh, Justin Upton, Brandon Marsh, Kurt Suzuki, Tyler Wade, David Fletcher,LAA
2022-03-31, Shohei Ohtani, Mike Trout, Matt Duffy, Jared Walsh, Taylor Ward, Justin Upton, Max Stassi, Jack Mayfield, Tyler Wade,LAA
2022-04-01, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Jo Adell, Brandon Marsh, Kurt Suzuki, Michael Stefanic, David Fletcher,LAA
2022-04-02, Tyler Wade, Matt Duffy, Jose Rojas, Jo Adell, Brandon Marsh, Max Stassi, Aaron Whitefield, Jack Mayfield, Michael Stefanic,LAA
2022-03-18, Pedro Leon, Justin Dirden, Marty Costes, J.J. Matijevic, Corey Julks, Korey Lee, Grae Kessinger, Cristian Gonzalez, Zach Daniels,HOU
2022-03-19, Leosdany Molina, Yeuris Ramirez, Wilyer Abreu, Luke Berryhill, Ramiro Rodriguez, Michael Papierski, Enmanuel Valdez, Rainier Rivas, Peter Zimmermann,HOU
2022-03-20, Dauri Lorenzo, AJ Lee, David Hensley, J.C. Correa, Alex Holderbach, Cesar Salazar, Roilan Machandy, Ross Adolph, Frank Perez,HOU
2022-03-22, Chas McCormick, Niko Goodrum, Kyle Tucker, Lewis Brinson, Jason Castro, Joe Perez, Taylor Jones, Alex De Goti, Cesar Salazar,HOU
2022-03-23, Jeremy Pena, Jose Altuve, Michael Brantley, Alex Bregman, Yordan Alvarez, Yuli Gurriel, Martin Maldonado, Pedro Leon, Corey Julks,HOU
2022-03-24, Aledmys Diaz, Yuli Gurriel, Niko Goodrum, Kyle Tucker, Lewis Brinson, Jason Castro, Chas McCormick, Marty Costes, Joe Perez,HOU
2022-03-25, Wilyer Abreu, Jose Altuve, Yordan Alvarez, Alex Bregman, Michael Brantley, Martin Maldonado, David Hensley, Jeremy Pena, Cody Orr,HOU
2022-03-27, Jeremy Pena, Jose Altuve, Michael Brantley, Alex Bregman, Kyle Tucker, Yuli Gurriel, Lewis Brinson, Chas McCormick, Martin Maldonado,HOU
2022-03-28, Jose Siri, Michael Brantley, Aledmys Diaz, Yordan Alvarez, Lewis Brinson, Niko Goodrum, Martin Maldonado, J.J. Matijevic, Franklin Barreto,HOU
2022-03-29, Jeremy Pena, Jose Altuve, Kyle Tucker, Alex Bregman, Yuli Gurriel, Chas McCormick, Michael Papierski, Lewis Brinson, Aledmys Diaz,HOU
2022-03-30, Jose Siri, Jose Altuve, Michael Brantley, Alex Bregman, Yordan Alvarez, Yuli Gurriel, Kyle Tucker, Jeremy Pena, Martin Maldonado,HOU
2022-04-01, Jose Altuve, Michael Brantley, Alex Bregman, Yordan Alvarez, Yuli Gurriel, Kyle Tucker, Jose Siri, Jeremy Pena, Martin Maldonado,HOU
2022-03-18, Tony Kemp, Elvis Andrus, Sean Murphy, Seth Brown, Chad Pinder, Eric Thames, Ramon Laureano, Dalton Kelly, Kevin Smith,OAK
2022-03-19, Cristian Pache, Vimael Machin, Austin Allen, Dermis Garcia, Skye Bolt, Drew Jackson, Tyler Soderstrom, Jordan Diaz, Nick Allen,OAK
2022-03-20, Elvis Andrus, Tony Kemp, Sean Murphy, Chad Pinder, Seth Brown, Ramon Laureano, Eric Thames, Sheldon Neuse, Billy McKinney,OAK
2022-03-22, Cristian Pache, Kevin Smith, Ramon Laureano, Christian Bethancourt, Austin Allen, Sheldon Neuse, Dalton Kelly, Zack Gelof, Skye Bolt,OAK
2022-03-23, Tony Kemp, Elvis Andrus, Sean Murphy, Seth Brown, Chad Pinder, Eric Thames, Dalton Kelly, Skye Bolt, Billy McKinney,OAK
2022-03-24, Cristian Pache, Dalton Kelly, Ramon Laureano, Austin Allen, Eric Thames, Kevin Smith, Sheldon Neuse, Billy McKinney, Nick Allen,OAK
2022-03-25, Tony Kemp, Elvis Andrus, Sean Murphy, Seth Brown, Chad Pinder, Eric Thames, Kevin Smith, Billy McKinney, Skye Bolt,OAK
2022-03-26, Cristian Pache, Seth Brown, Kevin Smith, Austin Allen, Sheldon Neuse, Eric Thames, Drew Jackson, Dalton Kelly, Nick Allen,OAK
2022-03-27, Tony Kemp, Elvis Andrus, Sean Murphy, Seth Brown, Chad Pinder, Kevin Smith, Billy McKinney, Cristian Pache, Skye Bolt,OAK
2022-03-28, Tony Kemp, Elvis Andrus, Sean Murphy, Seth Brown, Chad Pinder, Stephen Piscotty, Billy McKinney, Kevin Smith, Skye Bolt,OAK
2022-03-29, Billy McKinney, Stephen Vogt, Ramon Laureano, Eric Thames, Christian Lopes, Dalton Kelly, Sheldon Neuse, Cristian Pache, Kevin Smith,OAK
2022-03-30, Tony Kemp, Elvis Andrus, Jed Lowrie, Sean Murphy, Seth Brown, Chad Pinder, Christian Bethancourt, Drew Jackson, Skye Bolt,OAK
