player,position
"d'Arnaud, Travis",C
"Arcia, Orlando",1B
"Albies, Ozzie",2B
"Riley, Austin",3B
"Swanson, Dansby",SS
"Ozuna, Marcell",OF
"Acuña Jr., Ronald",OF
"Duvall, Adam",OF
"Rosario, Eddie",OF
"Olson, Matt",OF
