player,position
"Bogaerts, Xander",SS
"Vázquez, Christian",C
"Story, Trevor",2B
"Dalbec, Bobby",1B
"Devers, Rafael",3B
"Martinez, J.D.",RF
"Bradley Jr., Jackie",CF
"Verdugo, Alex",LF
"Hernández, Enrique",OF
