player,position
"Hernández, César",2B
"Soto, Juan",RF
"Cruz, Nelson",DH
"Bell, Josh",1B
"Ruiz, Keibert",C
"Thomas, Lane",LF
"Escobar, Alcides",SS
"Franco, Maikel",3B
"Robles, Victor",CF
"García, Luis",SS
