player,position
"Voit, Luke",1B
"Nola, Austin",C
"Alfaro, Jorge",C
"Hosmer, Eric",1B
"Cronenworth, Jake",2B
"Machado, Manny",3B
#"Tatis Jr., Fernando",SS
"Profar, Jurickson",OF
"Grisham, Trent",OF
"Kim, Ha-Seong",SS
