player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
Anthony Rendon,LAA,31.0,1.0,0.0,12.0,3.0,8.0,0.0,0.0,1.0
Aaron Hicks,LAA,1.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0
Mike Trout,LAA,6.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Ward,LAA,42.0,0.0,90.0,15.0,8.0,0.0,0.0,0.0,0.0
Brandon Drury,LAA,0.0,2.0,2.0,13.0,23.0,20.0,18.0,9.0,0.0
Nolan Schanuel,LAA,69.0,20.0,33.0,0.0,2.0,3.0,5.0,3.0,4.0
Miguel Sano,LAA,0.0,0.0,0.0,14.0,3.0,3.0,2.0,0.0,0.0
Logan O'Hoppe,LAA,0.0,0.0,10.0,3.0,63.0,35.0,8.0,7.0,0.0
Zach Neto,LAA,0.0,49.0,0.0,0.0,2.0,17.0,22.0,27.0,34.0
Luis Rengifo,LAA,6.0,47.0,0.0,1.0,2.0,1.0,9.0,5.0,1.0
Jo Adell,LAA,0.0,4.0,0.0,1.0,4.0,15.0,34.0,32.0,27.0
Matt Thaiss,LAA,0.0,0.0,0.0,0.0,10.0,15.0,9.0,12.0,1.0
Mickey Moniak,LAA,0.0,14.0,0.0,0.0,13.0,28.0,28.0,23.0,3.0
Ehire Adrianza,LAA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Cole Tucker,LAA,0.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0
Kevin Pillar,LAA,0.0,1.0,7.0,40.0,15.0,2.0,3.0,0.0,0.0
Willie Calhoun,LAA,0.0,0.0,0.0,52.0,3.0,3.0,3.0,0.0,0.0
Luis Guillorme,LAA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0
Niko Goodrum,LAA,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0
Kyren Paris,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Michael Stefanic,LAA,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0
Keston Hiura,LAA,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0
Charles Leblanc,LAA,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0
Niko Kavadas,LAA,0.0,0.0,0.0,8.0,1.0,1.0,3.0,9.0,6.0
Jack Lopez,LAA,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Bryce Teodosio,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Jordyn Adams,LAA,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0
Eric Wagaman,LAA,0.0,0.0,4.0,1.0,2.0,6.0,4.0,0.0,0.0
Gustavo Campero,LAA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0
Jose Altuve,HOU,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yordan Alvarez,HOU,0.0,53.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Tucker,HOU,2.0,30.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0
