player,avg,ngames,teamgames,team
Shohei Ohtani,2.33,153,162,LAA
Mike Trout,2.15,117,162,LAA
Anthony Rendon,3.85, 46,162,LAA
Matt Duffy,5.12, 58,162,LAA
Jo Adell,6.08, 71,162,LAA
Jared Walsh,4.71,108,162,LAA
Max Stassi,6.48, 94,162,LAA
Brandon Marsh,6.48,116,162,LAA
David Fletcher,3.98, 54,162,LAA
Jose Rojas,6.79, 14,162,LAA
Kurt Suzuki,7.07, 41,162,LAA
Tyler Wade,8.25, 48,162,LAA
Jack Mayfield,6.00, 18,162,LAA
Andrew Velazquez,8.84, 98,162,LAA
Taylor Ward,2.70,131,162,LAA
Chad Wallach,7.30, 10,162,LAA
Luis Rengifo,3.89,119,162,LAA
Aaron Whitefield,7.50,  2,162,LAA
Austin Romine,8.85, 39,162,LAA
Juan Lagares,6.56, 16,162,LAA
Dillon Thomas,6.33,  3,162,LAA
David MacKinnon,5.69, 13,162,LAA
Monte Harrison,9.00,  4,162,LAA
Jonathan Villar,5.37, 52,162,LAA
Michael Stefanic,6.79, 19,162,LAA
Phil Gosselin,7.71, 21,162,LAA
Magneuris Sierra,7.77, 22,162,LAA
Mickey Moniak,7.27, 30,162,LAA
Steven Duggar,8.05, 20,162,LAA
Mike Ford,6.03, 37,162,LAA
Matt Thaiss,6.37, 19,162,LAA
Ryan Aguilar,7.33,  6,162,LAA
Livan Soto,7.80, 15,162,LAA
Logan O'Hoppe,6.75,  4,162,LAA
Jose Altuve,1.00,137,162,HOU
Michael Brantley,2.00, 64,162,HOU
Alex Bregman,3.47,153,162,HOU
Yordan Alvarez,3.47,133,162,HOU
Yuli Gurriel,4.72,141,162,HOU
Kyle Tucker,4.93,148,162,HOU
Jeremy Pena,4.76,132,162,HOU
Chas McCormick,7.08, 99,162,HOU
Martin Maldonado,9.00,109,162,HOU
Aledmys Diaz,5.39, 76,162,HOU
Jose Siri,7.86, 87,162,HOU
Niko Goodrum,5.82, 11,162,HOU
Jason Castro,7.91, 22,162,HOU
J.J. Matijevic,6.71, 14,162,HOU
Mauricio Dubon,6.93, 59,162,HOU
Jake Meyers,7.71, 45,162,HOU
Korey Lee,9.00,  7,162,HOU
Trey Mancini,3.69,136,162,HOU
Christian Vazquez,6.66,102,162,HOU
David Hensley,8.29,  7,162,HOU
Yainer Diaz,7.50,  2,162,HOU
Tony Kemp,2.08,130,162,OAK
Billy McKinney,5.07, 15,162,OAK
Sean Murphy,3.67,146,162,OAK
Chad Pinder,4.30, 89,162,OAK
Seth Brown,4.17,132,162,OAK
Elvis Andrus,4.90,143,162,OAK
Kevin Smith,7.45, 42,162,OAK
Stephen Piscotty,5.79, 39,162,OAK
Cristian Pache,8.61, 69,162,OAK
Jed Lowrie,3.17, 42,162,OAK
Austin Allen,6.80,  5,162,OAK
Stephen Vogt,5.64, 45,162,OAK
Sheldon Neuse,4.84, 75,162,OAK
Christian Bethancourt,5.73, 84,162,OAK
Drew Jackson,9.00,  1,162,OAK
Nick Allen,7.88, 91,162,OAK
Mickey McDonald,8.50,  2,162,OAK
Christian Lopes,7.50,  2,162,OAK
Ramon Laureano,2.89, 92,162,OAK
Luis Barrera,7.59, 22,162,OAK
Matt Davidson,5.80, 10,162,OAK
Jonah Bride,5.30, 46,162,OAK
Skye Bolt,7.70, 30,162,OAK
Vimael Machin,3.69, 62,162,OAK
Dermis Garcia,5.90, 31,162,OAK
Cal Stevenson,6.84, 19,162,OAK
Shea Langeliers,5.92, 38,162,OAK
Cody Thomas,7.33,  9,162,OAK
Jordan Diaz,5.43, 14,162,OAK
Conner Capel,6.65, 17,162,OAK
Ernie Clement,7.32, 40,162,OAK
Nate Mondou,7.00,  1,162,OAK
George Springer,1.00,126,162,TOR
Bo Bichette,2.92,158,162,TOR
Vladimir Guerrero Jr.,2.59,158,162,TOR
Teoscar Hernandez,4.63,129,162,TOR
Lourdes Gurriel Jr.,5.11,120,162,TOR
Alejandro Kirk,4.51,123,162,TOR
Matt Chapman,6.03,153,162,TOR
Danny Jansen,7.93, 61,162,TOR
Cavan Biggio,7.56, 77,162,TOR
Raimel Tapia,6.85,107,162,TOR
Santiago Espinal,6.76,118,162,TOR
Zack Collins,6.59, 27,162,TOR
Tyler Heineman,8.68, 50,162,TOR
Bradley Zimmer,8.96, 27,162,TOR
Gosuke Katoh,8.00,  4,162,TOR
Vinny Capra,7.50,  2,162,TOR
Gabriel Moreno,8.06, 18,162,TOR
Whit Merrifield,3.16,129,162,TOR
Jackie Bradley Jr.,8.31, 96,162,TOR
Otto Lopez,4.50,  2,162,TOR
Eddie Rosario,6.13, 67,162,ATL
Matt Olson,3.39,161,162,ATL
Austin Riley,3.41,158,162,ATL
Marcell Ozuna,5.25,124,162,ATL
Ozzie Albies,3.97, 63,162,ATL
Adam Duvall,6.89, 80,162,ATL
Travis d'Arnaud,5.11,104,162,ATL
Alex Dickerson,7.00, 10,162,ATL
Dansby Swanson,3.51,162,162,ATL
Orlando Arcia,7.77, 61,162,ATL
William Contreras,6.08, 89,162,ATL
Manny Pina,8.40,  5,162,ATL
Guillermo Heredia,8.15, 20,162,ATL
Travis Demeritte,6.72, 25,162,ATL
Ronald Acuna Jr.,1.00,115,162,ATL
Michael Harris II,7.73,114,162,ATL
Robinson Cano,6.58, 26,162,ATL
Ehire Adrianza,7.96, 26,162,ATL
Robbie Grossman,4.68,118,162,ATL
Vaughn Grissom,7.08, 39,162,ATL
Chadwick Tromp,9.00,  1,162,ATL
Kolten Wong,4.04,114,162,MIL
Willy Adames,2.01,138,162,MIL
Christian Yelich,1.82,149,162,MIL
Andrew McCutchen,3.60,131,162,MIL
Rowdy Tellez,3.98,136,162,MIL
Hunter Renfroe,4.81,126,162,MIL
Omar Narvaez,7.19, 81,162,MIL
Lorenzo Cain,7.73, 41,162,MIL
Jace Peterson,7.83, 82,162,MIL
Keston Hiura,6.24, 67,162,MIL
Tyrone Taylor,7.43,101,162,MIL
Mike Brosseau,5.52, 44,162,MIL
Victor Caratini,7.91, 75,162,MIL
Alex Jackson,9.00,  3,162,MIL
Luis Urias,5.14,109,162,MIL
Mark Mathias,6.43, 21,162,MIL
Pablo Reyes,8.67,  3,162,MIL
Jonathan Davis,8.96, 25,162,MIL
Pedro Severino,8.00,  5,162,MIL
Mario Feliciano,9.00,  2,162,MIL
Garrett Mitchell,8.68, 19,162,MIL
Esteury Ruiz,8.11,  9,162,MIL
Dylan Carlson,4.37,110,162,STL
Paul Goldschmidt,2.71,150,162,STL
Tyler O'Neill,4.41, 88,162,STL
Nolan Arenado,3.82,147,162,STL
Albert Pujols,5.14, 81,162,STL
Paul DeJong,7.34, 58,162,STL
Yadier Molina,7.54, 71,162,STL
Harrison Bader,7.34, 77,162,STL
Tommy Edman,3.30,142,162,STL
Corey Dickerson,5.69, 72,162,STL
Andrew Knizner,8.46, 78,162,STL
Lars Nootbaar,5.49, 82,162,STL
Edmundo Sosa,8.07, 45,162,STL
Brendan Donovan,3.90,108,162,STL
Juan Yepez,4.91, 65,162,STL
Nolan Gorman,4.45, 73,162,STL
Ivan Herrera,9.00,  6,162,STL
Ben DeLuzio,9.00,  4,162,STL
Alec Burleson,6.29, 14,162,STL
Rafael Ortega,2.72, 85,162,CHC
Nick Madrigal,4.17, 53,162,CHC
Willson Contreras,2.17,111,162,CHC
Ian Happ,3.65,153,162,CHC
Frank Schwindel,5.03, 70,162,CHC
Seiya Suzuki,3.25,105,162,CHC
Jason Heyward,7.45, 40,162,CHC
Patrick Wisdom,5.13,128,162,CHC
Nico Hoerner,5.87,128,162,CHC
Alfonso Rivas III,6.79, 73,162,CHC
Clint Frazier,5.20, 10,162,CHC
Yan Gomes,6.33, 75,162,CHC
Michael Hermosillo,7.42, 19,162,CHC
Ildemaro Vargas,7.71, 56,162,CHC
Andrelton Simmons,8.86, 22,162,CHC
Christopher Morel,5.62,104,162,CHC
P.J. Higgins,7.39, 51,162,CHC
Nelson Velazquez,7.53, 47,162,CHC
David Bote,7.49, 35,162,CHC
Narciso Crook,6.00,  2,162,CHC
Zach McKinstry,4.02, 43,162,CHC
Franmil Reyes,4.68,113,162,CHC
Jared Young,7.20,  5,162,CHC
Esteban Quiroz,1.70, 10,162,CHC
Daulton Varsho,3.46,136,162,AZ
Ketel Marte,3.14,128,162,AZ
David Peralta,4.43,116,162,AZ
Christian Walker,4.01,158,162,AZ
Pavin Smith,4.26, 66,162,AZ
Carson Kelly,5.91, 88,162,AZ
Seth Beer,6.09, 33,162,AZ
Drew Ellis,8.67,  6,162,AZ
Geraldo Perdomo,8.51,137,162,AZ
Cooper Hummel,4.23, 43,162,AZ
Sergio Alcantara,7.75, 57,162,AZ
Jose Herrera,8.95, 41,162,AZ
Jake McCarthy,5.13, 83,162,AZ
Yonny Hernandez,8.17,  6,162,AZ
Nick Ahmed,7.33, 15,162,AZ
Jordan Luplow,3.82, 51,162,AZ
Josh Rojas,2.64,115,162,AZ
Alek Thomas,5.60,102,162,AZ
Jake Hager,8.41, 17,162,AZ
Grayson Greiner,9.00,  2,162,AZ
Buddy Kennedy,5.92, 25,162,AZ
Emmanuel Rivera,5.81, 89,162,AZ
Stone Garrett,3.76, 21,162,AZ
Corbin Carroll,5.85, 26,162,AZ
Wilmer Difo,8.00,  2,162,AZ
Mookie Betts,1.00,138,162,LAD
Freddie Freeman,2.48,159,162,LAD
Trea Turner,2.22,160,162,LAD
Justin Turner,5.21,127,162,LAD
Max Muncy,4.85,130,162,LAD
Will Smith,4.07,130,162,LAD
Chris Taylor,6.89,110,162,LAD
Cody Bellinger,7.57,136,162,LAD
Gavin Lux,8.03,118,162,LAD
Edwin Rios,5.90, 20,162,LAD
Austin Barnes,8.61, 54,162,LAD
Hanser Alberto,7.53, 38,162,LAD
Kevin Pillar,8.00,  4,162,LAD
Eddy Alvarez,8.00,  9,162,LAD
Trayce Thompson,7.28, 58,162,LAD
Jake Lamb,6.54, 24,162,LAD
James Outman,8.75,  4,162,LAD
Miguel Vargas,7.18, 11,162,LAD
Joey Gallo,7.11,102,162,LAD
Tony Wolters,9.00,  1,162,LAD
Mike Yastrzemski,4.00,126,162,SF
Brandon Belt,3.39, 67,162,SF
Darin Ruf,3.69, 81,162,SF
Joc Pederson,3.20,105,162,SF
Brandon Crawford,5.75,114,162,SF
Wilmer Flores,3.01,132,162,SF
Thairo Estrada,5.71,129,162,SF
Joey Bart,8.43, 82,162,SF
Austin Slater,2.20, 61,162,SF
Heliot Ramos,6.43,  7,162,SF
Luke Williams,8.43, 35,162,SF
Curt Casali,8.42, 50,162,SF
Jason Vosler,7.62, 29,162,SF
Luis Gonzalez,6.42, 89,162,SF
Jason Krizan,6.67,  3,162,SF
Kevin Padlo,6.00,  9,162,SF
LaMonte Wade Jr.,2.77, 62,162,SF
Evan Longoria,4.43, 67,162,SF
