,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,"Cozart, Zack",LAA,25.0,1.0,0.0,0.0,6.0,18.0,6.0,0.0,0.0
1,"Trout, Mike",LAA,2.0,81.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Upton, Justin",LAA,0.0,6.0,90.0,32.0,13.0,0.0,0.0,0.0,0.0
3,"Pujols, Albert",LAA,0.0,0.0,3.0,91.0,21.0,0.0,0.0,0.0,0.0
4,"Calhoun, Kole",LAA,64.0,5.0,0.0,0.0,13.0,4.0,10.0,19.0,14.0
5,"Simmons, Andrelton",LAA,1.0,19.0,1.0,10.0,49.0,59.0,3.0,2.0,0.0
6,"Valbuena, Luis",LAA,0.0,0.0,0.0,3.0,17.0,11.0,29.0,4.0,1.0
7,"Marte, Jefry",LAA,0.0,0.0,0.0,1.0,3.0,16.0,18.0,10.0,2.0
8,"Rivera, René",LAA,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,12.0
9,"Maldonado, Martín",LAA,0.0,0.0,0.0,0.0,1.0,3.0,8.0,35.0,28.0
10,"Ohtani, Shohei",LAA,0.0,8.0,12.0,22.0,23.0,9.0,1.0,5.0,0.0
11,"Schimpf, Ryan",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12,"Young, Chris",LAA,0.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,9.0
13,"Kinsler, Ian",LAA,52.0,0.0,0.0,0.0,2.0,12.0,19.0,2.0,2.0
14,"Blash, Jabari",LAA,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
15,"Heaney, Andrew",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16,"Barría, Jaime",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17,"Hermosillo, Michael",LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
18,"Briceño, José",LAA,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,13.0
19,"Cowart, Kaleb",LAA,0.0,0.0,0.0,0.0,0.0,1.0,10.0,17.0,4.0
20,"Fernández, José Miguel",LAA,0.0,7.0,0.0,1.0,6.0,4.0,10.0,2.0,0.0
21,"Fletcher, David",LAA,16.0,32.0,0.0,0.0,1.0,7.0,1.0,1.0,12.0
22,"Fontana, Nolan",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,"Peña, Félix",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
24,"McGuire, Deck",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,"Arcia, Francisco",LAA,0.0,0.0,0.0,0.0,2.0,3.0,11.0,6.0,4.0
26,"Young Jr., Eric",LAA,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,22.0
27,"Ward, Taylor",LAA,0.0,0.0,0.0,0.0,1.0,6.0,12.0,17.0,3.0
28,"Despaigne, Odrisamer",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,"Hudson, Joe",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
30,"Johnson, Sherman",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
31,"Springer, George",HOU,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
32,"Bregman, Alex",HOU,12.0,95.0,26.0,1.0,10.0,11.0,0.0,0.0,1.0
33,"Altuve, Jose",HOU,6.0,52.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Correa, Carlos",HOU,0.0,1.0,39.0,57.0,7.0,4.0,0.0,0.0,0.0
35,"Gonzalez, Marwin",HOU,0.0,4.0,0.0,14.0,25.0,45.0,35.0,8.0,1.0
