,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,"Escobar, Yunel",LAA,51.0,0.0,2.0,31.0,4.0,0.0,0.0,0.0,0.0
1,"Calhoun, Kole",LAA,11.0,75.0,1.0,25.0,21.0,11.0,9.0,0.0,0.0
2,"Trout, Mike",LAA,2.0,71.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Pujols, Albert",LAA,0.0,0.0,90.0,58.0,0.0,0.0,0.0,0.0,0.0
4,"Cron, C.J.",LAA,0.0,0.0,0.0,15.0,25.0,13.0,21.0,17.0,0.0
5,"Maybin, Cameron",LAA,56.0,2.0,0.0,0.0,1.0,14.0,12.0,3.0,1.0
6,"Simmons, Andrelton",LAA,9.0,6.0,2.0,3.0,72.0,56.0,10.0,0.0,0.0
7,"Espinosa, Danny",LAA,0.0,0.0,0.0,0.0,0.0,3.0,13.0,40.0,8.0
8,"Maldonado, Martín",LAA,0.0,0.0,0.0,0.0,2.0,17.0,18.0,48.0,46.0
9,"Marte, Jefry",LAA,0.0,0.0,1.0,5.0,12.0,10.0,7.0,0.0,0.0
10,"Revere, Ben",LAA,14.0,5.0,0.0,0.0,0.0,13.0,22.0,6.0,6.0
11,"Pennington, Cliff",LAA,0.0,1.0,0.0,0.0,0.0,0.0,9.0,13.0,27.0
12,"Pérez, Carlos",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
13,"Graterol, Juan",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0
14,"Valbuena, Luis",LAA,0.0,0.0,1.0,25.0,18.0,23.0,26.0,2.0,0.0
15,"Nolasco, Ricky",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16,"Meyer, Alex",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,"Chavez, Jesse",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
18,"Fontana, Nolan",LAA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
19,"Ramírez, JC",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,"Shoemaker, Matt",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,"Young Jr., Eric",LAA,2.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,10.0
22,"Robinson, Shane",LAA,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
23,"Cowart, Kaleb",LAA,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,21.0
24,"Franklin, Nick",LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
25,"Flores, Ramón",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
26,"Puello, César",LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,"Skaggs, Tyler",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,"Phillips, Brandon",LAA,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
29,"Upton, Justin",LAA,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Springer, George",HOU,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
31,"Bregman, Alex",HOU,2.0,42.0,1.0,0.0,5.0,19.0,23.0,47.0,9.0
32,"Altuve, Jose",HOU,5.0,44.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"Correa, Carlos",HOU,0.0,0.0,27.0,82.0,0.0,0.0,0.0,0.0,0.0
34,"Beltrán, Carlos",HOU,0.0,9.0,0.0,14.0,48.0,30.0,17.0,0.0,0.0
35,"Reddick, Josh",HOU,9.0,58.0,25.0,12.0,5.0,4.0,3.0,2.0,1.0
36,"Gurriel, Yuli",HOU,0.0,0.0,7.0,22.0,16.0,32.0,36.0,23.0,1.0
37,"McCann, Brian",HOU,0.0,0.0,0.0,8.0,22.0,21.0,26.0,13.0,6.0
38,"Aoki, Norichika",HOU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,40.0
39,"Gattis, Evan",HOU,0.0,0.0,0.0,21.0,23.0,17.0,10.0,5.0,0.0
40,"Gonzalez, Marwin",HOU,0.0,6.0,0.0,3.0,42.0,31.0,26.0,9.0,3.0
41,"Marisnick, Jake",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,57.0
42,"Kemp, Tony",HOU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
43,"Musgrove, Joe",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
44,"Keuchel, Dallas",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,"McCullers Jr., Lance",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,"Centeno, Juan",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
47,"Fisher, Derek",HOU,8.0,1.0,0.0,0.0,0.0,2.0,8.0,5.0,15.0
48,"Peacock, Brad",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
49,"Moran, Colin",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
50,"Morton, Charlie",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,"White, Tyler",HOU,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,1.0
52,"Fiers, Mike",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,"Reed, AJ",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,"Davis, J.D.",HOU,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0
55,"McHugh, Collin",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,"Stassi, Max",HOU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0
57,"Maybin, Cameron",HOU,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0
58,"Davis, Rajai",OAK,49.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,18.0
59,"Joyce, Matt",OAK,54.0,34.0,3.0,0.0,4.0,3.0,7.0,15.0,4.0
60,"Healy, Ryon",OAK,0.0,3.0,30.0,6.0,49.0,57.0,1.0,0.0,0.0
