player,avg,ngames,teamgames,team
David Fletcher,3.54,155,162,LAA
Shohei Ohtani,1.88,145,162,LAA
Mike Trout,2.97, 35,162,LAA
Anthony Rendon,3.47, 57,162,LAA
Justin Upton,3.57, 86,162,LAA
Albert Pujols,5.12, 58,162,LAA
Jose Iglesias,6.28,127,162,LAA
Max Stassi,5.95, 79,162,LAA
Dexter Fowler,9.00,  5,162,LAA
Jared Walsh,4.12,137,162,LAA
Kurt Suzuki,7.14, 63,162,LAA
Juan Lagares,7.53, 83,162,LAA
Jose Rojas,6.43, 42,162,LAA
Jon Jay,8.33,  3,162,LAA
Jack Mayfield,7.51, 76,162,LAA
Anthony Bemboom,8.29,  7,162,LAA
Luis Rengifo,7.09, 46,162,LAA
Scott Schebler,7.00,  8,162,LAA
Phil Gosselin,3.91, 88,162,LAA
Taylor Ward,5.86, 59,162,LAA
Drew Butera,8.58, 12,162,LAA
Kean Wong,7.31, 13,162,LAA
Dylan Bundy,8.00,  1,162,LAA
Andrew Heaney,8.50,  2,162,LAA
Alex Cobb,8.00,  1,162,LAA
Patrick Sandoval,8.00,  2,162,LAA
Adam Eaton,4.36, 67,162,LAA
Brandon Marsh,5.17, 63,162,LAA
Matt Thaiss,6.50,  2,162,LAA
Jo Adell,6.14, 35,162,LAA
Jaime Barria,8.00,  1,162,LAA
Reid Detmers,8.00,  1,162,LAA
Packy Naughton,8.00,  1,162,LAA
Junior Guerra,9.00,  1,162,LAA
Jose Altuve,1.00,143,162,HOU
Michael Brantley,2.26,117,162,HOU
Alex Bregman,3.06, 89,162,HOU
Kyle Tucker,5.79,133,162,HOU
Carlos Correa,4.60,146,162,HOU
Yordan Alvarez,3.96,135,162,HOU
Yuli Gurriel,4.28,139,162,HOU
Myles Straw,4.96,148,162,HOU
Martin Maldonado,8.87,118,162,HOU
Aledmys Diaz,4.94, 70,162,HOU
Jason Castro,8.29, 38,162,HOU
Chas McCormick,6.30, 70,162,HOU
Abraham Toro,5.53, 89,162,HOU
Ronnie Dawson,8.00,  1,162,HOU
Taylor Jones,7.29, 24,162,HOU
Alex De Goti,7.00,  2,162,HOU
Luis Garcia,9.00,  3,162,HOU
Jose Urquidy,9.00,  2,162,HOU
Robel Garcia,7.40, 25,162,HOU
Garrett Stubbs,8.71,  7,162,HOU
Framber Valdez,9.00,  2,162,HOU
Zack Greinke,8.00,  1,162,HOU
Lance McCullers Jr.,9.00,  1,162,HOU
Jake Odorizzi,9.00,  1,162,HOU
Jacob Wilson,8.33,  6,162,HOU
Jake Meyers,7.76, 37,162,HOU
Marwin Gonzalez,6.39, 75,162,HOU
Jose Siri,6.09, 11,162,HOU
Mark Canha,2.05,139,162,OAK
Ramon Laureano,3.01, 86,162,OAK
Matt Olson,3.15,155,162,OAK
Matt Chapman,5.12,150,162,OAK
Mitch Moreland,5.27, 62,162,OAK
Jed Lowrie,4.11,117,162,OAK
Elvis Andrus,7.67,139,162,OAK
Ka'ai Tom,6.79, 34,162,OAK
Aramis Garcia,8.74, 27,162,OAK
Chad Pinder,5.89, 56,162,OAK
Stephen Piscotty,7.06, 51,162,OAK
Tony Kemp,6.13, 90,162,OAK
Sean Murphy,6.44,108,162,OAK
Seth Brown,6.13, 69,162,OAK
Chris Bassitt,8.00,  1,162,OAK
Jesus Luzardo,9.00, 12,162,OAK
Vimael Machin,8.64, 11,162,OAK
Austin Allen,8.50,  2,162,OAK
Luis Barrera,8.50,  2,162,OAK
Frankie Montas,9.00,  2,162,OAK
Cole Irvin,9.00,  2,162,OAK
James Kaprielian,9.00,  2,162,OAK
Skye Bolt,8.50, 12,162,OAK
Sean Manaea,9.00,  2,162,OAK
Frank Schwindel,3.03, 59,162,OAK
Starling Marte,2.03,117,162,OAK
Yan Gomes,6.12, 92,162,OAK
Josh Harrison,3.89,131,162,OAK
