player,threeyearG,threeyearPA,battingpos2023,2023modelPAs162
 Hunter Goodman,0.0,0.0,6.42,644.0
 Sean Bouchard,27.0,97.0,7.2,630.0
 Bobby Witt Jr.,150.0,632.0,1.94,725.0
 MJ Melendez,129.0,534.0,3.65,694.0
 Salvador Perez,125.0,520.0,3.31,700.0
 Vinnie Pasquantino,72.0,298.0,2.66,712.0
 Franmil Reyes,131.0,530.0,5.8,656.0
 Hunter Dozier,131.0,515.0,7.04,633.0
 Kyle Isbel,67.0,180.0,7.52,625.0
 Nate Eaton,44.0,122.0,8.53,606.0
 Michael Massey,52.0,194.0,5.52,661.0
 Edward Olivares,59.0,186.0,5.05,669.0
 Jackie Bradley Jr.,138.0,461.0,8.56,606.0
 Matt Duffy,87.0,284.0,6.48,643.0
 Nick Pratto,49.0,182.0,4.37,681.0
 Freddy Fermin,3.0,7.0,6.38,645.0
 Maikel Garcia,9.0,23.0,3.03,705.0
 Drew Waters,32.0,109.0,7.56,624.0
 Dairon Blanco,5.0,7.0,8.56,606.0
 Samad Taylor,0.0,0.0,7.65,622.0
 Nick Loftin,0.0,0.0,7.0,634.0
 Logan Porter,0.0,0.0,7.89,618.0
 Tyler Cropley,0.0,0.0,7.5,625.0
 Nick Maton,44.0,108.0,4.77,674.0
 Riley Greene,93.0,418.0,2.27,719.0
 Javier Baez,147.0,590.0,4.5,679.0
 Kerry Carpenter,31.0,113.0,4.25,684.0
 Austin Meadows,92.0,383.0,4.75,674.0
 Spencer Torkelson,110.0,404.0,3.5,697.0
 Miguel Cabrera,132.0,528.0,6.18,649.0
 Zach McKinstry,43.0,125.0,2.97,707.0
 Matt Vierling,76.0,217.0,3.8,692.0
 Jonathan Schoop,135.0,554.0,7.18,631.0
 Jake Rogers,38.0,127.0,7.89,618.0
 Ryan Kreidler,26.0,84.0,9.0,598.0
 Akil Baddoo,98.0,343.0,4.78,674.0
 Tyler Nevin,32.0,101.0,6.12,650.0
 Zack Short,34.0,98.0,7.83,619.0
 Andy Ibanez,58.0,200.0,5.2,666.0
 Jake Marisnick,58.0,124.0,8.96,599.0
 Parker Meadows,0.0,0.0,6.51,643.0
 Andre Lipcius,0.0,0.0,6.62,641.0
 Max Kepler,122.0,488.0,4.23,684.0
 Carlos Correa,147.0,609.0,2.61,713.0
 Byron Buxton,86.0,334.0,3.08,705.0
 Trevor Larnach,65.0,240.0,5.02,670.0
 Jose Miranda,125.0,483.0,5.11,668.0
 Nick Gordon,106.0,330.0,6.18,649.0
 Joey Gallo,144.0,545.0,6.57,642.0
 Christian Vazquez,128.0,478.0,7.99,616.0
 Michael A. Taylor,123.0,417.0,8.74,603.0
 Ryan Jeffers,74.0,232.0,6.83,637.0
 Donovan Solano,109.0,399.0,3.36,700.0
 Willi Castro,111.0,407.0,6.42,644.0
 Kyle Farmer,126.0,434.0,6.04,651.0
 Matt Wallner,18.0,65.0,6.35,646.0
 Edouard Julien,0.0,0.0,1.91,726.0
 Kyle Garlick,45.0,110.0,5.5,661.0
 Jorge Polanco,135.0,566.0,2.79,710.0
 Alex Kirilloff,52.0,194.0,3.78,692.0
 Royce Lewis,12.0,41.0,4.27,683.0
 Andrew Stevenson,75.0,170.0,6.71,639.0
 Tim Anderson,111.0,500.0,1.25,738.0
 Luis Robert Jr.,106.0,437.0,nan,nan
 Andrew Benintendi,99.0,400.0,2.05,723.0
 Eloy Jimenez,96.0,389.0,3.87,690.0
 Yoan Moncada,129.0,558.0,4.36,682.0
 Gavin Sheets,89.0,294.0,5.98,652.0
 Yasmani Grandal,105.0,425.0,6.14,649.0
 Oscar Colas,0.0,0.0,7.68,622.0
 Elvis Andrus,124.0,473.0,7.11,632.0
 Andrew Vaughn,130.0,512.0,4.4,681.0
 Hanser Alberto,107.0,346.0,7.1,632.0
 Romy Gonzalez,21.0,71.0,8.42,608.0
 Lenyn Sosa,11.0,36.0,8.09,614.0
 Adam Haseley,44.0,98.0,7.29,629.0
 Clint Frazier,86.0,325.0,6.59,641.0
 Zach Remillard,0.0,0.0,7.31,628.0
 Korey Lee,12.0,26.0,9.0,598.0
 Tyler Naquin,113.0,390.0,7.5,625.0
 DJ LeMahieu,137.0,601.0,3.23,702.0
 Aaron Judge,127.0,546.0,2.01,724.0
 Anthony Rizzo,143.0,593.0,3.07,705.0
 Giancarlo Stanton,104.0,428.0,3.7,693.0
 Gleyber Torres,127.0,507.0,2.66,712.0
 Oswaldo Cabrera,44.0,171.0,7.52,625.0
 Jose Trevino,90.0,293.0,8.12,614.0
 Anthony Volpe,0.0,0.0,6.01,652.0
 Isiah Kiner-Falefa,152.0,608.0,6.14,649.0
 Kyle Higashioka,64.0,196.0,8.27,611.0
 Franchy Cordero,58.0,175.0,6.74,639.0
 Willie Calhoun,58.0,213.0,4.75,674.0
 Oswald Peraza,18.0,57.0,6.83,637.0
 Jake Bauers,115.0,315.0,3.9,690.0
 Ben Rortvedt,39.0,98.0,8.92,599.0
 Greg Allen,35.0,89.0,8.33,610.0
 Billy McKinney,48.0,122.0,6.29,647.0
 Everson Pereira,0.0,0.0,7.42,626.0
 Jasson Dominguez,0.0,0.0,3.25,702.0
 Austin Wells,0.0,0.0,4.67,676.0
 Estevan Florial,10.0,23.0,6.17,649.0
