player,threeyearG,threeyearPA,battingpos2023,2023modelPAs162
 Mike Yastrzemski,144.0,566.0,4.69,676.0
 David Villar,52.0,181.0,6.44,644.0
 Brandon Crawford,134.0,509.0,7.79,620.0
 Blake Sabol,0.0,0.0,6.79,638.0
 Roberto Perez,50.0,176.0,9.0,598.0
 J.D. Davis,113.0,398.0,4.05,687.0
 Wilmer Flores,146.0,538.0,3.09,704.0
 Bryce Johnson,11.0,19.0,9.0,598.0
 Heliot Ramos,9.0,22.0,7.88,618.0
 Joey Bart,63.0,199.0,7.8,620.0
 Matt Beaty,66.0,142.0,6.37,645.0
 Brett Wisely,0.0,0.0,8.62,605.0
 Austin Slater,113.0,304.0,2.19,721.0
 Mitch Haniger,107.0,469.0,4.82,673.0
 Cal Stevenson,23.0,71.0,9.0,598.0
 Casey Schmitt,0.0,0.0,7.83,619.0
 Patrick Bailey,0.0,0.0,6.08,651.0
 Luis Matos,0.0,0.0,6.75,638.0
 Isan Diaz,54.0,168.0,8.29,611.0
 Marco Luciano,0.0,0.0,6.62,641.0
 AJ Pollock,134.0,505.0,nan,nan
 Mark Mathias,37.0,94.0,7.76,620.0
 Wade Meckler,0.0,0.0,6.0,652.0
 Johan Camargo,54.0,176.0,7.8,620.0
 Tyler Fitzgerald,0.0,0.0,8.7,603.0
 Steven Kwan,147.0,638.0,1.0,742.0
 Jose Ramirez,155.0,669.0,2.72,711.0
 Josh Bell,151.0,606.0,4.03,687.0
 Josh Naylor,100.0,343.0,3.95,689.0
 Oscar Gonzalez,91.0,382.0,5.04,669.0
 Andres Gimenez,115.0,374.0,5.08,669.0
 Mike Zunino,74.0,242.0,7.68,622.0
 Myles Straw,133.0,489.0,8.32,610.0
 Cam Gallagher,44.0,111.0,8.94,599.0
 Gabriel Arias,16.0,57.0,6.78,638.0
 Will Brennan,11.0,45.0,6.8,638.0
 Tyler Freeman,24.0,86.0,5.64,658.0
 David Fry,0.0,0.0,6.24,648.0
 Brayan Rocchio,0.0,0.0,6.14,649.0
 Bo Naylor,5.0,8.0,8.31,610.0
 Kole Calhoun,107.0,407.0,3.98,688.0
 Jose Tena,0.0,0.0,8.75,602.0
 Zack Collins,46.0,129.0,8.5,607.0
 Eric Haase,76.0,261.0,7.3,629.0
 Julio Rodriguez,132.0,560.0,1.9,726.0
 Ty France,136.0,560.0,3.95,689.0
 Teoscar Hernandez,136.0,563.0,4.71,675.0
 Cal Raleigh,83.0,282.0,4.77,674.0
 Eugenio Suarez,150.0,609.0,4.18,685.0
 Jarred Kelenic,74.0,279.0,4.73,675.0
 Cooper Hummel,66.0,201.0,7.67,622.0
 J.P. Crawford,149.0,639.0,2.71,711.0
 Tommy La Stella,95.0,351.0,7.2,630.0
 Tom Murphy,56.0,184.0,7.09,632.0
 Sam Haggerty,51.0,147.0,8.22,612.0
 Jose Caballero,0.0,0.0,8.41,609.0
 Taylor Trammell,47.0,148.0,7.75,620.0
 Mike Ford,50.0,149.0,7.08,633.0
 Dylan Moore,111.0,354.0,7.44,626.0
 Cade Marlowe,0.0,0.0,7.57,624.0
 Brian O'Keefe,2.0,4.0,8.5,607.0
 Luis Arraez,117.0,470.0,1.77,728.0
 Jean Segura,125.0,513.0,6.15,649.0
 Garrett Cooper,94.0,359.0,4.38,681.0
 Jazz Chisholm Jr.,80.0,305.0,3.31,700.0
 Jorge Soler,112.0,459.0,2.12,722.0
 Avisail Garcia,125.0,485.0,5.34,664.0
 Yuli Gurriel,148.0,603.0,5.29,665.0
 Nick Fortes,43.0,137.0,8.0,616.0
 Jon Berti,97.0,359.0,6.29,647.0
 Jesus Sanchez,63.0,224.0,5.43,662.0
 Joey Wendle,124.0,456.0,7.35,628.0
 Jacob Stallings,113.0,399.0,8.29,611.0
 Garrett Hampson,127.0,406.0,7.82,619.0
 Peyton Burdick,32.0,102.0,7.11,632.0
 Xavier Edwards,0.0,0.0,7.79,620.0
 Jonathan Davis,45.0,95.0,8.04,615.0
 Jacob Amaya,0.0,0.0,8.67,604.0
 Dane Myers,0.0,0.0,8.18,613.0
 Jake Burger,33.0,112.0,5.24,666.0
 Brandon Nimmo,130.0,556.0,1.11,740.0
 Starling Marte,134.0,569.0,3.88,690.0
 Francisco Lindor,149.0,649.0,2.7,711.0
 Pete Alonso,155.0,656.0,3.84,691.0
 Jeff McNeil,136.0,526.0,4.23,684.0
 Tomas Nido,58.0,181.0,8.94,599.0
 Daniel Vogelbach,109.0,362.0,5.86,655.0
 Luis Guillorme,84.0,225.0,8.38,609.0
 Omar Narvaez,105.0,360.0,8.03,615.0
 Tim Locastro,64.0,141.0,8.59,605.0
 Francisco Alvarez,5.0,14.0,6.66,640.0
 Brett Baty,11.0,42.0,6.74,639.0
 Michael Perez,73.0,205.0,9.0,598.0
 Mark Vientos,16.0,41.0,6.61,641.0
 Gary Sanchez,126.0,464.0,6.62,641.0
 Danny Mendick,64.0,200.0,8.32,610.0
 DJ Stewart,62.0,208.0,nan,nan
 Rafael Ortega,110.0,350.0,7.37,627.0
 Jonathan Arauz,37.0,111.0,8.47,608.0
 Abraham Almonte,33.0,82.0,5.67,658.0
 Ronny Mauricio,0.0,0.0,4.8,674.0
 Luis Garcia,90.0,333.0,3.95,689.0
 Joey Meneses,56.0,240.0,3.39,699.0
 Dominic Smith,113.0,394.0,5.37,663.0
 Keibert Ruiz,49.0,184.0,4.56,678.0
 Corey Dickerson,115.0,410.0,5.88,654.0
 Lane Thomas,91.0,307.0,2.26,719.0
 CJ Abrams,90.0,302.0,4.79,674.0
 Victor Robles,126.0,429.0,8.59,605.0
 Alex Call,47.0,131.0,6.59,641.0
 Ildemaro Vargas,54.0,150.0,6.83,637.0
 Michael Chavis,95.0,326.0,7.3,629.0
 Riley Adams,48.0,138.0,7.23,630.0
 Stone Garrett,27.0,84.0,5.62,659.0
 Jake Alu,0.0,0.0,7.27,629.0
 Derek Hill,40.0,91.0,8.31,610.0
 Blake Rutherford,0.0,0.0,8.18,613.0
 Jeter Downs,14.0,41.0,9.0,598.0
 Carter Kieboom,76.0,289.0,5.83,655.0
 Jacob Young,0.0,0.0,8.5,607.0
 Travis Blankenhorn,9.0,13.0,5.2,666.0
 Drew Millas,0.0,0.0,7.38,627.0
 Ramon Urias,77.0,271.0,7.04,633.0
 Adley Rutschman,113.0,470.0,1.72,729.0
 Ryan Mountcastle,128.0,524.0,3.64,694.0
 Anthony Santander,121.0,510.0,3.11,704.0
 Austin Hays,122.0,491.0,4.47,680.0
 Gunnar Henderson,34.0,132.0,3.7,693.0
 Jorge Mateo,99.0,273.0,8.25,612.0
 Cedric Mullins,148.0,587.0,nan,nan
 Ryan McKenna,98.0,184.0,8.27,611.0
 Terrin Vavra,40.0,103.0,7.93,617.0
 Adam Frazier,156.0,621.0,6.62,641.0
 Kyle Stowers,34.0,98.0,6.78,638.0
 Anthony Bemboom,29.0,83.0,9.0,598.0
 James McCann,89.0,301.0,7.48,625.0
 Ryan O'Hearn,88.0,252.0,4.85,673.0
 Joey Ortiz,0.0,0.0,8.91,600.0
 Aaron Hicks,103.0,383.0,6.62,641.0
 Josh Lester,2.0,5.0,7.83,619.0
 Jordan Westburg,0.0,0.0,6.98,634.0
 Colton Cowser,0.0,0.0,7.47,626.0
 Heston Kjerstad,0.0,0.0,6.25,648.0
 Xander Bogaerts,148.0,614.0,3.99,688.0
 Juan Soto,144.0,616.0,2.82,709.0
 Manny Machado,155.0,657.0,3.4,699.0
 Nelson Cruz,136.0,556.0,5.48,661.0
 Jake Cronenworth,152.0,615.0,5.24,666.0
 Austin Nola,99.0,363.0,8.25,612.0
 Ha-Seong Kim,134.0,440.0,nan,nan
 Trent Grisham,148.0,577.0,7.79,620.0
 Jose Azocar,98.0,216.0,8.52,607.0
 Matt Carpenter,104.0,286.0,6.28,647.0
 Luis Campusano,10.0,33.0,6.41,645.0
 Rougned Odor,113.0,411.0,6.86,637.0
 David Dahl,64.0,244.0,8.0,616.0
 Brandon Dixon,9.0,26.0,7.4,627.0
 Brett Sullivan,0.0,0.0,8.79,602.0
 Fernando Tatis Jr.,145.0,620.0,1.83,727.0
 Adam Engel,85.0,217.0,9.0,598.0
 Alfonso Rivas,18.0,49.0,nan,nan
 Matthew Batten,15.0,22.0,7.73,621.0
 Taylor Kohlwey,0.0,0.0,7.67,622.0
 Ji Man Choi,0.0,0.0,5.2,666.0
 Ben Gamel,115.0,389.0,8.0,616.0
 Jurickson Profar,147.0,538.0,1.86,727.0
 Eguy Rosario,7.0,6.0,8.78,602.0
 Trea Turner,156.0,684.0,2.53,714.0
 Kyle Schwarber,142.0,582.0,1.86,727.0
