player,avg,ngames,teamgames,team
Taylor Ward,2.48, 90,162,LAA
Mike Trout,2.27, 81,162,LAA
Shohei Ohtani,2.40,135,162,LAA
Anthony Rendon,3.98, 44,162,LAA
Hunter Renfroe,5.39,126,162,LAA
Luis Rengifo,5.46,104,162,LAA
Brandon Drury,4.34,121,162,LAA
Gio Urshela,6.86, 56,162,LAA
Logan O'Hoppe,6.00, 49,162,LAA
Jake Lamb,6.00, 14,162,LAA
David Fletcher,8.38, 26,162,LAA
Matt Thaiss,6.59, 70,162,LAA
Brett Phillips,8.39, 18,162,LAA
Zach Neto,5.76, 79,162,LAA
Chad Wallach,7.98, 50,162,LAA
Chris Okey,8.00,  1,162,LAA
Mickey Moniak,3.97, 78,162,LAA
Livan Soto,9.00,  4,162,LAA
Jared Walsh,6.25, 28,162,LAA
Jo Adell,5.56, 16,162,LAA
Andrew Velazquez,8.88, 25,162,LAA
Michael Stefanic,7.78, 18,162,LAA
Kevin Padlo,6.00,  2,162,LAA
Eduardo Escobar,6.81, 73,162,LAA
Mike Moustakas,4.75, 87,162,LAA
Trey Cabbage,7.67, 15,162,LAA
C.J. Cron,4.18, 68,162,LAA
Randal Grichuk,5.34,114,162,LAA
Jordyn Adams,8.30, 10,162,LAA
Nolan Schanuel,1.00, 28,162,LAA
Kyren Paris,8.17, 12,162,LAA
Jeremy Pena,5.00,149,162,HOU
Alex Bregman,2.70,161,162,HOU
Yordan Alvarez,3.20,113,162,HOU
Jose Abreu,4.88,140,162,HOU
Kyle Tucker,3.98,155,162,HOU
Yainer Diaz,6.33, 85,162,HOU
Jake Meyers,8.08, 87,162,HOU
Martin Maldonado,8.97,115,162,HOU
Mauricio Dubon,3.71,108,162,HOU
Corey Julks,6.81, 77,162,HOU
David Hensley,7.00, 21,162,HOU
Chas McCormick,6.16,109,162,HOU
Cesar Salazar,8.75,  4,162,HOU
Rylan Bannon,8.00,  2,162,HOU
Jose Altuve,1.19, 90,162,HOU
Grae Kessinger,7.38,  8,162,HOU
Bligh Madris,6.50,  6,162,HOU
Jon Singleton,5.86, 22,162,HOU
Michael Brantley,6.29, 14,162,HOU
Tony Kemp,4.29,100,162,OAK
Conner Capel,6.59, 22,162,OAK
Aledmys Diaz,5.37, 83,162,OAK
Seth Brown,3.92, 92,162,OAK
Jesus Aguilar,4.38, 29,162,OAK
