player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
David Fletcher,LAA,87.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0
Shohei Ohtani,LAA,23.0,117.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Trout,LAA,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Rendon,LAA,0.0,1.0,30.0,25.0,2.0,0.0,0.0,0.0,0.0
Justin Upton,LAA,25.0,0.0,13.0,14.0,19.0,15.0,1.0,0.0,0.0
Albert Pujols,LAA,0.0,1.0,4.0,19.0,9.0,14.0,12.0,0.0,0.0
Jose Iglesias,LAA,4.0,1.0,3.0,7.0,24.0,24.0,38.0,11.0,16.0
Max Stassi,LAA,0.0,0.0,6.0,11.0,19.0,11.0,15.0,12.0,6.0
Dexter Fowler,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Jared Walsh,LAA,0.0,5.0,24.0,66.0,33.0,9.0,0.0,0.0,0.0
Kurt Suzuki,LAA,0.0,0.0,0.0,3.0,5.0,11.0,14.0,21.0,9.0
Juan Lagares,LAA,0.0,0.0,0.0,5.0,5.0,3.0,20.0,28.0,22.0
Jose Rojas,LAA,2.0,0.0,0.0,0.0,2.0,20.0,8.0,8.0,2.0
Jon Jay,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Jack Mayfield,LAA,0.0,1.0,2.0,5.0,9.0,4.0,3.0,15.0,37.0
Anthony Bemboom,LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0
Luis Rengifo,LAA,2.0,3.0,0.0,0.0,4.0,4.0,2.0,19.0,12.0
Scott Schebler,LAA,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
Phil Gosselin,LAA,2.0,7.0,37.0,20.0,10.0,4.0,2.0,5.0,1.0
Taylor Ward,LAA,3.0,1.0,5.0,1.0,6.0,16.0,21.0,5.0,1.0
Drew Butera,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
Kean Wong,LAA,0.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0
Dylan Bundy,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
