player,avg,ngames,teamgames,team
Taylor Ward,3.39,157,162,LAA
Nolan Schanuel,2.67,130,162,LAA
Mike Trout,2.69,128,162,LAA
Jorge Soler,4.35, 75,162,LAA
Tim Anderson,8.38, 26,162,LAA
Luis Rengifo,6.04,134,162,LAA
Logan O'Hoppe,5.97,108,162,LAA
Jo Adell,6.00,144,162,LAA
Kevin Newman,8.84, 31,162,LAA
Yoan Moncada,4.12, 73,162,LAA
Travis d'Arnaud,6.36, 56,162,LAA
Kyren Paris,7.97, 36,162,LAA
Nicky Lopez,9.00,  5,162,LAA
J.D. Davis,7.00,  2,162,LAA
Zach Neto,1.25,122,162,LAA
Gustavo Campero,8.06, 16,162,LAA
Matthew Lugo,7.64, 14,162,LAA
Chris Taylor,6.75, 28,162,LAA
Scott Kingery,8.44,  9,162,LAA
LaMonte Wade Jr.,6.04, 56,162,LAA
Christian Moore,7.36, 45,162,LAA
Chad Stevens,9.00,  5,162,LAA
Bryce Teodosio,9.00, 49,162,LAA
Oswald Peraza,8.07, 67,162,LAA
Niko Kavadas,7.86,  7,162,LAA
Logan Davidson,7.27, 11,162,LAA
Sebastian  Rivero,7.90, 10,162,LAA
Denzer Guzman,7.85, 13,162,LAA
Carter Kieboom,6.50,  2,162,LAA
Jose Altuve,2.38,154,162,HOU
Isaac Paredes,2.12,101,162,HOU
Yordan Alvarez,2.55, 47,162,HOU
Christian Walker,4.50,152,162,HOU
Yainer Diaz,5.44,135,162,HOU
Jeremy Pena,1.84,122,162,HOU
Cam Smith,6.50,123,162,HOU
Brendan Rodgers,7.72, 32,162,HOU
Jake Meyers,6.49, 95,162,HOU
Victor Caratini,5.47, 87,162,HOU
Zach Dezenzo,7.31, 29,162,HOU
Mauricio Dubon,8.18,104,162,HOU
Chas McCormick,8.32, 28,162,HOU
Jacob Melton,8.22, 23,162,HOU
Shay Whitcomb,8.50,  6,162,HOU
Cooper Hummel,7.29, 24,162,HOU
Luis Guillorme,9.00,  5,162,HOU
Taylor Trammell,6.59, 32,162,HOU
Zack Short,8.40, 15,162,HOU
Kenedy Corona,9.00,  1,162,HOU
Brice Matthews,7.73, 11,162,HOU
Jon Singleton,5.50,  2,162,HOU
Jesus Sanchez,3.23,115,162,HOU
Carlos Correa,3.43,142,162,HOU
Ramon Urias,6.48, 93,162,HOU
Cesar Salazar,9.00,  3,162,HOU
Zach Cole,6.69, 13,162,HOU
Lawrence Butler,2.51,140,162,ATH
Brent Rooker,2.80,161,162,ATH
JJ Bleday,5.86, 78,162,ATH
Shea Langeliers,3.52,120,162,ATH
Miguel Andujar,5.04, 80,162,ATH
Tyler Soderstrom,4.09,145,162,ATH
Gio Urshela,7.65, 51,162,ATH
Max Muncy,6.12,146,162,ATH
Jacob Wilson,3.44,125,162,ATH
Seth Brown,6.14, 14,162,ATH
Luis Urias,7.53, 87,162,ATH
Jhonny Pereda,8.55, 22,162,ATH
Max Schuemann,7.96, 47,162,ATH
Nick Kurtz,4.00,116,162,ATH
Denzel Clarke,8.80, 44,162,ATH
Willie MacIver,7.86, 29,162,ATH
CJ Alexander,6.50,  4,162,ATH
Drew Avans,7.60,  5,162,ATH
Austin Wynns,7.57, 28,162,ATH
Colby Thomas,5.14, 29,162,ATH
Zack Gelof,8.08, 26,162,ATH
Carlos Cortes,6.19, 21,162,ATH
Darell Hernaiz,6.82, 50,162,ATH
Brett Harris,8.05, 21,162,ATH
Bo Bichette,2.03,137,162,TOR
Vladimir Guerrero Jr.,2.56,154,162,TOR
Anthony Santander,3.50, 52,162,TOR
Andres Gimenez,6.84, 94,162,TOR
Alejandro Kirk,4.92,118,162,TOR
George Springer,2.98,131,162,TOR
Will Wagner,7.19, 36,162,TOR
Ernie Clement,6.34,140,162,TOR
Alan Roden,7.23, 39,162,TOR
Nathan Lukes,5.00,102,162,TOR
Davis Schneider,5.37, 60,162,TOR
Tyler Heineman,8.35, 46,162,TOR
Myles Straw,8.25, 67,162,TOR
Addison Barger,4.48,117,162,TOR
Jonatan Clase,8.33, 30,162,TOR
Daulton Varsho,4.88, 64,162,TOR
Michael Stefanic,8.67,  6,162,TOR
Ali Sanchez,8.60,  5,162,TOR
Will Robertson,7.90, 20,162,TOR
Leo Jimenez,8.56,  9,162,TOR
Joey Loperfido,6.88, 26,162,TOR
Ty France,5.28,113,162,TOR
Buddy Kennedy,8.30, 10,162,TOR
Isiah Kiner-Falefa,8.48,124,162,TOR
Jurickson Profar,1.39, 80,162,ATL
Austin Riley,2.85,102,162,ATL
Matt Olson,2.78,162,162,ATL
Marcell Ozuna,4.34,137,162,ATL
Ozzie Albies,5.30,157,162,ATL
Michael Harris II,6.31,157,162,ATL
Drake Baldwin,4.62, 97,162,ATL
Orlando Arcia,8.10, 58,162,ATL
Jarred Kelenic,8.25, 20,162,ATL
Nick Allen,8.87,125,162,ATL
Chadwick Tromp,8.86,  7,162,ATL
Bryan De La Cruz,6.25, 12,162,ATL
Stuart Fairchild,7.55, 11,162,ATL
Eli White,7.08, 62,162,ATL
Sean Murphy,5.81, 79,162,ATL
Alex Verdugo,3.20, 49,162,ATL
Eddie Rosario,8.00,  3,162,ATL
Ronald Acuna Jr.,2.23, 93,162,ATL
Luke Williams,8.75,  4,162,ATL
Nacho Alvarez Jr.,8.10, 58,162,ATL
Jonathan Ornelas,8.00,  2,162,ATL
Vidal Brujan,8.65, 17,162,ATL
Jake Fraley,7.65, 55,162,ATL
Ha-Seong Kim,5.26, 47,162,ATL
Sandy Leon,7.67,  3,162,ATL
Brett Wisely,8.75, 16,162,ATL
