player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
Austin Allen,OAK,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Stephen Vogt,OAK,0.0,0.0,0.0,10.0,11.0,12.0,9.0,3.0,0.0
Sheldon Neuse,OAK,6.0,25.0,1.0,1.0,6.0,4.0,16.0,10.0,6.0
Christian Bethancourt,OAK,0.0,1.0,9.0,6.0,19.0,22.0,17.0,8.0,2.0
Drew Jackson,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nick Allen,OAK,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,66.0
Mickey McDonald,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Christian Lopes,OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Ramon Laureano,OAK,5.0,43.0,19.0,9.0,14.0,2.0,0.0,0.0,0.0
Luis Barrera,OAK,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.0
Matt Davidson,OAK,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0
Jonah Bride,OAK,6.0,10.0,0.0,0.0,1.0,5.0,13.0,7.0,4.0
Skye Bolt,OAK,1.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,10.0
Vimael Machin,OAK,17.0,18.0,0.0,0.0,5.0,9.0,7.0,6.0,0.0
Dermis Garcia,OAK,0.0,2.0,0.0,2.0,10.0,5.0,6.0,5.0,1.0
Cal Stevenson,OAK,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0
Shea Langeliers,OAK,0.0,5.0,0.0,3.0,5.0,6.0,10.0,9.0,0.0
Cody Thomas,OAK,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0
Jordan Diaz,OAK,0.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,0.0
Conner Capel,OAK,0.0,0.0,0.0,0.0,2.0,6.0,5.0,4.0,0.0
Ernie Clement,OAK,0.0,1.0,0.0,0.0,1.0,3.0,21.0,5.0,9.0
Nate Mondou,OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
George Springer,TOR,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bo Bichette,TOR,0.0,90.0,20.0,22.0,19.0,5.0,1.0,0.0,0.0
Vladimir Guerrero Jr.,TOR,0.0,64.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
Teoscar Hernandez,TOR,0.0,0.0,6.0,51.0,56.0,14.0,1.0,0.0,0.0
Lourdes Gurriel Jr.,TOR,10.0,0.0,16.0,17.0,20.0,27.0,12.0,17.0,0.0
Matt Chapman,TOR,3.0,0.0,0.0,8.0,32.0,43.0,66.0,0.0,0.0
Alejandro Kirk,TOR,0.0,0.0,26.0,56.0,11.0,18.0,4.0,7.0,0.0
Raimel Tapia,TOR,6.0,1.0,0.0,1.0,5.0,23.0,32.0,17.0,22.0
Cavan Biggio,TOR,5.0,0.0,0.0,0.0,5.0,10.0,7.0,7.0,42.0
Santiago Espinal,TOR,8.0,6.0,0.0,1.0,6.0,14.0,17.0,53.0,13.0
Danny Jansen,TOR,0.0,0.0,0.0,1.0,3.0,2.0,11.0,19.0,24.0
Zack Collins,TOR,0.0,0.0,0.0,4.0,4.0,4.0,3.0,11.0,1.0
Tyler Heineman,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0
Bradley Zimmer,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0
Gosuke Katoh,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Vinny Capra,TOR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gabriel Moreno,TOR,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,4.0
Whit Merrifield,TOR,75.0,13.0,0.0,0.0,3.0,4.0,6.0,18.0,9.0
Jackie Bradley Jr.,TOR,0.0,0.0,0.0,0.0,1.0,5.0,9.0,28.0,52.0
Otto Lopez,TOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ozzie Albies,ATL,20.0,1.0,2.0,0.0,25.0,8.0,4.0,2.0,0.0
Matt Olson,ATL,0.0,44.0,35.0,58.0,19.0,4.0,0.0,0.0,0.0
Austin Riley,ATL,0.0,0.0,102.0,51.0,0.0,2.0,2.0,0.0,0.0
Marcell Ozuna,ATL,0.0,0.0,16.0,36.0,18.0,20.0,19.0,14.0,0.0
Adam Duvall,ATL,0.0,0.0,0.0,1.0,6.0,14.0,37.0,21.0,0.0
Eddie Rosario,ATL,2.0,0.0,0.0,1.0,15.0,23.0,12.0,10.0,3.0
Travis d'Arnaud,ATL,0.0,5.0,1.0,12.0,53.0,27.0,4.0,1.0,0.0
Dansby Swanson,ATL,18.0,102.0,0.0,0.0,0.0,1.0,10.0,8.0,22.0
Orlando Arcia,ATL,0.0,1.0,0.0,0.0,0.0,6.0,6.0,38.0,10.0
Alex Dickerson,ATL,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0
William Contreras,ATL,0.0,4.0,0.0,1.0,24.0,24.0,26.0,7.0,3.0
Manny Pina,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
Guillermo Heredia,ATL,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,7.0
Travis Demeritte,ATL,5.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,8.0
Ronald Acuna Jr.,ATL,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Harris II,ATL,1.0,3.0,5.0,1.0,1.0,13.0,12.0,14.0,64.0
Robinson Cano,ATL,0.0,0.0,1.0,0.0,0.0,14.0,3.0,6.0,1.0
