player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Nolan Arenado,4.0,9,16,STL,Nolan Arenado ,612,0.268,0.036,21,11,70,20,82,22,3,6,60,,688.0,76.0
J.P. Crawford,4.0,8,18,SEA,J.P. Crawford ,565,0.231,0.033,11,8,69,19,48,16,5,5,130,,688.0,123.0
Gio Urshela,4.0,7,17,ATH,Gio Urshela ,390,0.269,0.036,7,5,35,11,43,12,2,3,207,,688.0,298.0
Eugenio Suarez,4.1,10,18,AZ,Eugenio Suarez ,588,0.238,0.035,25,12,72,20,85,22,2,5,72,,686.0,98.0
Michael Toglia,4.1,10,16,COL,Michael Toglia ,536,0.199,0.033,19,10,59,17,49,16,6,6,120,,686.0,150.0
Colt Keith,4.11,9,15,DET,Colt Keith ,522,0.258,0.047,6,5,25,11,29,12,3,5,264,,686.0,164.0
Miguel Andujar,4.12,8,17,ATH,Miguel Andujar ,306,0.271,0.039,3,3,21,8,20,7,2,3,319,,686.0,380.0
Sal Frelick,4.12,8,16,MIL,Sal Frelick ,452,0.257,0.036,3,4,46,14,30,11,10,7,209,,686.0,234.0
Andres Gimenez,4.14,7,16,TOR,Andres Gimenez ,583,0.257,0.033,11,8,66,19,58,18,26,12,82,,685.0,102.0
Gavin Sheets,4.17,6,16,SD,Gavin Sheets ,136,0.227,0.032,3,2,10,3,14,4,0,1,360,,685.0,549.0
Addison Barger,4.17,6,16,TOR,Addison Barger ,155,0.203,0.044,2,1,7,3,9,3,0,1,389,,685.0,530.0
George Springer,4.17,6,16,TOR,George Springer ,597,0.242,0.034,20,11,76,21,63,19,13,9,49,,685.0,88.0
Austin Hays,4.17,6,15,CIN,Austin Hays ,417,0.258,0.033,9,6,47,14,40,12,3,4,180,,685.0,268.0
Jon Singleton,4.17,6,15,HOU,Jon Singleton ,116,0.211,0.036,2,1,10,3,10,3,0,1,386,,685.0,569.0
MJ Melendez,4.2,10,17,KC,MJ Melendez ,472,0.213,0.033,14,8,44,14,43,14,3,4,173,,684.0,212.0
Richie Palacios,4.2,10,16,TB,Richie Palacios ,325,0.233,0.035,8,5,34,10,29,9,10,6,205,,684.0,359.0
Thairo Estrada,4.22,9,16,COL,Thairo Estrada ,468,0.247,0.033,12,7,55,16,53,15,9,6,127,,684.0,216.0
