player,avg,ngames,teamgames,team
Anthony Rendon,1.25, 32,104,LAA
Aaron Hicks,4.15, 13,104,LAA
Mike Trout,2.29, 28,104,LAA
Taylor Ward,3.12,100,104,LAA
Brandon Drury,5.23, 48,104,LAA
Nolan Schanuel,2.38, 91,104,LAA
Miguel Sano,4.68, 22,104,LAA
Logan O'Hoppe,5.64, 85,104,LAA
Zach Neto,7.67, 98,104,LAA
Luis Rengifo,3.33, 67,104,LAA
Jo Adell,7.28, 81,104,LAA
Matt Thaiss,6.52, 21,104,LAA
Mickey Moniak,6.08, 73,104,LAA
Ehire Adrianza,5.67,  6,104,LAA
Cole Tucker,7.14, 14,104,LAA
Kevin Pillar,4.47, 43,104,LAA
Willie Calhoun,4.35, 52,104,LAA
Luis Guillorme,8.16, 32,104,LAA
Niko Goodrum,6.29,  7,104,LAA
Kyren Paris,9.00, 16,104,LAA
Michael Stefanic,5.43,  7,104,LAA
Keston Hiura,6.14,  7,104,LAA
Jose Altuve,1.08, 99,103,HOU
Yordan Alvarez,2.76, 96,103,HOU
Kyle Tucker,2.67, 58,103,HOU
Alex Bregman,3.08, 98,103,HOU
Jose Abreu,7.53, 30,103,HOU
Chas McCormick,7.81, 48,103,HOU
Yainer Diaz,5.22, 91,103,HOU
Jeremy Pena,5.31,100,103,HOU
Jake Meyers,6.83, 78,103,HOU
Mauricio Dubon,7.77, 65,103,HOU
Victor Caratini,8.07, 29,103,HOU
Jon Singleton,5.88, 67,103,HOU
Grae Kessinger,9.00,  2,103,HOU
Trey Cabbage,8.32, 19,103,HOU
Joey Loperfido,8.00, 29,103,HOU
Cooper Hummel,9.00,  1,103,HOU
Cesar Salazar,9.00,  7,103,HOU
Aledmys Diaz,8.50, 10,103,HOU
Esteury Ruiz,2.44, 16,107,OAK
Zack Gelof,5.71, 83,107,OAK
J.D. Davis,5.13, 38,107,OAK
Shea Langeliers,5.14, 81,107,OAK
Abraham Toro,2.27, 71,107,OAK
JJ Bleday,2.71, 94,107,OAK
Darell Hernaiz,7.82, 22,107,OAK
Nick Allen,8.59, 22,107,OAK
Lawrence Butler,5.67, 55,107,OAK
Ryan Noda,5.36, 22,107,OAK
Brent Rooker,3.49, 90,107,OAK
Seth Brown,5.48, 56,107,OAK
Kyle McCann,7.03, 29,107,OAK
Tyler Nevin,4.33, 45,107,OAK
Max Schuemann,7.93, 75,107,OAK
Brett Harris,8.40, 30,107,OAK
Tyler Soderstrom,5.36, 42,107,OAK
Daz Cameron,5.38, 21,107,OAK
Miguel Andujar,2.63, 52,107,OAK
Armando Alvarez,6.83,  6,107,OAK
Jacob Wilson,8.00,  1,107,OAK
George Springer,2.90, 93,104,TOR
Vladimir Guerrero Jr.,2.66,101,104,TOR
Bo Bichette,3.41, 78,104,TOR
Justin Turner,4.06, 79,104,TOR
Daulton Varsho,5.30, 88,104,TOR
Alejandro Kirk,6.74, 50,104,TOR
Kevin Kiermaier,8.74, 58,104,TOR
Isiah Kiner-Falefa,7.40, 72,104,TOR
Cavan Biggio,7.65, 48,104,TOR
Daniel Vogelbach,5.00, 20,104,TOR
Ernie Clement,7.71, 56,104,TOR
Brian Serven,8.50,  4,104,TOR
Davis Schneider,4.00, 75,104,TOR
Danny Jansen,4.33, 52,104,TOR
Addison Barger,7.41, 17,104,TOR
Spencer Horwitz,1.94, 35,104,TOR
Orelvis Martinez,8.00,  1,104,TOR
Leo Jimenez,8.54, 13,104,TOR
Steward Berroa,9.00,  2,104,TOR
Ronald Acuna Jr.,1.00, 48,103,ATL
Ozzie Albies,2.17, 89,103,ATL
Austin Riley,3.30, 88,103,ATL
Matt Olson,4.02,102,103,ATL
Marcell Ozuna,3.98,102,103,ATL
Michael Harris II,5.35, 66,103,ATL
Orlando Arcia,7.49, 96,103,ATL
Travis d'Arnaud,6.58, 53,103,ATL
Jarred Kelenic,5.04, 81,103,ATL
Adam Duvall,6.48, 67,103,ATL
Chadwick Tromp,8.75, 16,103,ATL
David Fletcher,9.00,  3,103,ATL
Zack Short,8.68, 22,103,ATL
Luke Williams,9.00,  4,103,ATL
Sean Murphy,6.97, 33,103,ATL
Brian Anderson,8.50,  2,103,ATL
J.P. Martinez,9.00,  1,103,ATL
Ramon Laureano,6.67, 30,103,ATL
Forrest Wall,7.80, 10,103,ATL
Eli White,9.00,  3,103,ATL
Eddie Rosario,5.53, 74,103,ATL
Nacho Alvarez Jr.,5.40,  5,103,ATL
Sal Frelick,4.77, 82,103,MIL
William Contreras,1.94, 98,103,MIL
Christian Yelich,2.97, 71,103,MIL
Willy Adames,3.81,103,103,MIL
Jake Bauers,5.56, 48,103,MIL
Rhys Hoskins,5.21, 76,103,MIL
Oliver Dunn,5.59, 22,103,MIL
Brice Turang,4.29, 93,103,MIL
Jackson Chourio,6.89, 79,103,MIL
Joey Ortiz,6.07, 70,103,MIL
Gary Sanchez,6.15, 39,103,MIL
Blake Perkins,7.72, 71,103,MIL
Andruw Monasterio,7.27, 22,103,MIL
Joey Wiemer,8.67,  6,103,MIL
Owen Miller,6.86,  7,103,MIL
Tyler Black,4.33,  9,103,MIL
Eric Haase,8.33,  6,103,MIL
Garrett Mitchell,6.93, 14,103,MIL
Vinny Capra,9.00,  2,103,MIL
Brendan Donovan,3.45, 97,104,STL
Paul Goldschmidt,3.39, 99,104,STL
Nolan Gorman,5.87, 86,104,STL
Nolan Arenado,4.46, 97,104,STL
Willson Contreras,3.00, 57,104,STL
Alec Burleson,3.55, 86,104,STL
Jordan Walker,7.28, 18,104,STL
Victor Scott II,8.19, 16,104,STL
Masyn Winn,4.06, 88,104,STL
Matt Carpenter,5.86, 28,104,STL
Ivan Herrera,5.85, 46,104,STL
Brandon Crawford,7.60, 20,104,STL
Michael Siani,8.97, 70,104,STL
Lars Nootbaar,4.42, 52,104,STL
Dylan Carlson,6.96, 28,104,STL
Jose Fermin,4.89,  9,104,STL
Pedro Pages,8.30, 30,104,STL
Nico Hoerner,2.81, 94,106,CHC
Seiya Suzuki,2.76, 78,106,CHC
Cody Bellinger,2.97, 78,106,CHC
Christopher Morel,4.25,100,106,CHC
Dansby Swanson,6.15, 91,106,CHC
Ian Happ,4.12, 99,106,CHC
Garrett Cooper,6.15, 27,106,CHC
Yan Gomes,8.73, 26,106,CHC
Michael Busch,4.62, 88,106,CHC
Mike Tauchman,3.56, 66,106,CHC
Miguel Amaya,8.67, 63,106,CHC
Nick Madrigal,7.25, 20,106,CHC
Miles Mastrobuoni,7.62, 24,106,CHC
Patrick Wisdom,4.15, 20,106,CHC
Alexander Canario,9.00,  6,106,CHC
Matt Mervis,7.12,  8,106,CHC
Pete Crow-Armstrong,8.38, 53,106,CHC
David Bote,7.71,  7,106,CHC
Tomas Nido,8.88, 40,106,CHC
Corbin Carroll,2.46, 93,104,AZ
Ketel Marte,1.60, 94,104,AZ
Lourdes Gurriel Jr.,3.76, 89,104,AZ
Christian Walker,4.00,101,104,AZ
Joc Pederson,3.50, 68,104,AZ
Gabriel Moreno,5.94, 67,104,AZ
Eugenio Suarez,6.20, 99,104,AZ
Alek Thomas,8.00, 17,104,AZ
Geraldo Perdomo,8.36, 39,104,AZ
Blaze Alexander,6.77, 44,104,AZ
Tucker Barnhart,8.43, 28,104,AZ
Jake McCarthy,6.08, 64,104,AZ
Jorge Barrosa,7.00,  2,104,AZ
Jace Peterson,7.00,  5,104,AZ
Randal Grichuk,5.17, 40,104,AZ
Kevin Newman,8.64, 56,104,AZ
Pavin Smith,5.38, 13,104,AZ
Jose Herrera,9.00,  8,104,AZ
Mookie Betts,1.00, 71,106,LAD
Shohei Ohtani,1.67,102,106,LAD
Freddie Freeman,2.96,103,106,LAD
Will Smith,3.34, 80,106,LAD
Max Muncy,5.20, 35,106,LAD
Teoscar Hernandez,4.55,103,106,LAD
James Outman,7.43, 35,106,LAD
Jason Heyward,6.62, 37,106,LAD
Gavin Lux,7.45, 74,106,LAD
Enrique Hernandez,7.24, 58,106,LAD
Chris Taylor,7.87, 45,106,LAD
Miguel Rojas,7.25, 53,106,LAD
Austin Barnes,8.96, 27,106,LAD
Taylor Trammell,9.00,  1,106,LAD
Andy Pages,6.02, 82,106,LAD
Miguel Vargas,7.20, 20,106,LAD
Nick Ahmed,8.77, 53,106,LAD
Jung Hoo Lee,1.29, 34,107,SF
Jorge Soler,3.39, 89,107,SF
LaMonte Wade Jr.,2.28, 54,107,SF
Matt Chapman,4.50,102,107,SF
Wilmer Flores,4.08, 51,107,SF
Michael Conforto,4.93, 71,107,SF
Thairo Estrada,5.52, 84,107,SF
Patrick Bailey,4.79, 68,107,SF
Tom Murphy,7.00, 10,107,SF
Luis Matos,4.72, 32,107,SF
Tyler Fitzgerald,7.39, 31,107,SF
Austin Slater,2.54, 28,107,SF
Mike Yastrzemski,6.56, 73,107,SF
Blake Sabol,7.56,  9,107,SF
Jakson Reetz,9.00,  2,107,SF
Heliot Ramos,3.71, 69,107,SF
Casey Schmitt,8.08, 13,107,SF
Brett Wisely,6.14, 42,107,SF
Curt Casali,8.55, 20,107,SF
Marco Luciano,7.43,  7,107,SF
Ryan McKenna,8.00,  5,107,SF
Trenton Brooks,8.56,  9,107,SF
David Villar,7.00,  8,107,SF
Derek Hill,8.25, 12,107,SF
Steven Kwan,1.00, 77,104,CLE
Andres Gimenez,3.47, 95,104,CLE
Jose Ramirez,2.96,100,104,CLE
Josh Naylor,3.99, 95,104,CLE
Will Brennan,5.87, 63,104,CLE
Tyler Freeman,4.55, 75,104,CLE
Bo Naylor,7.78, 65,104,CLE
Estevan Florial,6.04, 27,104,CLE
Brayan Rocchio,8.47, 77,104,CLE
David Fry,4.69, 61,104,CLE
Gabriel Arias,7.63, 43,104,CLE
Austin Hedges,8.46, 28,104,CLE
Kyle Manzardo,6.60, 20,104,CLE
Johnathan Rodriguez,6.30, 10,104,CLE
Daniel Schneemann,6.14, 35,104,CLE
Angel Martinez,2.64, 22,104,CLE
Jhonkensy Noel,5.79, 14,104,CLE
Jose Tena,9.00,  1,104,CLE
J.P. Crawford,1.00, 75,106,SEA
Julio Rodriguez,2.69, 96,106,SEA
Jorge Polanco,4.49, 65,106,SEA
Mitch Haniger,5.13, 78,106,SEA
Cal Raleigh,4.21, 90,106,SEA
Ty France,5.59, 83,106,SEA
Dominic Canzone,6.95, 42,106,SEA
Luis Urias,8.28, 25,106,SEA
Luke Raley,5.96, 69,106,SEA
Dylan Moore,6.63, 75,106,SEA
Josh Rojas,4.44, 77,106,SEA
Seby Zavala,8.86, 14,106,SEA
Mitch Garver,5.19, 81,106,SEA
Samad Taylor,9.00,  1,106,SEA
Jonatan Clase,8.50, 12,106,SEA
Leo Rivas,9.00,  2,106,SEA
