,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
564,563,Masyn Winn,STL,37,122,137,21,17,2,0,2,8,12,10,0,26,0,3,2,1,2,1,.172,2023
565,564,Seby Zavala,- - -,73,175,193,30,19,4,0,7,17,18,12,0,70,2,2,2,4,1,0,.171,2023
566,565,Blake Rutherford,WSN,16,35,36,6,6,0,0,0,4,2,1,0,10,0,0,0,1,0,0,.171,2023
567,566,Taylor Motter,STL,29,76,82,13,10,3,0,0,3,2,5,0,31,1,0,0,0,0,0,.171,2023
568,567,Vidal Brujan,TBR,37,76,84,13,11,2,0,0,14,6,5,0,21,2,0,1,1,3,2,.171,2023
569,568,T.J. Hopkins,CIN,25,41,44,7,7,0,0,0,7,1,2,0,17,1,0,0,1,1,0,.171,2023
570,569,Jonah Bride,OAK,40,88,106,15,12,3,0,0,9,7,11,0,22,4,2,1,3,0,1,.170,2023
571,570,Derek Hill,WSN,13,47,50,8,7,1,0,0,3,1,3,0,11,0,0,0,0,1,0,.170,2023
572,571,Bubba Thompson,TEX,37,53,60,9,4,4,1,0,10,4,4,0,16,1,1,1,0,4,2,.170,2023
573,572,Darick Hall,PHI,18,54,56,9,7,1,0,1,2,3,2,0,18,0,0,0,2,0,0,.167,2023
574,573,Dalton Guthrie,PHI,23,24,28,4,3,1,0,0,4,0,3,0,7,1,0,0,0,0,0,.167,2023
575,574,Buddy Kennedy,ARI,10,24,29,4,3,1,0,0,1,1,4,0,6,1,0,0,0,0,0,.167,2023
576,575,Tyler Cropley,KCR,2,6,7,1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,.167,2023
577,576,Vinny Capra,PIT,9,18,21,3,2,1,0,0,3,1,2,0,5,0,0,1,0,0,0,.167,2023
578,577,Cam Eden,TOR,5,6,6,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.167,2023
579,578,Michael Busch,LAD,27,72,81,12,7,3,0,2,9,7,8,0,27,0,1,0,0,1,0,.167,2023
580,579,Matt Mervis,CHC,27,90,99,15,10,2,0,3,8,11,8,0,32,1,0,0,1,0,0,.167,2023
581,580,A.J. Pollock,- - -,54,133,144,22,13,4,0,5,15,15,9,0,32,0,2,0,1,0,1,.165,2023
582,581,Jon Singleton,- - -,36,91,105,15,10,3,0,2,11,12,13,0,23,0,1,0,2,0,0,.165,2023
583,582,Ji-Man Choi,- - -,39,104,117,17,6,5,0,6,12,13,10,0,35,1,2,0,2,0,0,.163,2023
584,583,Trayce Thompson,- - -,72,153,179,25,17,2,0,6,17,17,24,0,77,2,0,0,1,2,0,.163,2023
585,584,Michael Toglia,COL,45,141,152,23,14,5,0,4,18,9,10,0,50,1,0,0,3,1,1,.163,2023
586,585,Bryce Johnson,SFG,30,43,48,7,5,1,0,1,7,3,4,0,15,0,1,0,0,3,0,.163,2023
587,586,Yu Chang,BOS,39,105,112,17,9,2,0,6,12,18,3,0,34,2,0,2,2,4,0,.162,2023
588,587,Jason Vosler,CIN,20,62,65,10,4,2,1,3,6,10,3,0,25,0,0,0,0,0,0,.161,2023
589,588,Travis Blankenhorn,WSN,10,31,37,5,4,0,0,1,2,1,6,0,6,0,0,0,0,0,0,.161,2023
590,589,Chris Owings,PIT,11,25,25,4,4,0,0,0,0,0,0,0,12,0,0,0,1,0,0,.160,2023
591,590,Tyler Soderstrom,OAK,45,125,138,20,16,1,0,3,9,7,11,0,43,1,1,0,6,0,0,.160,2023
592,591,Kyle Lewis,ARI,16,51,54,8,5,2,0,1,2,2,3,0,21,0,0,0,0,0,0,.157,2023
593,592,Taylor Kohlwey,SDP,5,13,13,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,.154,2023
594,593,Bligh Madris,HOU,12,26,30,4,3,1,0,0,4,0,4,0,7,0,0,0,0,0,0,.154,2023
595,594,Josh Donaldson,- - -,51,165,189,25,7,5,0,13,18,26,22,0,50,0,2,0,6,0,0,.152,2023
596,595,Everson Pereira,NYY,27,93,103,14,10,4,0,0,6,10,8,0,40,2,0,0,1,4,0,.151,2023
597,596,Sandy Leon,TEX,22,41,44,6,4,2,0,0,4,4,1,0,20,1,0,1,2,0,0,.146,2023
598,597,Austin Nola,SDP,52,130,154,19,15,3,0,1,9,8,18,0,31,2,0,4,5,0,0,.146,2023
599,598,Jorge Alfaro,- - -,18,48,52,7,2,4,0,1,2,4,2,0,15,2,0,0,3,0,0,.146,2023
600,599,David Villar,SFG,46,124,140,18,7,6,0,5,15,12,11,0,45,4,1,0,1,1,1,.145,2023
601,600,Jonathan Ornelas,TEX,8,7,8,1,1,0,0,0,2,0,0,0,4,1,0,0,0,0,0,.143,2023
602,601,Yonny Hernandez,LAD,14,22,27,3,2,1,0,0,5,4,2,0,8,1,1,1,0,0,0,.136,2023
603,602,Jonathan Arauz,NYM,27,59,66,8,5,0,0,3,3,9,5,0,18,0,0,2,1,0,0,.136,2023
604,603,Roberto Perez,SFG,5,15,17,2,2,0,0,0,0,1,2,0,6,0,0,0,0,0,0,.133,2023
605,604,Jackie Bradley Jr.,KCR,43,105,113,14,8,5,0,1,10,6,5,0,29,2,0,1,3,0,0,.133,2023
606,605,Brian Serven,COL,11,23,23,3,2,1,0,0,0,1,0,0,10,0,0,0,0,0,0,.130,2023
607,606,Taylor Trammell,SEA,22,46,56,6,3,0,0,3,7,11,9,0,22,1,0,0,2,0,1,.130,2023
608,607,Jordan Lawlar,ARI,14,31,34,4,4,0,0,0,2,0,2,0,11,1,0,0,0,1,1,.129,2023
609,608,Jordyn Adams,LAA,17,39,40,5,5,0,0,0,1,1,0,0,16,0,1,0,0,1,2,.128,2023
610,609,Cam Gallagher,CLE,56,143,149,18,12,6,0,0,6,7,4,0,46,1,1,0,3,0,0,.126,2023
611,610,Tomas Nido,NYM,22,56,61,7,7,0,0,0,5,1,2,0,18,0,1,2,2,0,0,.125,2023
612,611,Kevin Padlo,LAA,3,8,8,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.125,2023
613,612,Chadwick Tromp,ATL,6,16,16,2,1,1,0,0,1,1,0,0,7,0,0,0,0,0,0,.125,2023
614,613,Jared Walsh,LAA,39,104,116,13,5,4,0,4,10,11,11,0,45,1,0,0,1,0,0,.125,2023
615,614,Canaan Smith-Njigba,PIT,15,32,37,4,2,1,1,0,3,5,4,0,16,0,1,0,1,1,0,.125,2023
616,615,David Hamilton,BOS,15,33,39,4,2,2,0,0,2,0,6,0,10,0,0,0,1,2,1,.121,2023
617,616,David Hensley,HOU,30,84,94,10,8,1,0,1,12,3,10,0,35,0,0,0,0,1,0,.119,2023
618,617,Ben Rortvedt,NYY,32,68,79,8,5,1,0,2,6,4,11,0,19,0,0,0,1,0,0,.118,2023
619,618,Colton Cowser,BAL,26,61,77,7,5,2,0,0,15,4,13,0,22,2,1,0,1,1,0,.115,2023
620,619,David Dahl,SDP,4,9,9,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,.111,2023
621,620,Cesar Salazar,HOU,13,18,19,2,2,0,0,0,1,0,1,0,6,0,0,0,1,0,0,.111,2023
622,621,Ryan Kreidler,DET,11,18,18,2,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0,.111,2023
623,622,Brian O'Keefe,SEA,8,19,21,2,0,2,0,0,0,2,2,0,7,0,0,0,2,0,0,.105,2023
624,623,Juniel Querecuto,STL,9,20,21,2,1,1,0,0,2,0,1,0,6,0,0,0,0,0,0,.100,2023
625,624,Kyren Paris,LAA,15,40,46,4,4,0,0,0,4,1,4,0,17,1,0,1,0,3,0,.100,2023
626,625,Cooper Hummel,SEA,10,23,26,2,1,1,0,0,2,0,2,0,9,1,0,0,1,1,0,.087,2023
627,626,Korey Lee,CHW,24,65,70,5,3,1,0,1,4,3,5,0,20,0,0,0,0,0,0,.077,2023
628,627,Nate Eaton,KCR,28,53,56,4,4,0,0,0,2,1,2,0,21,1,0,0,0,3,0,.075,2023
629,628,Edwin Rios,CHC,18,28,34,2,0,1,0,1,3,2,5,0,16,1,0,0,0,0,0,.071,2023
630,629,Eli White,ATL,6,14,17,1,1,0,0,0,1,0,2,0,7,1,0,0,0,0,0,.071,2023
631,630,Abraham Almonte,NYM,8,15,16,1,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,.067,2023
632,631,Kyle Stowers,BAL,14,30,33,2,2,0,0,0,1,0,3,0,12,0,0,0,1,0,0,.067,2023
633,632,Luke Williams,- - -,11,19,19,1,1,0,0,0,1,0,0,0,7,0,0,0,0,4,0,.053,2023
634,633,Isan Diaz,- - -,8,24,26,1,1,0,0,0,0,1,2,0,9,0,0,0,0,0,0,.042,2023
635,634,Tommy Hunter,NYM,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
636,635,Matt Bush,MIL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
637,636,Adam Ottavino,NYM,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
638,637,Matt Moore,- - -,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
639,638,Zack Greinke,KCR,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
