,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,"Ward, Taylor",LAA,51.0,3.0,5.0,17.0,3.0,6.0,2.0,1.0,1.0
1,"Trout, Mike",LAA,0.0,58.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Ohtani, Shohei",LAA,5.0,71.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Rendon, Anthony",LAA,0.0,0.0,2.0,40.0,1.0,0.0,0.0,0.0,0.0
4,"Renfroe, Hunter",CIN,0.0,2.0,5.0,28.0,35.0,19.0,34.0,2.0,0.0
5,"Lamb, Jake",LAA,0.0,0.0,0.0,0.0,4.0,7.0,2.0,1.0,0.0
6,"Rengifo, Luis",LAA,25.0,2.0,3.0,2.0,9.0,6.0,22.0,25.0,9.0
7,"Urshela, Gio",LAA,0.0,0.0,0.0,0.0,3.0,14.0,28.0,9.0,1.0
8,"O'Hoppe, Logan",LAA,0.0,0.0,0.0,14.0,13.0,5.0,2.0,6.0,8.0
9,"Drury, Brandon",LAA,0.0,8.0,41.0,17.0,22.0,24.0,7.0,1.0,0.0
10,"Fletcher, David",LAA,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,19.0
11,"Thaiss, Matt",LAA,0.0,0.0,0.0,0.0,17.0,21.0,9.0,20.0,3.0
12,"Phillips, Brett",LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
13,"Neto, Zach",LAA,17.0,16.0,0.0,0.0,0.0,0.0,1.0,6.0,39.0
14,"Wallach, Chad",LAA,0.0,0.0,0.0,0.0,0.0,4.0,4.0,31.0,11.0
15,"Okey, Chris",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,"Moniak, Mickey",LAA,27.0,0.0,13.0,4.0,0.0,18.0,9.0,6.0,1.0
17,"Soto, Livan",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
18,"Walsh, Jared",LAA,0.0,0.0,0.0,4.0,5.0,7.0,5.0,6.0,1.0
