player,PAprediction,threeyearavgPA,PA23,lineup23,PA23lineup,PA24lineup,threeyearavgG,G23,G22,G21
Nick Fortes,266,137.0,240.0,8.0,616.0,598,43.0,72.0,14.0,0.0
Jon Berti,388,359.0,404.0,6.29,647.0,616,97.0,102.0,85.0,105.0
Jesus Sanchez,394,224.0,343.0,5.43,662.0,652,63.0,98.0,64.0,27.0
Joey Wendle,373,456.0,371.0,7.35,628.0,598.0,124.0,101.0,136.0,135.0
Jacob Stallings,421,399.0,384.0,8.29,611.0,598.0,113.0,114.0,112.0,113.0
Garrett Hampson,332,406.0,226.0,7.82,619.0,598.0,127.0,90.0,147.0,143.0
Peyton Burdick,118,102.0,102.0,7.11,632.0,598.0,32.0,32.0,0.0,0.0
Xavier Edwards,0,0.0,0.0,7.79,620.0,598.0,0.0,0.0,0.0,0.0
Jonathan Davis,137,95.0,91.0,8.04,615.0,598.0,45.0,37.0,64.0,35.0
Jacob Amaya,0,0.0,0.0,8.67,604.0,598.0,0.0,0.0,0.0,0.0
Dane Myers,0,0.0,0.0,8.18,613.0,598.0,0.0,0.0,0.0,0.0
Jake Burger,217,112.0,183.0,5.24,666.0,688,33.0,51.0,15.0,0.0
Brandon Nimmo,692,556.0,673.0,1.11,740.0,742,130.0,151.0,92.0,148.0
Starling Marte,488,569.0,505.0,3.88,690.0,670,134.0,118.0,120.0,165.0
Francisco Lindor,684,649.0,706.0,2.7,711.0,688,149.0,161.0,125.0,162.0
Pete Alonso,697,656.0,685.0,3.84,691.0,706,155.0,160.0,152.0,154.0
Jeff McNeil,661,526.0,589.0,4.23,684.0,724,136.0,148.0,120.0,140.0
Tomas Nido,362,181.0,313.0,8.94,599.0,598.0,58.0,98.0,58.0,19.0
Daniel Vogelbach,480,362.0,461.0,5.86,655.0,598.0,109.0,130.0,93.0,105.0
Luis Guillorme,377,225.0,335.0,8.38,609.0,598.0,84.0,102.0,69.0,81.0
Omar Narvaez,310,360.0,296.0,8.03,615.0,598,105.0,84.0,123.0,108.0
Tim Locastro,140,141.0,46.0,8.59,605.0,598.0,64.0,38.0,64.0,89.0
Francisco Alvarez,18,14.0,14.0,6.66,640.0,580,5.0,5.0,0.0,0.0
Brett Baty,43,42.0,42.0,6.74,639.0,634,11.0,11.0,0.0,0.0
Michael Perez,166,205.0,132.0,9.0,598.0,598.0,73.0,45.0,70.0,103.0
Mark Vientos,61,41.0,41.0,6.61,641.0,616,16.0,16.0,0.0,0.0
Gary Sanchez,472,464.0,471.0,6.62,641.0,598.0,126.0,128.0,117.0,132.0
Danny Mendick,114,200.0,106.0,8.32,610.0,598.0,64.0,31.0,71.0,89.0
D.J. Stewart,11,208.0,3.0,nan,nan,598.0,62.0,3.0,100.0,84.0
Rafael Ortega,436,350.0,371.0,7.37,627.0,598.0,110.0,118.0,103.0,0.0
Jonathan Arauz,55,111.0,41.0,8.47,608.0,598.0,37.0,15.0,28.0,68.0
Abraham Almonte,55,82.0,37.0,5.67,658.0,598.0,33.0,15.0,64.0,19.0
Ronny Mauricio,0,0.0,0.0,4.8,674.0,598.0,0.0,0.0,0.0,0.0
Luis Garcia,385,333.0,377.0,3.95,689.0,670,90.0,93.0,70.0,108.0
Joey Meneses,238,240.0,240.0,3.39,699.0,688,56.0,56.0,0.0,0.0
Dominic Smith,214,394.0,152.0,5.37,663.0,598.0,113.0,58.0,145.0,135.0
Keibert Ruiz,488,184.0,433.0,4.56,678.0,706,49.0,112.0,29.0,5.0
Corey Dickerson,358,410.0,297.0,5.88,654.0,598.0,115.0,97.0,109.0,140.0
Lane Thomas,652,307.0,548.0,2.26,719.0,724,91.0,146.0,77.0,49.0
CJ Abrams,412,302.0,302.0,4.79,674.0,742,90.0,90.0,0.0,0.0
Victor Robles,531,429.0,407.0,8.59,605.0,652,126.0,132.0,107.0,140.0
Alex Call,173,131.0,131.0,6.59,641.0,598.0,47.0,47.0,0.0,0.0
Ildemaro Vargas,219,150.0,222.0,6.83,637.0,562,54.0,63.0,34.0,65.0
Michael Chavis,476,326.0,426.0,7.3,629.0,598.0,95.0,129.0,43.0,113.0
Riley Adams,177,138.0,155.0,7.23,630.0,598.0,48.0,48.0,47.0,0.0
Stone Garrett,97,84.0,84.0,5.62,659.0,580,27.0,27.0,0.0,0.0
Jake Alu,0,0.0,0.0,7.27,629.0,616,0.0,0.0,0.0,0.0
Derek Hill,114,91.0,92.0,8.31,610.0,598.0,40.0,31.0,49.0,40.0
Blake Rutherford,0,0.0,0.0,8.18,613.0,598.0,0.0,0.0,0.0,0.0
Jeter Downs,52,41.0,41.0,9.0,598.0,598.0,14.0,14.0,0.0,0.0
Carter Kieboom,0,289.0,0.0,5.83,655.0,598,76.0,0.0,62.0,89.0
Jacob Young,0,0.0,0.0,8.5,607.0,598.0,0.0,0.0,0.0,0.0
Travis Blankenhorn,4,13.0,3.0,5.2,666.0,598.0,9.0,1.0,24.0,3.0
Drew Millas,0,0.0,0.0,7.38,627.0,598.0,0.0,0.0,0.0,0.0
Ramon Urias,422,271.0,445.0,7.04,633.0,580,77.0,118.0,85.0,27.0
Adley Rutschman,505,470.0,470.0,1.72,729.0,724,113.0,113.0,0.0,0.0
Ryan Mountcastle,567,524.0,609.0,3.64,694.0,634,128.0,145.0,144.0,94.0
Anthony Santander,662,510.0,647.0,3.11,704.0,706,121.0,152.0,110.0,100.0
Austin Hays,600,491.0,582.0,4.47,680.0,670,122.0,145.0,131.0,89.0
Gunnar Henderson,156,132.0,132.0,3.7,693.0,742,34.0,34.0,0.0,0.0
Jorge Mateo,554,273.0,533.0,8.25,612.0,598.0,99.0,150.0,89.0,59.0
Cedric Mullins II,576,587.0,672.0,nan,nan,598.0,148.0,156.0,159.0,130.0
Ryan McKenna,388,184.0,172.0,8.27,611.0,598.0,98.0,105.0,90.0,0.0
Terrin Vavra,148,103.0,103.0,7.93,617.0,598.0,40.0,40.0,0.0,0.0
Adam Frazier,576,621.0,602.0,6.62,641.0,598.0,156.0,156.0,155.0,157.0
Kyle Stowers,126,98.0,98.0,6.78,638.0,598.0,34.0,34.0,0.0,0.0
Anthony Bemboom,81,83.0,59.0,9.0,598.0,598.0,29.0,22.0,8.0,57.0
James McCann,225,301.0,191.0,7.48,625.0,598.0,89.0,61.0,121.0,84.0
Ryan O'Hearn,285,252.0,145.0,4.85,673.0,688,88.0,67.0,84.0,113.0
Joey Ortiz,0,0.0,0.0,8.91,600.0,598.0,0.0,0.0,0.0,0.0
Aaron Hicks,480,383.0,453.0,6.62,641.0,598.0,103.0,130.0,32.0,146.0
Josh Lester,7,5.0,5.0,7.83,619.0,598.0,2.0,2.0,0.0,0.0
Jordan Westburg,0,0.0,0.0,6.98,634.0,598,0.0,0.0,0.0,0.0
Colton Cowser,0,0.0,0.0,7.47,626.0,598.0,0.0,0.0,0.0,0.0
Heston Kjerstad,0,0.0,0.0,6.25,648.0,598.0,0.0,0.0,0.0,0.0
Xander Bogaerts,687,614.0,631.0,3.99,688.0,742,148.0,150.0,144.0,151.0
Juan Soto,667,616.0,664.0,2.82,709.0,706,144.0,153.0,151.0,127.0
Manny Machado,654,657.0,644.0,3.4,699.0,706,155.0,150.0,153.0,162.0
Nelson Cruz,458,556.0,507.0,5.48,661.0,598.0,136.0,124.0,140.0,143.0
Jake Cronenworth,653,615.0,684.0,5.24,666.0,670,152.0,158.0,152.0,146.0
Austin Nola,406,363.0,397.0,8.25,612.0,598.0,99.0,110.0,56.0,130.0
Ha-seong Kim,554,440.0,582.0,nan,nan,598.0,134.0,150.0,117.0,0.0
Trent Grisham,561,577.0,524.0,7.79,620.0,598.0,148.0,152.0,132.0,159.0
Jose Azocar,373,216.0,216.0,8.52,607.0,616,98.0,98.0,0.0,0.0
Matt Carpenter,173,286.0,154.0,6.28,647.0,598.0,104.0,47.0,130.0,135.0
Luis Campusano,59,33.0,50.0,6.41,645.0,598,10.0,16.0,11.0,3.0
Rougned Odor,498,411.0,472.0,6.86,637.0,598.0,113.0,135.0,102.0,103.0
David Dahl,0,244.0,0.0,8.0,616.0,598.0,64.0,0.0,63.0,65.0
Brandon Dixon,18,26.0,14.0,7.4,627.0,598.0,9.0,5.0,0.0,14.0
Brett Sullivan,0,0.0,0.0,8.79,602.0,598.0,0.0,0.0,0.0,0.0
Fernando Tatis Jr.,0,620.0,0.0,1.83,727.0,724,145.0,0.0,130.0,159.0
Adam Engel,439,217.0,260.0,9.0,598.0,598.0,85.0,119.0,39.0,97.0
Alfonso Rivas III,0,49.0,0.0,nan,nan,598.0,18.0,0.0,18.0,0.0
Matthew Batten,59,22.0,22.0,7.73,621.0,634,15.0,15.0,0.0,0.0
Taylor Kohlwey,0,0.0,0.0,7.67,622.0,598.0,0.0,0.0,0.0,0.0
Ji Man Choi,0,0.0,0.0,5.2,666.0,598.0,0.0,0.0,0.0,0.0
Ben Gamel,425,389.0,423.0,8.0,616.0,598.0,115.0,115.0,122.0,108.0
Jurickson Profar,561,538.0,658.0,1.86,727.0,598.0,147.0,152.0,137.0,151.0
Eguy Rosario,26,6.0,6.0,8.78,602.0,598.0,7.0,7.0,0.0,0.0
Trea Turner,715,684.0,708.0,2.53,714.0,724,156.0,160.0,148.0,159.0
Kyle Schwarber,710,582.0,669.0,1.86,727.0,742,142.0,155.0,113.0,159.0
J.T. Realmuto,575,542.0,562.0,5.43,662.0,670,133.0,139.0,134.0,127.0
Darick Hall,155,142.0,142.0,6.92,635.0,598.0,42.0,42.0,0.0,0.0
Nick Castellanos,547,599.0,558.0,3.9,690.0,652,145.0,136.0,138.0,162.0
Bryson Stott,497,466.0,466.0,4.3,683.0,634,127.0,127.0,0.0,0.0
Alec Bohm,646,511.0,631.0,5.23,666.0,688,129.0,152.0,115.0,119.0
Jake Cave,199,229.0,177.0,8.14,613.0,598.0,81.0,54.0,76.0,113.0
Brandon Marsh,510,360.0,461.0,7.27,629.0,616,102.0,134.0,70.0,0.0
Josh Harrison,439,410.0,425.0,7.38,627.0,598.0,115.0,119.0,138.0,89.0
Edmundo Sosa,271,258.0,190.0,7.88,618.0,562,96.0,78.0,113.0,0.0
Cristian Pache,336,113.0,260.0,8.67,604.0,598.0,39.0,91.0,22.0,5.0
Garrett Stubbs,185,62.0,121.0,8.62,605.0,598.0,35.0,50.0,18.0,38.0
Kody Clemens,210,127.0,127.0,7.95,617.0,598.0,57.0,57.0,0.0,0.0
Bryce Harper,431,561.0,426.0,3.32,700.0,706,132.0,99.0,141.0,157.0
Dalton Guthrie,52,28.0,28.0,9.0,598.0,598.0,14.0,14.0,0.0,0.0
Drew Ellis,26,50.0,17.0,7.71,621.0,598.0,18.0,7.0,28.0,0.0
Johan Rojas,0,0.0,0.0,8.82,601.0,598.0,0.0,0.0,0.0,0.0
Rodolfo Castro,262,186.0,278.0,6.61,641.0,598.0,51.0,71.0,31.0,0.0
Weston Wilson,0,0.0,0.0,7.0,634.0,598.0,0.0,0.0,0.0,0.0
Ke'Bryan Hayes,578,404.0,560.0,3.21,702.0,688,99.0,136.0,96.0,65.0
Bryan Reynolds,632,607.0,614.0,2.0,724.0,706,151.0,145.0,159.0,148.0
Andrew McCutchen,554,602.0,580.0,2.48,715.0,670,144.0,134.0,144.0,154.0
Connor Joe,397,339.0,467.0,3.84,691.0,580,87.0,111.0,63.0,0.0
Oneil Cruz,398,185.0,361.0,1.62,731.0,742,44.0,87.0,2.0,0.0
Ji Hwan Bae,45,37.0,37.0,5.78,656.0,724,10.0,10.0,0.0,0.0
Austin Hedges,376,291.0,338.0,8.97,599.0,580,96.0,105.0,88.0,94.0
Canaan Smith-Njigba,11,7.0,7.0,6.25,648.0,598.0,3.0,3.0,0.0,0.0
Jack Suwinski,427,372.0,372.0,4.61,677.0,652,106.0,106.0,0.0,0.0
Jason Delay,210,167.0,167.0,8.92,599.0,598.0,57.0,57.0,0.0,0.0
Tucupita Marcano,181,114.0,177.0,5.45,662.0,598.0,37.0,49.0,25.0,0.0
Drew Maggi,0,0.0,0.0,8.0,616.0,598.0,0.0,0.0,0.0,0.0
Miguel Andujar,125,159.0,140.0,5.45,662.0,562,46.0,36.0,45.0,57.0
Chris Owings,100,79.0,68.0,8.0,616.0,598.0,31.0,27.0,21.0,46.0
Josh Palacios,107,46.0,49.0,4.76,674.0,598.0,21.0,29.0,13.0,0.0
Henry Davis,0,0.0,0.0,4.88,672.0,598,0.0,0.0,0.0,0.0
Cal Mitchell,0,0.0,0.0,7.0,634.0,652,0.0,0.0,0.0,0.0
Nick Gonzales,0,0.0,0.0,7.28,629.0,598.0,0.0,0.0,0.0,0.0
Jared Triolo,0,0.0,0.0,6.43,644.0,598.0,0.0,0.0,0.0,0.0
Endy Rodriguez,0,0.0,0.0,6.06,651.0,598.0,0.0,0.0,0.0,0.0
Liover Peguero,3,4.0,4.0,7.23,630.0,562,1.0,1.0,0.0,0.0
Alika Williams,0,0.0,0.0,8.62,605.0,598.0,0.0,0.0,0.0,0.0
Vinny Capra,30,7.0,7.0,7.2,630.0,598.0,8.0,8.0,0.0,0.0
Joshua Palacios,0,0.0,0.0,5.38,663.0,634,0.0,0.0,0.0,0.0
Marcus Semien,737,695.0,724.0,1.05,741.0,742,155.0,161.0,162.0,143.0
Corey Seager,675,566.0,663.0,2.0,724.0,724,129.0,151.0,95.0,140.0
Nathaniel Lowe,684,497.0,645.0,3.24,702.0,706,124.0,157.0,157.0,57.0
Adolis Garcia,663,433.0,657.0,4.06,687.0,688,104.0,156.0,149.0,8.0
Josh Jung,108,102.0,102.0,4.81,673.0,670,26.0,26.0,0.0,0.0
Robbie Grossman,476,555.0,477.0,5.56,660.0,598.0,141.0,129.0,156.0,138.0
Mitch Garver,229,226.0,215.0,5.87,654.0,688,61.0,54.0,68.0,62.0
Brad Miller,299,360.0,241.0,7.6,623.0,598.0,117.0,81.0,140.0,130.0
Josh H. Smith,0,0.0,0.0,7.72,621.0,598.0,0.0,0.0,0.0,0.0
Jonah Heim,511,282.0,450.0,6.11,650.0,652,81.0,127.0,82.0,35.0
Ezequiel Duran,214,220.0,220.0,7.21,630.0,598,58.0,58.0,0.0,0.0
Travis Jankowski,162,89.0,64.0,5.67,658.0,598.0,54.0,44.0,76.0,43.0
Bubba Thompson,203,181.0,181.0,8.79,602.0,598.0,55.0,55.0,0.0,0.0
Leody Taveras,376,296.0,341.0,8.49,607.0,616,79.0,99.0,49.0,89.0
Sandy Leon,126,175.0,86.0,8.91,600.0,598.0,62.0,34.0,84.0,68.0
Sam Huff,162,132.0,132.0,7.8,620.0,598.0,44.0,44.0,0.0,0.0
J.P. Martinez,0,0.0,0.0,6.44,644.0,598.0,0.0,0.0,0.0,0.0
Evan Carter,0,0.0,0.0,9.0,598.0,634,0.0,0.0,0.0,0.0
Jonathan Ornelas,0,0.0,0.0,8.5,607.0,598.0,0.0,0.0,0.0,0.0
Yandy Diaz,627,491.0,558.0,1.06,741.0,742,121.0,137.0,134.0,92.0
Brandon Lowe,290,495.0,266.0,3.1,704.0,724,122.0,65.0,149.0,151.0
Randy Arozarena,650,485.0,645.0,3.31,700.0,688,119.0,153.0,141.0,62.0
Wander Franco,306,326.0,344.0,2.19,721.0,598.0,76.0,83.0,70.0,0.0
Luke Raley,86,72.0,72.0,5.2,666.0,634,28.0,22.0,33.0,0.0
Jose Siri,407,187.0,325.0,7.47,626.0,634,62.0,104.0,21.0,0.0
Taylor Walls,524,321.0,466.0,7.08,633.0,598.0,98.0,142.0,54.0,0.0
Josh Lowe,227,100.0,198.0,5.29,665.0,706,27.0,52.0,2.0,0.0
Francisco Mejia,343,230.0,299.0,8.6,605.0,598.0,74.0,93.0,84.0,46.0
Isaac Paredes,459,253.0,381.0,4.9,672.0,670,75.0,111.0,23.0,92.0
Harold Ramirez,430,275.0,435.0,4.2,684.0,580,76.0,120.0,99.0,8.0
Manuel Margot,329,419.0,363.0,7.19,631.0,598.0,114.0,89.0,125.0,127.0
Christian Bethancourt,373,333.0,333.0,8.24,612.0,598.0,101.0,101.0,0.0,0.0
Vidal Brujan,186,94.0,162.0,8.55,606.0,580,31.0,52.0,10.0,0.0
Jonathan Aranda,118,87.0,87.0,6.65,640.0,598.0,32.0,32.0,0.0,0.0
Rene Pinto,92,83.0,83.0,8.94,599.0,598,25.0,25.0,0.0,0.0
Curtis Mead,0,0.0,0.0,5.55,660.0,598.0,0.0,0.0,0.0,0.0
Osleivis Basabe,0,0.0,0.0,7.14,631.0,598.0,0.0,0.0,0.0,0.0
Tristan Gray,0,0.0,0.0,8.0,616.0,598.0,0.0,0.0,0.0,0.0
Junior Caminero,0,0.0,0.0,3.14,703.0,598.0,0.0,0.0,0.0,0.0
Alex Verdugo,595,615.0,644.0,2.33,718.0,634,147.0,152.0,146.0,143.0
Rafael Devers,630,649.0,614.0,3.05,705.0,724,150.0,141.0,156.0,154.0
Justin Turner,472,539.0,532.0,2.76,710.0,598.0,131.0,128.0,151.0,113.0
Masataka Yoshida,0,0.0,0.0,3.73,693.0,670,0.0,0.0,0.0,0.0
Adam Duvall,317,478.0,315.0,4.81,673.0,598.0,129.0,86.0,146.0,154.0
Triston Casas,115,95.0,95.0,5.74,657.0,688,27.0,27.0,0.0,0.0
Christian Arroyo,321,209.0,300.0,6.94,635.0,598.0,62.0,87.0,57.0,40.0
Reese McGuire,329,204.0,274.0,8.19,613.0,598.0,73.0,89.0,78.0,51.0
Rob Refsnyder,198,142.0,177.0,2.6,713.0,562,50.0,57.0,51.0,40.0
Connor Wong,100,35.0,56.0,8.42,608.0,598,16.0,27.0,6.0,0.0
Yu Chang,255,159.0,190.0,8.91,600.0,598.0,62.0,69.0,89.0,27.0
Bobby Dalbec,419,351.0,353.0,7.2,630.0,580,104.0,117.0,133.0,62.0
Jarren Duran,266,168.0,223.0,4.07,687.0,742,46.0,58.0,33.0,0.0
Enmanuel Valdez,0,0.0,0.0,8.0,616.0,598.0,0.0,0.0,0.0,0.0
Pablo Reyes,22,52.0,16.0,7.5,625.0,598.0,30.0,6.0,53.0,0.0
David Hamilton,0,0.0,0.0,8.27,611.0,598.0,0.0,0.0,0.0,0.0
Caleb Hamilton,81,23.0,23.0,9.0,598.0,598.0,22.0,22.0,0.0,0.0
Jorge Alfaro,303,285.0,274.0,6.58,642.0,598.0,86.0,82.0,92.0,84.0
Trevor Story,410,563.0,396.0,5.85,655.0,706,132.0,94.0,142.0,159.0
Wilyer Abreu,0,0.0,0.0,5.26,665.0,652,0.0,0.0,0.0,0.0
Ceddanne Rafaela,0,0.0,0.0,1.35,736.0,598.0,0.0,0.0,0.0,0.0
Jonathan India,380,531.0,431.0,2.22,720.0,598,126.0,103.0,150.0,0.0
Spencer Steer,119,108.0,108.0,4.16,685.0,688,28.0,28.0,0.0,0.0
Wil Myers,284,458.0,286.0,5.74,657.0,598.0,124.0,77.0,146.0,148.0
Tyler Stephenson,196,213.0,183.0,5.81,655.0,634,68.0,50.0,132.0,22.0
Kevin Newman,288,442.0,309.0,5.12,668.0,598.0,115.0,78.0,148.0,119.0
Stuart Fairchild,160,64.0,110.0,6.76,638.0,562,29.0,46.0,12.0,0.0
Curt Casali,210,219.0,176.0,8.81,601.0,598.0,73.0,57.0,77.0,84.0
Jose Barrero,177,138.0,174.0,8.36,610.0,598.0,45.0,48.0,21.0,65.0
T.J. Friedl,266,147.0,258.0,nan,nan,598.0,43.0,72.0,14.0,0.0
Jake Fraley,251,197.0,247.0,3.79,692.0,598.0,55.0,68.0,78.0,19.0
Jason Vosler,133,96.0,111.0,6.0,652.0,598.0,38.0,36.0,41.0,0.0
Will Benson,100,61.0,61.0,8.02,616.0,580,28.0,28.0,0.0,0.0
Luke Maile,281,120.0,206.0,8.89,600.0,598.0,46.0,76.0,15.0,0.0
Nick Senzel,430,252.0,420.0,5.78,656.0,634,69.0,110.0,36.0,62.0
Henry Ramos,0,55.0,0.0,6.05,651.0,598.0,18.0,0.0,18.0,0.0
Matt McLain,0,0.0,0.0,2.24,720.0,706,0.0,0.0,0.0,0.0
TJ Hopkins,0,0.0,0.0,8.44,608.0,598.0,0.0,0.0,0.0,0.0
Joey Votto,336,504.0,376.0,5.72,657.0,598.0,122.0,91.0,129.0,146.0
Christian Encarnacion-Str,0,0.0,0.0,5.78,656.0,598.0,0.0,0.0,0.0,0.0
Noelvi Marte,0,0.0,0.0,6.67,640.0,616,0.0,0.0,0.0,0.0
Nick Martini,0,45.0,0.0,4.18,685.0,598.0,25.0,0.0,25.0,0.0
Harrison Bader,298,350.0,313.0,5.65,658.0,562,108.0,86.0,103.0,135.0
Alejo Lopez,225,90.0,156.0,7.0,634.0,598.0,38.0,61.0,14.0,0.0
Yonathan Daza,417,370.0,408.0,6.0,652.0,598.0,110.0,113.0,107.0,0.0
Kris Bryant,178,388.0,181.0,2.72,711.0,688,93.0,42.0,144.0,92.0
Charlie Blackmon,618,609.0,577.0,1.32,736.0,742,148.0,135.0,150.0,159.0
Ryan McMahon,633,571.0,597.0,3.77,692.0,670,148.0,153.0,151.0,140.0
Elehuris Montero,190,185.0,185.0,6.32,646.0,580,53.0,53.0,0.0,0.0
Elias Diaz,423,316.0,381.0,4.61,677.0,652,94.0,105.0,106.0,70.0
Harold Castro,443,309.0,443.0,7.27,629.0,598.0,95.0,120.0,106.0,59.0
Ezequiel Tovar,35,35.0,35.0,5.01,670.0,634,9.0,9.0,0.0,0.0
Brian Serven,229,205.0,205.0,9.0,598.0,598.0,62.0,62.0,0.0,0.0
Alan Trejo,129,88.0,125.0,7.56,624.0,598.0,32.0,35.0,28.0,0.0
Brenton Doyle,0,0.0,0.0,8.34,610.0,598,0.0,0.0,0.0,0.0
Michael Toglia,114,120.0,120.0,7.08,633.0,598.0,31.0,31.0,0.0,0.0
Nolan Jones,122,94.0,94.0,4.83,673.0,706,28.0,28.0,0.0,0.0
Coco Montes,0,0.0,0.0,7.7,621.0,598.0,0.0,0.0,0.0,0.0
Connor Kaiser,0,0.0,0.0,9.0,598.0,598.0,0.0,0.0,0.0,0.0
Brendan Rodgers,612,351.0,581.0,4.31,682.0,724,86.0,137.0,102.0,19.0
Cole Tucker,66,169.0,63.0,8.0,616.0,598.0,54.0,18.0,43.0,100.0
Hunter Goodman,0,0.0,0.0,6.42,644.0,598.0,0.0,0.0,0.0,0.0
Sean Bouchard,100,97.0,97.0,7.2,630.0,598.0,27.0,27.0,0.0,0.0
Bobby Witt Jr.,670,632.0,632.0,1.94,725.0,724,150.0,150.0,0.0,0.0
MJ Melendez,548,534.0,534.0,3.65,694.0,688,129.0,129.0,0.0,0.0
Salvador Perez,497,520.0,473.0,3.31,700.0,706,125.0,114.0,161.0,100.0
Vinnie Pasquantino,298,298.0,298.0,2.66,712.0,670,72.0,72.0,0.0,0.0
Franmil Reyes,436,530.0,473.0,5.8,656.0,598.0,131.0,118.0,115.0,159.0
Hunter Dozier,476,515.0,500.0,7.04,633.0,598.0,131.0,129.0,144.0,119.0
Kyle Isbel,391,180.0,278.0,7.52,625.0,598,67.0,106.0,28.0,0.0
Nate Eaton,162,122.0,122.0,8.53,606.0,598.0,44.0,44.0,0.0,0.0
Michael Massey,204,194.0,194.0,5.52,661.0,634,52.0,52.0,0.0,0.0
Edward Olivares,196,186.0,174.0,5.05,669.0,598.0,59.0,53.0,39.0,84.0
Jackie Bradley Jr.,487,461.0,370.0,8.56,606.0,598.0,138.0,132.0,134.0,148.0
Matt Duffy,284,284.0,247.0,6.48,643.0,598.0,87.0,77.0,97.0,0.0
Nick Pratto,181,182.0,182.0,4.37,681.0,598.0,49.0,49.0,0.0,0.0
Freddy Fermin,11,7.0,7.0,6.38,645.0,598.0,3.0,3.0,0.0,0.0
Maikel Garcia,41,23.0,23.0,3.03,705.0,742,9.0,9.0,0.0,0.0
Drew Waters,118,109.0,109.0,7.56,624.0,598.0,32.0,32.0,0.0,0.0
Dairon Blanco,18,7.0,7.0,8.56,606.0,580,5.0,5.0,0.0,0.0
Samad Taylor,0,0.0,0.0,7.65,622.0,598.0,0.0,0.0,0.0,0.0
Nick Loftin,0,0.0,0.0,7.0,634.0,598.0,0.0,0.0,0.0,0.0
Logan Porter,0,0.0,0.0,7.89,618.0,598.0,0.0,0.0,0.0,0.0
Tyler Cropley,0,0.0,0.0,7.5,625.0,598.0,0.0,0.0,0.0,0.0
Nick Maton,129,108.0,85.0,4.77,674.0,598.0,44.0,35.0,52.0,0.0
Riley Greene,364,418.0,418.0,2.27,719.0,634,93.0,93.0,0.0,0.0
Javier Baez,580,590.0,590.0,4.5,679.0,652,147.0,144.0,138.0,159.0
Kerry Carpenter,132,113.0,113.0,4.25,684.0,688,31.0,31.0,0.0,0.0
Austin Meadows,133,383.0,147.0,4.75,674.0,598.0,92.0,36.0,142.0,97.0
Spencer Torkelson,479,404.0,404.0,3.5,697.0,706,110.0,110.0,0.0,0.0
Miguel Cabrera,413,528.0,433.0,6.18,649.0,598.0,132.0,112.0,130.0,154.0
Zach McKinstry,255,125.0,185.0,2.97,707.0,724,43.0,57.0,60.0,11.0
Matt Vierling,536,217.0,357.0,3.8,692.0,742,76.0,117.0,34.0,0.0
Jonathan Schoop,484,554.0,510.0,7.18,631.0,598.0,135.0,131.0,156.0,119.0
Jake Rogers,0,127.0,0.0,7.89,618.0,598,38.0,0.0,38.0,0.0
Ryan Kreidler,96,84.0,84.0,9.0,598.0,598.0,26.0,26.0,0.0,0.0
Akil Baddoo,269,343.0,225.0,4.78,674.0,598.0,98.0,73.0,124.0,0.0
Tyler Nevin,214,101.0,184.0,6.12,650.0,598.0,32.0,58.0,6.0,0.0
Zack Short,22,98.0,13.0,7.83,619.0,598.0,34.0,6.0,61.0,0.0
Andy Ibanez,143,200.0,128.0,5.2,666.0,580,58.0,40.0,76.0,0.0
Jake Marisnick,114,124.0,82.0,8.96,599.0,598.0,58.0,31.0,99.0,43.0
Parker Meadows,0,0.0,0.0,6.51,643.0,616,0.0,0.0,0.0,0.0
Andre Lipcius,0,0.0,0.0,6.62,641.0,598.0,0.0,0.0,0.0,0.0
Max Kepler,476,488.0,446.0,4.23,684.0,670,122.0,115.0,121.0,130.0
Carlos Correa,578,609.0,590.0,2.61,713.0,688,147.0,136.0,148.0,157.0
Byron Buxton,370,334.0,382.0,3.08,705.0,652,86.0,92.0,61.0,105.0
Trevor Larnach,188,240.0,180.0,5.02,670.0,598.0,65.0,51.0,79.0,0.0
Jose Miranda,461,483.0,483.0,5.11,668.0,598.0,125.0,125.0,0.0,0.0
Nick Gordon,509,330.0,443.0,6.18,649.0,598.0,106.0,138.0,73.0,0.0
Joey Gallo,465,545.0,410.0,6.57,642.0,598.0,144.0,126.0,153.0,154.0
Christian Vazquez,426,478.0,426.0,7.99,616.0,580,128.0,119.0,138.0,127.0
Michael A. Taylor,458,417.0,456.0,8.74,603.0,598.0,123.0,124.0,142.0,103.0
Ryan Jeffers,255,232.0,236.0,6.83,637.0,616,74.0,67.0,85.0,70.0
Donovan Solano,295,399.0,304.0,3.36,700.0,598.0,109.0,80.0,101.0,146.0
Willi Castro,389,407.0,392.0,6.42,644.0,562,111.0,112.0,125.0,97.0
Kyle Farmer,535,434.0,583.0,6.04,651.0,598.0,126.0,145.0,147.0,86.0
Matt Wallner,70,65.0,65.0,6.35,646.0,634,18.0,18.0,0.0,0.0
Edouard Julien,0,0.0,0.0,1.91,726.0,742,0.0,0.0,0.0,0.0
Kyle Garlick,244,110.0,162.0,5.5,661.0,598.0,45.0,66.0,36.0,32.0
Jorge Polanco,453,566.0,445.0,2.79,710.0,706,135.0,104.0,152.0,148.0
Alex Kirilloff,166,194.0,156.0,3.78,692.0,598,52.0,45.0,59.0,0.0
Royce Lewis,54,41.0,41.0,4.27,683.0,724,12.0,12.0,0.0,0.0
Andrew Stevenson,0,170.0,0.0,6.71,639.0,598.0,75.0,0.0,109.0,40.0
