player,PAprediction,threeyearavgPA,PA23,lineup23,PA23lineup,PA24lineup,threeyearavgG,G23,G22,G21
Jon Singleton,0,0.0,0.0,5.86,655.0,562,0.0,0.0,0.0,0.0
Michael Brantley,236,430.0,277.0,6.29,647.0,598.0,103.0,64.0,121.0,124.0
Esteury Ruiz,67,36.0,36.0,3.28,701.0,634,17.0,17.0,0.0,0.0
Aledmys Diaz,350,268.0,327.0,5.4,663.0,616,74.0,92.0,84.0,46.0
Seth Brown,637,292.0,555.0,3.92,689.0,688,93.0,150.0,111.0,19.0
Jesus Aguilar,476,533.0,507.0,4.36,682.0,598.0,133.0,129.0,131.0,138.0
Brent Rooker,70,102.0,36.0,3.5,697.0,706,31.0,16.0,58.0,19.0
Ramon Laureano,399,453.0,383.0,4.54,678.0,688,109.0,94.0,88.0,146.0
Shea Langeliers,165,153.0,153.0,6.71,639.0,670,40.0,40.0,0.0,0.0
Tony Kemp,543,421.0,558.0,4.32,682.0,598.0,137.0,147.0,131.0,132.0
Nick Allen,369,326.0,326.0,8.7,603.0,598.0,100.0,100.0,0.0,0.0
Jace Peterson,430,265.0,328.0,6.25,648.0,616,92.0,113.0,94.0,70.0
Conner Capel,81,59.0,59.0,6.81,637.0,598.0,22.0,22.0,0.0,0.0
Ryan Noda,0,0.0,0.0,2.53,714.0,742,0.0,0.0,0.0,0.0
Carlos Perez,26,18.0,18.0,5.7,657.0,598.0,7.0,7.0,0.0,0.0
Kevin Smith,173,94.0,151.0,7.83,619.0,598.0,32.0,47.0,18.0,0.0
Tyler Wade,247,197.0,163.0,8.36,610.0,598.0,103.0,67.0,103.0,140.0
Jordan Diaz,55,51.0,51.0,5.57,660.0,598.0,15.0,15.0,0.0,0.0
JJ Bleday,0,0.0,0.0,4.41,681.0,652,0.0,0.0,0.0,0.0
Jonah Bride,214,187.0,187.0,6.17,649.0,598.0,58.0,58.0,0.0,0.0
Manny Pina,18,116.0,17.0,7.75,620.0,598.0,40.0,5.0,75.0,40.0
Cody Thomas,37,32.0,32.0,5.67,658.0,598.0,10.0,10.0,0.0,0.0
Tyler Soderstrom,0,0.0,0.0,6.83,637.0,598.0,0.0,0.0,0.0,0.0
Zack Gelof,0,0.0,0.0,2.24,720.0,724,0.0,0.0,0.0,0.0
Lawrence Butler,0,0.0,0.0,6.67,640.0,598.0,0.0,0.0,0.0,0.0
George Springer,609,508.0,583.0,1.57,732.0,742,116.0,133.0,78.0,138.0
Bo Bichette,711,578.0,697.0,2.03,723.0,724,132.0,159.0,159.0,78.0
Vladim Guerrero Jr.,0,0.0,0.0,3.22,702.0,598.0,0.0,0.0,0.0,0.0
Daulton Varsho,591,406.0,592.0,5.92,653.0,634,115.0,151.0,95.0,100.0
Matt Chapman,572,551.0,621.0,5.0,670.0,598.0,135.0,155.0,151.0,100.0
Brandon Belt,288,387.0,298.0,4.06,687.0,598.0,104.0,78.0,97.0,138.0
Danny Jansen,298,283.0,248.0,7.12,632.0,670,86.0,72.0,70.0,116.0
Cavan Biggio,412,438.0,303.0,6.77,638.0,688,112.0,97.0,79.0,159.0
Kevin Kiermaier,233,347.0,221.0,8.74,603.0,598,106.0,63.0,122.0,132.0
Alejandro Kirk,559,266.0,541.0,6.53,642.0,652,74.0,139.0,60.0,24.0
Whit Merrifield,513,662.0,550.0,4.9,672.0,598.0,154.0,139.0,162.0,162.0
Santiago Espinal,498,305.0,491.0,7.98,616.0,598.0,100.0,135.0,92.0,73.0
Jordan Luplow,306,225.0,234.0,5.11,668.0,598.0,74.0,83.0,62.0,78.0
Nathan Lukes,0,0.0,0.0,7.83,619.0,598.0,0.0,0.0,0.0,0.0
Ernie Clement,258,156.0,179.0,7.46,626.0,598.0,55.0,70.0,40.0,0.0
Tyler Heineman,229,154.0,174.0,8.93,599.0,598.0,51.0,62.0,0.0,40.0
Spencer Horwitz,0,0.0,0.0,5.33,664.0,598.0,0.0,0.0,0.0,0.0
Paul DeJong,301,370.0,237.0,7.46,626.0,634,104.0,77.0,113.0,122.0
Davis Schneider,0,0.0,0.0,4.22,684.0,616,0.0,0.0,0.0,0.0
Vladimir Guerrero Jr.,697,687.0,706.0,3.1,704.0,706,161.0,160.0,161.0,162.0
Cam Eden,0,0.0,0.0,9.0,598.0,598.0,0.0,0.0,0.0,0.0
Ronald Acuna Jr.,545,479.0,533.0,1.05,741.0,742,108.0,119.0,82.0,124.0
Matt Olson,688,678.0,699.0,3.19,703.0,688,160.0,162.0,156.0,162.0
Austin Riley,693,637.0,693.0,3.04,705.0,706,152.0,159.0,160.0,138.0
Ozzie Albies,286,430.0,269.0,3.61,695.0,724,99.0,64.0,156.0,78.0
