plr,ngames
Keibert Ruiz,108
Luis Garcia Jr.,124
Trey Lipscomb,78
Ildemaro Vargas,75
Riley Adams,48
Jacob Young,130
Nasim Nunez,3
Drew Millas,13
Nick Senzel,100
Alex Call,6
Harold Ramirez,78
James Wood,33
Juan Yepez,29
Gunnar Henderson,160
Adley Rutschman,151
Anthony Santander,154
Ryan Mountcastle,135
Ryan O'Hearn,115
Austin Hays,58
Cedric Mullins,119
Jordan Westburg,149
Ramon Urias,66
James McCann,61
Jorge Mateo,87
Colton Cowser,124
Tony Kemp,2
Jackson Holliday,13
Heston Kjerstad,27
Kyle Stowers,13
Connor Norby,10
Xander Bogaerts,85
Fernando Tatis Jr.,119
Jake Cronenworth,153
Manny Machado,148
Ha-Seong Kim,157
Jurickson Profar,159
Luis Campusano,86
Tyler Wade,40
Jackson Merrill,145
Eguy Rosario,15
Jose Azocar,25
Kyle Higashioka,66
Graham Pauley,11
Matthew Batten,0
Donovan Solano,66
David Peralta,46
Brett Sullivan,5
Bryce Johnson,15
Kyle Schwarber,143
Trea Turner,100
Bryce Harper,138
J.T. Realmuto,86
Alec Bohm,156
Nick Castellanos,161
Bryson Stott,135
Whit Merrifield,64
Johan Rojas,110
Edmundo Sosa,79
Cristian Pache,44
Brandon Marsh,106
Garrett Stubbs,52
Kody Clemens,19
David Dahl,24
Weston Wilson,6
Rafael Marchan,19
Connor Joe,110
Bryan Reynolds,157
Ke'Bryan Hayes,118
Andrew McCutchen,132
Edward Olivares,75
Henry Davis,40
Oneil Cruz,133
Jared Triolo,105
Michael A. Taylor,87
Jack Suwinski,103
Rowdy Tellez,108
Alika Williams,29
Jason Delay,5
Joey Bart,51
Yasmani Grandal,57
Nick Gonzales,98
Ji Hwan Bae,10
Grant Koch,2
Joshua Palacios,24
Marcus Semien,159
Corey Seager,140
Evan Carter,57
Adolis Garcia,153
Josh Jung,3
Wyatt Langford,124
Jared Walsh,20
Jonah Heim,131
Leody Taveras,145
Ezequiel Duran,74
Andrew Knizner,44
Travis Jankowski,55
Josh Smith,134
Davis Wendzel,19
Nathaniel Lowe,126
Robbie Grossman,60
Sam Huff,0
Jonathan Ornelas,8
Justin Foscue,6
Yandy Diaz,148
Brandon Lowe,74
Isaac Paredes,154
Richie Palacios,101
Jose Siri,127
Ben Rortvedt,85
Jose Caballero,124
Amed Rosario,96
Curtis Mead,41
Rene Pinto,19
Austin Shenton,13
Alex Jackson,50
Jonny DeLuca,69
Josh Lowe,68
Jonathan Aranda,16
Taylor Walls,47
Jarren Duran,161
Tyler O'Neill,112
Masataka Yoshida,79
Trevor Story,10
Triston Casas,32
Ceddanne Rafaela,152
Enmanuel Valdez,71
Bobby Dalbec,37
Reese McGuire,64
Wilyer Abreu,96
Pablo Reyes,21
Connor Wong,106
Rafael Devers,143
David Hamilton,85
Romy Gonzalez,34
Rob Refsnyder,66
Tyler Heineman,0
Dominic Smith,87
Vaughn Grissom,35
Jamie Westbrook,18
Jonathan India,149
Spencer Steer,157
