,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
60,"Gonzalez, Marwin",HOU,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
61,"Siri, Jose",HOU,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0
62,"Canha, Mark",OAK,105.0,2.0,0.0,9.0,9.0,11.0,3.0,0.0,1.0
63,"Laureano, Ramón",OAK,12.0,25.0,22.0,14.0,9.0,3.0,2.0,0.0,0.0
64,"Olson, Matt",OAK,0.0,6.0,121.0,28.0,1.0,0.0,0.0,0.0,0.0
65,"Chapman, Matt",OAK,0.0,15.0,1.0,29.0,46.0,33.0,21.0,6.0,0.0
66,"Moreland, Mitch",OAK,0.0,2.0,0.0,18.0,14.0,20.0,6.0,3.0,0.0
67,"Lowrie, Jed",OAK,0.0,18.0,15.0,39.0,26.0,20.0,0.0,0.0,0.0
68,"Murphy, Sean",OAK,0.0,0.0,2.0,8.0,15.0,27.0,29.0,28.0,0.0
69,"Pinder, Chad",OAK,0.0,5.0,1.0,4.0,15.0,6.0,13.0,10.0,3.0
70,"Andrus, Elvis",OAK,0.0,17.0,0.0,0.0,0.0,0.0,15.0,36.0,72.0
71,"Tom, Ka'ai",OAK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
72,"Garcia, Aramis",OAK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,22.0
73,"Piscotty, Stephen",OAK,0.0,0.0,0.0,0.0,0.0,15.0,20.0,14.0,2.0
74,"Kemp, Tony",OAK,17.0,10.0,0.0,0.0,0.0,1.0,13.0,23.0,26.0
75,"Brown, Seth",OAK,0.0,7.0,0.0,5.0,6.0,17.0,17.0,15.0,2.0
76,"Bassitt, Chris",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,"Luzardo, Jesús",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,"Machín, Vimael",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
79,"Allen, Austin",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
