date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-10-01, Matt Vierling, Justyn-Henry Malloy, Riley Greene, Andy Ibanez, Wenceel Perez, Spencer Torkelson, Parker Meadows, Jake Rogers, Trey Sweeney,
2024-10-02, Parker Meadows, Kerry Carpenter, Matt Vierling, Riley Greene, Colt Keith, Spencer Torkelson, Zach McKinstry, Trey Sweeney, Jake Rogers,
2024-10-05, Parker Meadows, Kerry Carpenter, Matt Vierling, Riley Greene, Colt Keith, Spencer Torkelson, Zach McKinstry, Trey Sweeney, Jake Rogers,
2024-10-07, Justyn-Henry Malloy, Matt Vierling, Andy Ibanez, Riley Greene, Wenceel Perez, Spencer Torkelson, Parker Meadows, Jake Rogers, Trey Sweeney,
2024-10-09, Parker Meadows, Kerry Carpenter, Matt Vierling, Riley Greene, Wenceel Perez, Colt Keith, Spencer Torkelson, Trey Sweeney, Jake Rogers,
2024-10-10, Parker Meadows, Kerry Carpenter, Matt Vierling, Riley Greene, Colt Keith, Spencer Torkelson, Zach McKinstry, Trey Sweeney, Jake Rogers,
2024-10-12, Justyn-Henry Malloy, Matt Vierling, Riley Greene, Andy Ibanez, Wenceel Perez, Spencer Torkelson, Parker Meadows, Jake Rogers, Trey Sweeney,
