,team,gamenum,opponent,date,opposinghandedness,pa1,pa2,pa3,pa4,pa5,pa6,pa7,pa8,pa9,dblheader
0,LAA,1,OAK,2018-04-01,R,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,false
1,LAA,2,CLE,2018-04-02,R,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
2,LAA,3,CLE,2018-04-03,R,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,false
3,LAA,4,CLE,2018-04-04,R,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
4,LAA,5,OAK,2018-04-06,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
5,LAA,6,OAK,2018-04-07,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
6,LAA,7,OAK,2018-04-08,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
7,LAA,8,TEX,2018-04-09,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
8,LAA,9,TEX,2018-04-10,L,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
9,LAA,10,TEX,2018-04-11,L,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
10,LAA,11,KC,2018-04-12,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,false
11,LAA,12,KC,2018-04-13,R,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,false
12,LAA,13,KC,2018-04-14,R,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,false
13,LAA,14,BOS,2018-04-17,L,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
14,LAA,15,BOS,2018-04-18,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
15,LAA,16,BOS,2018-04-19,L,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
16,LAA,17,SF,2018-04-20,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
17,LAA,18,SF,2018-04-21,L,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,false
18,LAA,19,SF,2018-04-22,R,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
19,LAA,20,HOU,2018-04-23,R,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,false
20,LAA,21,HOU,2018-04-24,R,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,false
21,LAA,22,HOU,2018-04-25,R,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,false
22,LAA,23,NYY,2018-04-27,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
23,LAA,24,NYY,2018-04-28,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
24,LAA,25,NYY,2018-04-29,L,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
25,LAA,26,BAL,2018-05-01,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
26,LAA,27,BAL,2018-05-02,R,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,false
27,LAA,28,BAL,2018-05-03,R,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,false
28,LAA,29,SEA,2018-05-04,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
29,LAA,30,SEA,2018-05-05,L,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,false
30,LAA,31,SEA,2018-05-06,R,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
31,LAA,32,COL,2018-05-08,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,false
32,LAA,33,COL,2018-05-09,L,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,false
33,LAA,34,MIN,2018-05-10,R,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
34,LAA,35,MIN,2018-05-11,R,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
35,LAA,36,MIN,2018-05-12,R,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,false
36,LAA,37,MIN,2018-05-13,R,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
37,LAA,38,HOU,2018-05-14,R,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,false
38,LAA,39,HOU,2018-05-15,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
39,LAA,40,HOU,2018-05-16,R,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,false
40,LAA,41,TB,2018-05-17,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,false
41,LAA,42,TB,2018-05-18,L,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
42,LAA,43,TB,2018-05-19,R,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,false
43,LAA,44,TB,2018-05-20,R,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
44,LAA,45,TOR,2018-05-22,L,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,false
45,LAA,46,TOR,2018-05-23,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
46,LAA,47,TOR,2018-05-24,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
47,LAA,48,NYY,2018-05-25,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
48,LAA,49,NYY,2018-05-26,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
49,LAA,50,NYY,2018-05-27,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,false
50,LAA,51,DET,2018-05-28,L,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,false
51,LAA,52,DET,2018-05-29,R,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,false
52,LAA,53,DET,2018-05-30,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
53,LAA,54,DET,2018-05-31,L,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
54,LAA,55,TEX,2018-06-01,R,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
55,LAA,56,TEX,2018-06-02,L,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
56,LAA,57,TEX,2018-06-03,R,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,false
57,LAA,58,KC,2018-06-04,L,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
58,LAA,59,KC,2018-06-05,R,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,false
