,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
0,Justin Bour,170.0,501.0,5.2727272727272725,3.98,33.0,100.0,0.016085588205285176,536.4172,170.0
1,Andrelton Simmons,424.0,600.0,4.572916666666667,4.986111111111111,96.0,144.0,0.00569393539951989,573.4565138888888,490.57392708333333
2,Zack Cozart,107.0,253.0,7.75,3.6964285714285716,24.0,56.0,0.016865079365079364,415.92923214285713,107.0
3,Tommy La Stella,321.0,192.0,3.619718309859155,4.75,71.0,24.0,0.006757531911167928,372.38075,450.87928873239434
4,Kevan Smith,211.0,187.0,6.862745098039215,6.326086956521739,51.0,46.0,0.0027930724946159608,350.36091304347826,211.0
5,Brian Goodwin,458.0,180.0,4.88,5.222222222222222,100.0,9.0,0.003291289437585733,360.5322777777778,503.7707
6,Peter Bourjos,46.0,47.0,8.444444444444445,8.25,9.0,4.0,0.0021004801097393683,256.53325,46.0
7,Albert Pujols,545.0,498.0,4.532258064516129,4.156521739130435,124.0,115.0,0.006868516165313865,532.7309782608695,551.5774838709677
8,Jonathan Lucroy,328.0,454.0,6.442622950819672,8.422413793103448,61.0,116.0,0.012039517501425298,457.8979051724138,419.41761475409834
9,David Fletcher,653.0,307.0,3.3958333333333335,3.5714285714285716,144.0,70.0,0.0071764880077545435,444.47735714285716,619.6521041666667
10,Taylor Ward,48.0,147.0,6.75,7.384615384615385,12.0,39.0,0.0021299035722112647,317.2510384615384,48.0
11,Chris Stratton,4.0,50.0,9.0,9.0,1.0,25.0,0.0,248.7445,4.0
12,Shohei Ohtani,425.0,367.0,3.182795698924731,4.45,93.0,80.0,0.022270935304017168,463.59625,508.2905752688172
13,Dustin Garneau,101.0,3.0,8.363636363636363,9.0,22.0,1.0,0.014233241505968778,225.2445,101.0
14,Justin Upton,256.0,613.0,3.933333333333333,3.368794326241135,60.0,141.0,0.01165152099436089,599.9869822695035,256.0
15,Michael Hermosillo,46.0,62.0,8.25,8.823529411764707,12.0,17.0,0.009904043316673073,256.9300882352941,46.0
16,Max Stassi,147.0,250.0,8.777777777777779,7.682539682539683,18.0,63.0,0.02280171327790375,365.061246031746,147.0
17,Kaleb Cowart,26.0,124.0,8.166666666666666,7.75,6.0,32.0,0.008216386959876544,301.22575,26.0
18,George Springer,556.0,620.0,1.0683760683760684,1.1176470588235294,117.0,136.0,2.1073181420779407e-06,631.3674411764706,599.9776623931624
