,team,gamenum,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,LAA,1,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Duffy, Matt","Adell, Jo","Walsh, Jared","Stassi, Max","Marsh, Brandon","Fletcher, David"
1,LAA,2,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Rojas, Jose","Marsh, Brandon","Suzuki, Kurt","Wade, Tyler","Fletcher, David"
2,LAA,3,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Duffy, Matt","Rojas, Jose","Stassi, Max","Marsh, Brandon","Wade, Tyler"
3,LAA,4,"Ohtani, Shohei","Trout, Mike","Walsh, Jared","Mayfield, Jack","Adell, Jo","Rojas, Jose","Suzuki, Kurt","Fletcher, David","Wade, Tyler"
4,LAA,5,"Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Stassi, Max","Marsh, Brandon","Rojas, Jose","Adell, Jo","Wade, Tyler","Fletcher, David"
5,LAA,6,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Mayfield, Jack","Stassi, Max","Duffy, Matt","Adell, Jo","Marsh, Brandon","Velazquez, Andrew"
6,LAA,7,"Ohtani, Shohei","Trout, Mike","Walsh, Jared","Rendon, Anthony","Marsh, Brandon","Stassi, Max","Rojas, Jose","Wade, Tyler","Velazquez, Andrew"
7,LAA,8,"Ohtani, Shohei","Trout, Mike","Walsh, Jared","Rendon, Anthony","Marsh, Brandon","Adell, Jo","Mayfield, Jack","Suzuki, Kurt","Velazquez, Andrew"
8,LAA,9,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Ward, Taylor","Stassi, Max","Adell, Jo","Duffy, Matt","Velazquez, Andrew","Wade, Tyler"
9,LAA,10,"Ohtani, Shohei","Trout, Mike","Ward, Taylor","Mayfield, Jack","Duffy, Matt","Adell, Jo","Suzuki, Kurt","Velazquez, Andrew","Wade, Tyler"
10,LAA,11,"Ohtani, Shohei","Ward, Taylor","Walsh, Jared","Stassi, Max","Marsh, Brandon","Mayfield, Jack","Adell, Jo","Wade, Tyler","Velazquez, Andrew"
11,LAA,12,"Ohtani, Shohei","Ward, Taylor","Rendon, Anthony","Duffy, Matt","Mayfield, Jack","Suzuki, Kurt","Adell, Jo","Marsh, Brandon","Velazquez, Andrew"
12,LAA,13,"Ohtani, Shohei","Ward, Taylor","Walsh, Jared","Rendon, Anthony","Marsh, Brandon","Stassi, Max","Adell, Jo","Wade, Tyler","Velazquez, Andrew"
13,LAA,14,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Ward, Taylor","Duffy, Matt","Mayfield, Jack","Stassi, Max","Adell, Jo","Velazquez, Andrew"
14,LAA,15,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Ward, Taylor","Marsh, Brandon","Stassi, Max","Wade, Tyler","Velazquez, Andrew"
15,LAA,16,"Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Ward, Taylor","Adell, Jo","Suzuki, Kurt","Wade, Tyler","Velazquez, Andrew"
16,LAA,17,"Ward, Taylor","Ohtani, Shohei","Trout, Mike","Walsh, Jared","Rendon, Anthony","Duffy, Matt","Adell, Jo","Stassi, Max","Wade, Tyler"
17,LAA,18,"Ward, Taylor","Ohtani, Shohei","Trout, Mike","Walsh, Jared","Rendon, Anthony","Marsh, Brandon","Duffy, Matt","Suzuki, Kurt","Velazquez, Andrew"
18,LAA,19,"Ward, Taylor","Ohtani, Shohei","Trout, Mike","Walsh, Jared","Rendon, Anthony","Marsh, Brandon","Mayfield, Jack","Stassi, Max","Wade, Tyler"
19,LAA,20,"Ward, Taylor","Marsh, Brandon","Trout, Mike","Walsh, Jared","Rendon, Anthony","Adell, Jo","Suzuki, Kurt","Wade, Tyler","Velazquez, Andrew"
20,LAA,21,"Ward, Taylor","Marsh, Brandon","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Stassi, Max","Duffy, Matt","Fletcher, David"
21,LAA,22,"Ward, Taylor","Marsh, Brandon","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Suzuki, Kurt","Wade, Tyler","Fletcher, David"
22,LAA,23,"Ward, Taylor","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Adell, Jo","Walsh, Jared","Stassi, Max","Fletcher, David","Velazquez, Andrew"
23,LAA,24,"Ward, Taylor","Marsh, Brandon","Trout, Mike","Walsh, Jared","Mayfield, Jack","Suzuki, Kurt","Adell, Jo","Wade, Tyler","Velazquez, Andrew"
24,LAA,25,"Ward, Taylor","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Mayfield, Jack","Stassi, Max","Fletcher, David","Velazquez, Andrew"
25,LAA,26,"Marsh, Brandon","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Rojas, Jose","Stassi, Max","Wade, Tyler","Velazquez, Andrew"
26,LAA,27,"Ward, Taylor","Fletcher, David","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Stassi, Max","Mayfield, Jack","Marsh, Brandon","Velazquez, Andrew"
27,LAA,28,"Ward, Taylor","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Marsh, Brandon","Suzuki, Kurt","Wade, Tyler","Fletcher, David"
28,LAA,29,"Ward, Taylor","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Stassi, Max","Marsh, Brandon","Fletcher, David","Velazquez, Andrew"
29,LAA,30,"Ward, Taylor","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Stassi, Max","Marsh, Brandon","Wade, Tyler","Velazquez, Andrew"
30,LAA,31,"Marsh, Brandon","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Mayfield, Jack","Wade, Tyler","Wallach, Chad","Velazquez, Andrew"
31,LAA,32,"Marsh, Brandon","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Mayfield, Jack","Wallach, Chad","Rengifo, Luis","Velazquez, Andrew"
32,LAA,33,"Marsh, Brandon","Rengifo, Luis","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Whitefield, Aaron","Mayfield, Jack","Romine, Austin","Velazquez, Andrew"
33,LAA,34,"Ward, Taylor","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Marsh, Brandon","Wallach, Chad","Wade, Tyler","Velazquez, Andrew"
34,LAA,35,"Marsh, Brandon","Rengifo, Luis","Ohtani, Shohei","Walsh, Jared","Mayfield, Jack","Wade, Tyler","Velazquez, Andrew","Romine, Austin","Whitefield, Aaron"
35,LAA,36,"Ward, Taylor","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Walsh, Jared","Rengifo, Luis","Wallach, Chad","Wade, Tyler","Velazquez, Andrew"
