,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,"Calhoun, Kole",LAA,23.0,0.0,6.0,30.0,40.0,27.0,13.0,4.0,0.0
1,"Trout, Mike",LAA,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Bour, Justin",LAA,0.0,0.0,14.0,0.0,3.0,1.0,9.0,6.0,0.0
3,"Simmons, Andrelton",LAA,0.0,10.0,12.0,31.0,14.0,14.0,15.0,0.0,0.0
4,"Cozart, Zack",LAA,1.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,7.0
5,"La Stella, Tommy",LAA,37.0,2.0,0.0,2.0,3.0,10.0,7.0,6.0,4.0
6,"Smith, Kevan",LAA,0.0,0.0,0.0,2.0,7.0,9.0,17.0,10.0,6.0
7,"Goodwin, Brian",LAA,17.0,6.0,11.0,1.0,15.0,21.0,15.0,10.0,4.0
8,"Bourjos, Peter",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
9,"Pujols, Albert",LAA,0.0,0.0,16.0,45.0,44.0,19.0,0.0,0.0,0.0
10,"Lucroy, Jonathan",LAA,0.0,0.0,0.0,5.0,10.0,13.0,22.0,8.0,3.0
11,"Fletcher, David",LAA,81.0,11.0,0.0,0.0,3.0,19.0,5.0,3.0,22.0
12,"Ward, Taylor",LAA,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,0.0
13,"Skaggs, Tyler",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14,"Stratton, Chris",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,"Rengifo, Luis",LAA,0.0,0.0,0.0,0.0,0.0,5.0,27.0,28.0,41.0
16,"Ohtani, Shohei",LAA,0.0,0.0,88.0,1.0,2.0,0.0,0.0,0.0,2.0
17,"Walsh, Jared",LAA,0.0,0.0,0.0,0.0,2.0,6.0,4.0,8.0,1.0
18,"Garneau, Dustin",LAA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,10.0
19,"Puello, César",LAA,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0
20,"Cahill, Trevor",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,"Tovar, Wilfredo",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0
22,"Upton, Justin",LAA,0.0,0.0,12.0,42.0,4.0,2.0,0.0,0.0,0.0
23,"Canning, Griffin",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,"Thaiss, Matt",LAA,0.0,0.0,0.0,0.0,2.0,4.0,12.0,17.0,4.0
25,"Parker, Jarrett",LAA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
26,"Hermosillo, Michael",LAA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0
27,"Barria, Jaime",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,"Stassi, Max",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0
29,"Sandoval, Patrick",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,"Suarez, José",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,"Bemboom, Anthony",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0
32,"Cowart, Kaleb",LAA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
33,"Springer, George",HOU,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,"Altuve, Jose",HOU,12.0,103.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Bregman, Alex",HOU,8.0,36.0,75.0,34.0,0.0,0.0,0.0,0.0,0.0
36,"Correa, Carlos",HOU,0.0,0.0,1.0,22.0,36.0,15.0,1.0,0.0,0.0
37,"Reddick, Josh",HOU,7.0,1.0,2.0,3.0,12.0,32.0,37.0,6.0,28.0
38,"Gurriel, Yuli",HOU,0.0,0.0,2.0,18.0,49.0,52.0,19.0,0.0,0.0
