,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
0,Mike Trout,146.0,650.7,2.9722222222222223,2.6792452830188678,36.0,143.10000000000002,0.003906660127817651,627.3770471698114,146.0
1,Anthony Rendon,249.0,626.4000000000001,3.4827586206896552,3.730769230769231,58.0,140.4,0.0033648276096597696,602.203923076923,249.0
2,Justin Upton,362.0,448.20000000000005,3.586206896551724,5.4523809523809526,87.0,113.4,0.004755793187931799,491.78176190476194,471.7943275862069
3,Albert Pujols,296.0,440.1,5.954545454545454,5.2631578947368425,22.0,102.60000000000001,0.005925217931009923,490.0752894736842,296.0
4,Jose Iglesias,511.0,405.0,5.900900900900901,2.6,111.0,94.5,0.01951843735627519,505.50849999999997,517.6268423423423
5,Max Stassi,319.0,283.5,5.975,7.461538461538462,80.0,70.2,0.008241802268244577,384.5483461538461,420.709125
6,Dexter Fowler,21.0,272.70000000000005,9.0,7.241379310344827,6.0,78.30000000000001,0.03719117452767869,381.87501724137934,21.0
7,Jared Walsh,585.0,291.6,4.124087591240876,3.5,137.0,64.80000000000001,0.019855533018722102,437.662,576.6326751824818
8,Kurt Suzuki,247.0,348.3,7.142857142857143,5.46875,63.0,86.4,0.006109851347946585,441.62903125,247.0
9,Jon Jay,14.0,153.9,8.333333333333334,8.428571428571429,3.0,37.800000000000004,0.004377676996724615,307.77164285714287,14.0
10,Jack Mayfield,290.0,126.9,7.432835820895522,8.846153846153847,67.0,35.1,0.0037329909667418457,289.09988461538467,290.0
11,Anthony Bemboom,28.0,162.0,8.285714285714286,8.0625,7.0,43.2,0.005159615929705216,316.3554375,28.0
12,Luis Rengifo,190.0,286.20000000000005,7.086956521739131,8.153846153846153,46.0,70.2,0.010613540241284901,377.3241153846154,190.0
13,Phil Gosselin,373.0,275.40000000000003,3.909090909090909,6.25,88.0,75.60000000000001,0.012795803583141245,395.50325,473.29540909090906
14,Taylor Ward,237.0,275.40000000000003,5.864406779661017,6.833333333333333,59.0,64.80000000000001,0.0013301651203535244,388.2786666666667,237.0
15,Drew Butera,36.0,116.10000000000001,8.583333333333334,9.0,12.0,32.400000000000006,0.009645061728395061,281.79449999999997,36.0
16,Adam Eaton,288.0,475.20000000000005,7.2631578947368425,2.4,19.0,108.0,0.020777546937519237,543.0855,288.0
17,Matt Thaiss,8.0,67.5,6.5,5.333333333333333,2.0,16.200000000000003,0.02006172839506173,302.90616666666665,8.0
18,Jo Adell,140.0,356.40000000000003,6.142857142857143,7.090909090909091,35.0,89.10000000000001,0.008230813598778967,425.58859090909095,140.0
19,Jose Altuve,678.0,567.0,1.0,2.3125,144.0,129.60000000000002,0.04383680555555555,590.0691875,661.8245
20,Michael Brantley,508.0,504.90000000000003,2.26271186440678,3.466666666666667,118.0,121.50000000000001,0.027393979624447666,544.7248333333333,561.185813559322
21,Alex Bregman,400.0,486.00000000000006,3.0555555555555554,3.1951219512195124,90.0,110.7,0.0025144171646474065,538.6379146341463,497.3664444444444
22,Kyle Tucker,567.0,615.6,5.776119402985074,5.482142857142857,134.0,151.20000000000002,0.007261628987007294,575.1131607142856,547.1722611940298
23,Carlos Correa,640.0,596.7,4.605442176870748,5.75,147.0,151.20000000000002,0.005180655501051517,562.34575,598.1710986394557
24,Yordan Alvarez,598.0,24.3,3.9779411764705883,4.5,136.0,5.4,0.007220780469050364,291.627,584.9426985294117
25,Yuli Gurriel,605.0,621.0,4.3,4.785714285714286,140.0,151.20000000000002,0.003443877551020408,586.4384285714286,584.454
26,Myles Straw,638.0,232.20000000000002,7.301075268817204,5.684210526315789,93.0,51.300000000000004,0.0036712915855429567,380.910552631579,563.7856827956989
27,Martin Maldonado,426.0,445.50000000000006,8.873949579831933,8.652173913043478,119.0,124.2,0.0012425927411625908,450.80232608695655,438.3056344537815
28,Aledmys Diaz,319.0,159.3,4.942857142857143,6.5,70.0,43.2,0.005035962301587302,334.35699999999997,433.4922142857143
29,Jason Castro,179.0,248.4,8.289473684210526,7.4375,38.0,43.2,0.014293460487842413,367.2960625,179.0
30,Abraham Toro,375.0,261.90000000000003,6.666666666666667,7.0,30.0,51.300000000000004,0.006031941452070722,379.46450000000004,440.14283333333333
31,Taylor Jones,108.0,59.400000000000006,7.291666666666667,7.333333333333333,24.0,16.200000000000003,0.0018325617283950614,274.0861666666667,108.0
32,Garrett Stubbs,38.0,27.0,8.714285714285714,9.0,7.0,2.7,0.004535147392290249,237.2445,38.0
