,team,gamenum,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,LAA,1,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Cron, C.J.","Maybin, Cameron","Simmons, Andrelton","Espinosa, Danny","Maldonado, Martín"
1,LAA,2,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Marte, Jefry","Maybin, Cameron","Simmons, Andrelton","Espinosa, Danny","Maldonado, Martín"
2,LAA,3,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Cron, C.J.","Maybin, Cameron","Simmons, Andrelton","Espinosa, Danny","Maldonado, Martín"
3,LAA,4,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Cron, C.J.","Revere, Ben","Simmons, Andrelton","Pennington, Cliff","Pérez, Carlos"
4,LAA,5,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Cron, C.J.","Maybin, Cameron","Simmons, Andrelton","Espinosa, Danny","Maldonado, Martín"
5,LAA,6,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Simmons, Andrelton","Maybin, Cameron","Marte, Jefry","Espinosa, Danny","Maldonado, Martín"
6,LAA,7,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Simmons, Andrelton","Cron, C.J.","Revere, Ben","Espinosa, Danny","Pérez, Carlos"
7,LAA,8,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Simmons, Andrelton","Maybin, Cameron","Marte, Jefry","Espinosa, Danny","Maldonado, Martín"
8,LAA,9,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Simmons, Andrelton","Revere, Ben","Cron, C.J.","Espinosa, Danny","Maldonado, Martín"
9,LAA,10,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Simmons, Andrelton","Maybin, Cameron","Marte, Jefry","Espinosa, Danny","Pérez, Carlos"
10,LAA,11,"Escobar, Yunel","Calhoun, Kole","Trout, Mike","Pujols, Albert","Marte, Jefry","Simmons, Andrelton","Maybin, Cameron","Espinosa, Danny","Maldonado, Martín"
11,LAA,12,"Escobar, Yunel","Revere, Ben","Trout, Mike","Pujols, Albert","Calhoun, Kole","Simmons, Andrelton","Maybin, Cameron","Espinosa, Danny","Maldonado, Martín"
