,team,gamenum,opponent,date,opposinghandedness,pa1,pa2,pa3,pa4,pa5,pa6,pa7,pa8,pa9,dblheader
0,LAA,1,SEA,2014-04-01,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,false
1,LAA,2,SEA,2014-04-02,L,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,false
2,LAA,3,HOU,2014-04-04,R,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
3,LAA,4,HOU,2014-04-05,L,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,false
4,LAA,5,HOU,2014-04-06,R,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
5,LAA,6,HOU,2014-04-07,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
6,LAA,7,SEA,2014-04-08,L,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,false
7,LAA,8,SEA,2014-04-09,L,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
8,LAA,9,NYM,2014-04-11,R,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,false
9,LAA,10,NYM,2014-04-12,L,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
10,LAA,11,NYM,2014-04-13,R,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,false
11,LAA,12,OAK,2014-04-14,R,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,false
12,LAA,13,OAK,2014-04-15,R,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,false
13,LAA,14,OAK,2014-04-16,L,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,false
14,LAA,15,DET,2014-04-18,L,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,false
15,LAA,16,DET,2014-04-19,R,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,false
16,LAA,17,DET,2014-04-20,R,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,false
17,LAA,18,WSH,2014-04-21,R,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,false
18,LAA,19,WSH,2014-04-22,R,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
