,team,gamenum,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,LAA,1,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Upton, Justin","Pujols, Albert","Iglesias, José","Stassi, Max","Fowler, Dexter"
1,LAA,2,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Upton, Justin","Pujols, Albert","Iglesias, José","Stassi, Max","Fowler, Dexter"
2,LAA,3,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Upton, Justin","Iglesias, José","Suzuki, Kurt","Fowler, Dexter"
3,LAA,4,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Upton, Justin","Iglesias, José","Lagares, Juan","Stassi, Max"
4,LAA,5,"Fletcher, David","Walsh, Jared","Trout, Mike","Rendon, Anthony","Upton, Justin","Pujols, Albert","Iglesias, José","Suzuki, Kurt","Fowler, Dexter"
5,LAA,6,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Pujols, Albert","Walsh, Jared","Upton, Justin","Rojas, Jose","Stassi, Max","Iglesias, José"
6,LAA,7,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Upton, Justin","Iglesias, José","Suzuki, Kurt","Fowler, Dexter"
7,LAA,8,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Walsh, Jared","Upton, Justin","Iglesias, José","Stassi, Max","Fowler, Dexter"
8,LAA,9,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Pujols, Albert","Upton, Justin","Iglesias, José","Suzuki, Kurt","Lagares, Juan"
9,LAA,10,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Walsh, Jared","Upton, Justin","Rojas, Jose","Pujols, Albert","Iglesias, José","Stassi, Max"
10,LAA,11,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Pujols, Albert","Walsh, Jared","Iglesias, José","Suzuki, Kurt","Jay, Jon","Mayfield, Jack"
11,LAA,12,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Walsh, Jared","Pujols, Albert","Iglesias, José","Rojas, Jose","Bemboom, Anthony","Jay, Jon"
