,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
43,42,Rafael Devers,BOS,9,38,39,14,9,3,0,2,8,7,1,1,5,0,0,0,0,0,0,.368
44,43,Manuel Margot,TBR,8,30,33,11,10,1,0,0,2,5,3,0,5,0,0,0,0,1,0,.367
45,44,Joc Pederson,SFG,7,22,24,8,6,0,0,2,5,2,1,0,6,1,0,0,1,1,0,.364
46,45,Tyler Wade,LAA,10,22,24,8,7,1,0,0,2,2,1,0,4,0,0,1,1,2,2,.364
47,46,Connor Joe,COL,9,36,43,13,7,3,1,2,8,4,6,0,9,1,0,0,0,1,0,.361
48,47,Andrew Benintendi,KCR,8,28,32,10,9,0,0,1,2,4,4,0,3,0,0,0,0,0,0,.357
49,48,J.P. Crawford,SEA,10,31,40,11,8,3,0,0,5,1,6,0,1,3,0,0,0,1,0,.355
50,49,Jared Walsh,LAA,9,31,33,11,9,0,0,2,5,6,2,0,6,0,0,0,1,0,1,.355
51,50,Josh Bell,WSN,11,40,50,14,11,1,0,2,9,10,8,0,4,1,0,0,2,0,1,.350
52,51,Nicky Lopez,KCR,8,23,25,8,7,1,0,0,3,1,0,0,1,1,0,1,0,0,0,.348
53,52,Andrew Vaughn,CHW,7,23,25,8,5,1,0,2,3,6,2,0,4,0,0,0,0,0,0,.348
54,53,Ian Happ,CHC,8,26,30,9,7,2,0,0,3,5,3,0,8,1,0,0,1,0,0,.346
55,54,Brandon Belt,SFG,7,29,34,10,6,1,0,3,6,7,5,0,8,0,0,0,0,0,0,.345
56,55,Elias Diaz,COL,8,29,29,10,6,3,0,1,3,4,0,0,4,0,0,0,2,0,0,.345
57,56,Jeremy Pena,HOU,8,29,32,10,5,3,1,1,5,2,1,0,5,1,1,0,1,0,0,.345
58,57,Jeff McNeil,NYM,9,32,38,11,10,0,0,1,4,4,5,0,3,1,0,0,0,1,0,.344
59,58,Kris Bryant,COL,9,35,40,12,8,4,0,0,8,4,3,0,7,0,2,0,1,0,0,.343
60,59,Jesus Sanchez,MIA,8,35,36,12,7,1,2,2,6,8,1,0,6,0,0,0,2,0,0,.343
61,60,Albert Pujols,STL,4,15,17,5,3,0,0,2,3,4,2,0,1,0,0,0,0,0,1,.333
62,61,Jason Heyward,CHC,7,18,20,6,5,0,1,0,3,1,2,0,5,0,0,0,0,0,0,.333
63,62,Aaron Hicks,NYY,10,27,33,9,8,0,0,1,2,2,5,1,5,0,0,1,2,0,1,.333
64,63,Dustin Garneau,DET,4,6,7,2,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,.333
65,64,Randal Grichuk,COL,5,18,21,6,5,1,0,0,2,2,2,0,2,1,0,0,0,1,0,.333
66,65,Brandon Nimmo,NYM,6,24,29,8,4,1,1,2,6,2,4,0,8,0,0,1,0,0,0,.333
