,team,gamenum,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,LAA,1,"Fletcher, David","Trout, Mike","Ohtani, Shohei","Upton, Justin","La Stella, Tommy","Pujols, Albert","Castro, Jason","Simmons, Andrelton","Goodwin, Brian"
1,LAA,2,"Fletcher, David","Trout, Mike","Upton, Justin","Pujols, Albert","Ward, Taylor","La Stella, Tommy","Hermosillo, Michael","Stassi, Max","Simmons, Andrelton"
2,LAA,3,"Fletcher, David","Trout, Mike","La Stella, Tommy","Upton, Justin","Walsh, Jared","Simmons, Andrelton","Castro, Jason","Thaiss, Matt","Goodwin, Brian"
3,LAA,4,"Fletcher, David","Trout, Mike","Ohtani, Shohei","Upton, Justin","La Stella, Tommy","Pujols, Albert","Castro, Jason","Simmons, Andrelton","Goodwin, Brian"
4,LAA,5,"Fletcher, David","Trout, Mike","Rendon, Anthony","Upton, Justin","Ohtani, Shohei","Pujols, Albert","La Stella, Tommy","Stassi, Max","Ward, Taylor"
5,LAA,6,"Fletcher, David","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Upton, Justin","La Stella, Tommy","Walsh, Jared","Castro, Jason","Goodwin, Brian"
6,LAA,7,"Fletcher, David","Goodwin, Brian","Rendon, Anthony","Upton, Justin","Ohtani, Shohei","Pujols, Albert","Ward, Taylor","Stassi, Max","Rengifo, Luis"
7,LAA,8,"Fletcher, David","Goodwin, Brian","Rendon, Anthony","Ohtani, Shohei","Upton, Justin","La Stella, Tommy","Rengifo, Luis","Castro, Jason","Hermosillo, Michael"
8,LAA,9,"Fletcher, David","Goodwin, Brian","Rendon, Anthony","Upton, Justin","Pujols, Albert","Rengifo, Luis","Castro, Jason","Ward, Taylor","Thaiss, Matt"
9,LAA,10,"Fletcher, David","Rengifo, Luis","Rendon, Anthony","Upton, Justin","Goodwin, Brian","Pujols, Albert","Ward, Taylor","Stassi, Max","Thaiss, Matt"
10,LAA,11,"Fletcher, David","Trout, Mike","Rendon, Anthony","Goodwin, Brian","Pujols, Albert","La Stella, Tommy","Adell, Jo","Castro, Jason","Rengifo, Luis"
11,LAA,12,"Fletcher, David","Trout, Mike","Rendon, Anthony","Upton, Justin","Pujols, Albert","Ward, Taylor","Adell, Jo","Stassi, Max","Rengifo, Luis"
12,LAA,13,"Fletcher, David","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","La Stella, Tommy","Upton, Justin","Goodwin, Brian","Stassi, Max","Rengifo, Luis"
13,LAA,14,"Fletcher, David","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","La Stella, Tommy","Pujols, Albert","Castro, Jason","Upton, Justin","Goodwin, Brian"
14,LAA,15,"Fletcher, David","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Pujols, Albert","Ward, Taylor","Adell, Jo","Stassi, Max","Rengifo, Luis"
15,LAA,16,"Fletcher, David","La Stella, Tommy","Trout, Mike","Ohtani, Shohei","Rendon, Anthony","Goodwin, Brian","Adell, Jo","Castro, Jason","Rengifo, Luis"
16,LAA,17,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Pujols, Albert","Upton, Justin","Stassi, Max","Adell, Jo"
17,LAA,18,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Pujols, Albert","Castro, Jason","Upton, Justin","Goodwin, Brian"
18,LAA,19,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Pujols, Albert","Castro, Jason","Adell, Jo","Goodwin, Brian"
19,LAA,20,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Pujols, Albert","Upton, Justin","Stassi, Max","Adell, Jo"
20,LAA,21,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Ward, Taylor","Goodwin, Brian","Stassi, Max","Rengifo, Luis"
21,LAA,22,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Goodwin, Brian","Adell, Jo","Stassi, Max","Rengifo, Luis"
22,LAA,23,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Pujols, Albert","Adell, Jo","Upton, Justin","Stassi, Max","Goodwin, Brian"
23,LAA,24,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Goodwin, Brian","Adell, Jo","Bemboom, Anthony","Rengifo, Luis"
24,LAA,25,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Pujols, Albert","Castro, Jason","Upton, Justin","Goodwin, Brian"
25,LAA,26,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Goodwin, Brian","Adell, Jo","Stassi, Max","Rengifo, Luis"
26,LAA,27,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Goodwin, Brian","Pujols, Albert","Adell, Jo","Bemboom, Anthony","Simmons, Andrelton"
27,LAA,28,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Goodwin, Brian","Adell, Jo","Castro, Jason","Rengifo, Luis"
28,LAA,29,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Goodwin, Brian","Adell, Jo","Castro, Jason","Simmons, Andrelton"
29,LAA,30,"Fletcher, David","Ohtani, Shohei","Trout, Mike","Rendon, Anthony","Pujols, Albert","Adell, Jo","Upton, Justin","Simmons, Andrelton","Bemboom, Anthony"
30,LAA,31,"Fletcher, David","La Stella, Tommy","Trout, Mike","Rendon, Anthony","Ohtani, Shohei","Pujols, Albert","Castro, Jason","Upton, Justin","Goodwin, Brian"
31,LAA,32,"Trout, Mike","La Stella, Tommy","Fletcher, David","Ohtani, Shohei","Simmons, Andrelton","Goodwin, Brian","Adell, Jo","Bemboom, Anthony","Rengifo, Luis"
