,team,gamenum,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,LAA,1,"Calhoun, Kole","Trout, Mike","Bour, Justin","Simmons, Andrelton","Cozart, Zack","La Stella, Tommy","Smith, Kevan","Goodwin, Brian","Bourjos, Peter"
1,LAA,2,"Calhoun, Kole","Trout, Mike","Bour, Justin","Simmons, Andrelton","Pujols, Albert","La Stella, Tommy","Lucroy, Jonathan","Goodwin, Brian","Fletcher, David"
2,LAA,3,"Cozart, Zack","Trout, Mike","Simmons, Andrelton","Pujols, Albert","Lucroy, Jonathan","Calhoun, Kole","Smith, Kevan","Fletcher, David","Bourjos, Peter"
3,LAA,4,"Calhoun, Kole","Trout, Mike","Bour, Justin","Simmons, Andrelton","Pujols, Albert","La Stella, Tommy","Lucroy, Jonathan","Goodwin, Brian","Cozart, Zack"
4,LAA,5,"Calhoun, Kole","Trout, Mike","Bour, Justin","Pujols, Albert","Lucroy, Jonathan","La Stella, Tommy","Cozart, Zack","Goodwin, Brian","Fletcher, David"
5,LAA,6,"Fletcher, David","Trout, Mike","Simmons, Andrelton","Pujols, Albert","Lucroy, Jonathan","Calhoun, Kole","Smith, Kevan","Bourjos, Peter","La Stella, Tommy"
6,LAA,7,"La Stella, Tommy","Trout, Mike","Bour, Justin","Simmons, Andrelton","Pujols, Albert","Goodwin, Brian","Lucroy, Jonathan","Cozart, Zack","Fletcher, David"
7,LAA,8,"Calhoun, Kole","Trout, Mike","Bour, Justin","Simmons, Andrelton","Pujols, Albert","Goodwin, Brian","Lucroy, Jonathan","La Stella, Tommy","Fletcher, David"
8,LAA,9,"Calhoun, Kole","Trout, Mike","Bour, Justin","Simmons, Andrelton","Pujols, Albert","Goodwin, Brian","Lucroy, Jonathan","La Stella, Tommy","Cozart, Zack"
9,LAA,10,"Calhoun, Kole","Simmons, Andrelton","Bour, Justin","Pujols, Albert","Goodwin, Brian","Ward, Taylor","La Stella, Tommy","Smith, Kevan","Fletcher, David"
10,LAA,11,"Fletcher, David","Simmons, Andrelton","Pujols, Albert","Lucroy, Jonathan","Ward, Taylor","Calhoun, Kole","Cozart, Zack","Bourjos, Peter","Skaggs, Tyler"
11,LAA,12,"Calhoun, Kole","Simmons, Andrelton","Bour, Justin","Lucroy, Jonathan","Goodwin, Brian","Fletcher, David","La Stella, Tommy","Cozart, Zack","Stratton, Chris"
12,LAA,13,"Calhoun, Kole","Trout, Mike","Simmons, Andrelton","Pujols, Albert","Goodwin, Brian","Smith, Kevan","La Stella, Tommy","Cozart, Zack","Fletcher, David"
13,LAA,14,"Fletcher, David","Trout, Mike","Simmons, Andrelton","Pujols, Albert","Lucroy, Jonathan","Calhoun, Kole","Cozart, Zack","La Stella, Tommy","Bourjos, Peter"
14,LAA,15,"Calhoun, Kole","Trout, Mike","Bour, Justin","Simmons, Andrelton","Goodwin, Brian","Lucroy, Jonathan","La Stella, Tommy","Cozart, Zack","Fletcher, David"
15,LAA,16,"Calhoun, Kole","Trout, Mike","Simmons, Andrelton","Pujols, Albert","Goodwin, Brian","Smith, Kevan","La Stella, Tommy","Bourjos, Peter","Fletcher, David"
16,LAA,17,"Fletcher, David","Trout, Mike","Simmons, Andrelton","Pujols, Albert","Bour, Justin","Lucroy, Jonathan","Calhoun, Kole","Bourjos, Peter","Cozart, Zack"
17,LAA,18,"Fletcher, David","Trout, Mike","Simmons, Andrelton","Pujols, Albert","Lucroy, Jonathan","Smith, Kevan","Goodwin, Brian","Bourjos, Peter","Cozart, Zack"
