,team,gamenum,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,LAA,1,"Escobar, Yunel","Nava, Daniel","Trout, Mike","Pujols, Albert","Calhoun, Kole","Cron, C.J.","Simmons, Andrelton","Pérez, Carlos","Giavotella, Johnny"
1,LAA,2,"Escobar, Yunel","Gentry, Craig","Trout, Mike","Pujols, Albert","Cron, C.J.","Calhoun, Kole","Simmons, Andrelton","Pérez, Carlos","Giavotella, Johnny"
2,LAA,3,"Escobar, Yunel","Gentry, Craig","Trout, Mike","Pujols, Albert","Cron, C.J.","Calhoun, Kole","Simmons, Andrelton","Soto, Geovany","Giavotella, Johnny"
3,LAA,4,"Escobar, Yunel","Nava, Daniel","Trout, Mike","Pujols, Albert","Calhoun, Kole","Simmons, Andrelton","Choi, Ji-Man","Pérez, Carlos","Pennington, Cliff"
4,LAA,5,"Escobar, Yunel","Gentry, Craig","Trout, Mike","Pujols, Albert","Cron, C.J.","Calhoun, Kole","Simmons, Andrelton","Pérez, Carlos","Giavotella, Johnny"
5,LAA,6,"Escobar, Yunel","Gentry, Craig","Trout, Mike","Pujols, Albert","Cron, C.J.","Calhoun, Kole","Simmons, Andrelton","Soto, Geovany","Giavotella, Johnny"
6,LAA,7,"Escobar, Yunel","Nava, Daniel","Trout, Mike","Pujols, Albert","Calhoun, Kole","Cron, C.J.","Simmons, Andrelton","Pérez, Carlos","Pennington, Cliff"
7,LAA,8,"Escobar, Yunel","Nava, Daniel","Trout, Mike","Pujols, Albert","Calhoun, Kole","Simmons, Andrelton","Choi, Ji-Man","Soto, Geovany","Giavotella, Johnny"
8,LAA,9,"Escobar, Yunel","Gentry, Craig","Trout, Mike","Pujols, Albert","Cron, C.J.","Calhoun, Kole","Simmons, Andrelton","Pérez, Carlos","Giavotella, Johnny"
9,LAA,10,"Escobar, Yunel","Gentry, Craig","Trout, Mike","Pujols, Albert","Cron, C.J.","Calhoun, Kole","Simmons, Andrelton","Pérez, Carlos","Giavotella, Johnny"
10,LAA,11,"Escobar, Yunel","Ortega, Rafael","Trout, Mike","Pujols, Albert","Calhoun, Kole","Cron, C.J.","Simmons, Andrelton","Soto, Geovany","Pennington, Cliff"
11,LAA,12,"Escobar, Yunel","Ortega, Rafael","Trout, Mike","Pujols, Albert","Calhoun, Kole","Cron, C.J.","Simmons, Andrelton","Pérez, Carlos","Giavotella, Johnny"
12,LAA,13,"Escobar, Yunel","Gentry, Craig","Trout, Mike","Pujols, Albert","Calhoun, Kole","Simmons, Andrelton","Soto, Geovany","Cron, C.J.","Giavotella, Johnny"
13,LAA,14,"Escobar, Yunel","Ortega, Rafael","Trout, Mike","Pujols, Albert","Calhoun, Kole","Simmons, Andrelton","Cron, C.J.","Pérez, Carlos","Pennington, Cliff"
14,LAA,15,"Escobar, Yunel","Simmons, Andrelton","Trout, Mike","Pujols, Albert","Calhoun, Kole","Soto, Geovany","Cron, C.J.","Giavotella, Johnny","Gentry, Craig"
15,LAA,16,"Escobar, Yunel","Simmons, Andrelton","Trout, Mike","Pujols, Albert","Calhoun, Kole","Giavotella, Johnny","Cron, C.J.","Pérez, Carlos","Gentry, Craig"
16,LAA,17,"Escobar, Yunel","Ortega, Rafael","Trout, Mike","Pujols, Albert","Calhoun, Kole","Simmons, Andrelton","Cron, C.J.","Pérez, Carlos","Giavotella, Johnny"
