,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,"Ohtani, Shohei",LAA,21.0,15.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0
1,"Trout, Mike",LAA,0.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Rendon, Anthony",LAA,0.0,1.0,12.0,23.0,6.0,0.0,0.0,0.0,0.0
3,"Duffy, Matt",LAA,3.0,0.0,0.0,8.0,5.0,2.0,2.0,2.0,0.0
4,"Adell, Jo",LAA,0.0,1.0,0.0,0.0,5.0,5.0,8.0,2.0,0.0
5,"Walsh, Jared",LAA,0.0,0.0,10.0,20.0,18.0,4.0,2.0,1.0,0.0
6,"Stassi, Max",LAA,0.0,0.0,1.0,3.0,5.0,10.0,11.0,2.0,0.0
7,"Marsh, Brandon",LAA,6.0,4.0,0.0,0.0,7.0,20.0,4.0,7.0,0.0
8,"Fletcher, David",LAA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
9,"Rojas, Jose",LAA,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
10,"Suzuki, Kurt",LAA,0.0,0.0,0.0,0.0,0.0,3.0,11.0,3.0,0.0
11,"Wade, Tyler",LAA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,10.0
12,"Mayfield, Jack",LAA,0.0,0.0,0.0,3.0,3.0,5.0,6.0,0.0,0.0
13,"Velazquez, Andrew",LAA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,42.0
14,"Ward, Taylor",LAA,26.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
15,"Wallach, Chad",LAA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0
16,"Rengifo, Luis",LAA,3.0,2.0,0.0,0.0,8.0,5.0,2.0,3.0,0.0
17,"Whitefield, Aaron",LAA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
18,"Romine, Austin",LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
19,"Lagares, Juan",LAA,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0
20,"Thomas, Dillon",LAA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,"Altuve, Jose",HOU,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"Brantley, Michael",HOU,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Bregman, Alex",HOU,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Alvarez, Yordan",HOU,0.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0
25,"Gurriel, Yuli",HOU,0.0,0.0,1.0,2.0,41.0,7.0,0.0,0.0,0.0
26,"Tucker, Kyle",HOU,0.0,1.0,0.0,4.0,13.0,35.0,0.0,0.0,0.0
27,"Peña, Jeremy",HOU,4.0,3.0,0.0,0.0,0.0,6.0,26.0,9.0,2.0
28,"McCormick, Chas",HOU,7.0,0.0,0.0,0.0,0.0,1.0,11.0,16.0,3.0
29,"Maldonado, Martín",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
30,"Díaz, Aledmys",HOU,0.0,0.0,2.0,1.0,5.0,7.0,11.0,0.0,0.0
31,"Siri, Jose",HOU,4.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,8.0
32,"Goodrum, Niko",HOU,0.0,2.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0
33,"Castro, Jason",HOU,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,2.0
34,"Matijevic, J.J.",HOU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,"Dubón, Mauricio",HOU,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0
36,"Kemp, Tony",OAK,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
37,"McKinney, Billy",OAK,0.0,1.0,2.0,4.0,1.0,2.0,5.0,0.0,0.0
38,"Murphy, Sean",OAK,0.0,1.0,17.0,20.0,9.0,2.0,4.0,1.0,0.0
39,"Pinder, Chad",OAK,5.0,6.0,8.0,3.0,5.0,7.0,4.0,0.0,0.0
40,"Brown, Seth",OAK,0.0,0.0,1.0,22.0,11.0,11.0,1.0,0.0,0.0
41,"Andrus, Elvis",OAK,0.0,8.0,0.0,0.0,6.0,14.0,13.0,12.0,1.0
42,"Smith, Kevin",OAK,0.0,0.0,0.0,0.0,2.0,6.0,10.0,19.0,5.0
43,"Piscotty, Stephen",OAK,0.0,0.0,1.0,3.0,6.0,1.0,0.0,3.0,0.0
44,"Pache, Cristian",OAK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,37.0
45,"Lowrie, Jed",OAK,0.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
46,"Allen, Austin",OAK,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
47,"Vogt, Stephen",OAK,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0
48,"Neuse, Sheldon",OAK,5.0,25.0,1.0,1.0,4.0,0.0,5.0,2.0,2.0
49,"Bethancourt, Christian",OAK,0.0,0.0,1.0,4.0,11.0,11.0,2.0,0.0,0.0
50,"Jackson, Drew",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,"Allen, Nick",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
52,"McDonald, Mickey",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
53,"Lopes, Christian",OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
54,"Laureano, Ramón",OAK,4.0,7.0,10.0,2.0,5.0,2.0,0.0,0.0,0.0
55,"Barrera, Luis",OAK,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,4.0
56,"Davidson, Matt",OAK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
57,"Springer, George",TOR,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"Bichette, Bo",TOR,0.0,50.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
59,"Guerrero Jr., Vladimir",TOR,0.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"Hernández, Teoscar",TOR,0.0,0.0,2.0,28.0,3.0,0.0,0.0,0.0,0.0
61,"Gurriel Jr., Lourdes",TOR,0.0,0.0,1.0,17.0,14.0,7.0,5.0,8.0,0.0
