date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-08-16, Luis Arraez, Carlos Correa, Byron Buxton, Jose Miranda, Max Kepler, Gio Urshela, Nick Gordon, Gilberto Celestino, Sandy Leon,
2022-08-17, Byron Buxton, Carlos Correa, Luis Arraez, Jose Miranda, Gio Urshela, Gilberto Celestino, Gary Sanchez, Max Kepler, Nick Gordon,
2022-08-19, Byron Buxton, Carlos Correa, Luis Arraez, Jose Miranda, Gio Urshela, Jorge Polanco, Gilberto Celestino, Max Kepler, Sandy Leon,
2022-08-20, Luis Arraez, Carlos Correa, Byron Buxton, Jorge Polanco, Max Kepler, Jose Miranda, Nick Gordon, Jake Cave, Gary Sanchez,
2022-08-21, Luis Arraez, Carlos Correa, Jorge Polanco, Jose Miranda, Max Kepler, Nick Gordon, Gio Urshela, Jake Cave, Sandy Leon,
2022-08-22, Luis Arraez, Carlos Correa, Byron Buxton, Jose Miranda, Max Kepler, Gio Urshela, Nick Gordon, Tim Beckham, Sandy Leon,
2022-08-23, Luis Arraez, Carlos Correa, Jorge Polanco, Jose Miranda, Nick Gordon, Max Kepler, Gio Urshela, Jake Cave, Gary Sanchez,
2022-08-24, Jorge Polanco, Carlos Correa, Jose Miranda, Gio Urshela, Luis Arraez, Gilberto Celestino, Tim Beckham, Max Kepler, Sandy Leon,
2022-08-25, Luis Arraez, Carlos Correa, Jorge Polanco, Jose Miranda, Nick Gordon, Max Kepler, Gio Urshela, Gary Sanchez, Gilberto Celestino,
2022-08-26, Kyle Garlick, Carlos Correa, Jose Miranda, Gio Urshela, Jorge Polanco, Gilberto Celestino, Gary Sanchez, Nick Gordon, Sandy Leon,
2022-08-27, Luis Arraez, Carlos Correa, Jorge Polanco, Jose Miranda, Nick Gordon, Gio Urshela, Max Kepler, Gilberto Celestino, Sandy Leon,
2022-08-28, Luis Arraez, Carlos Correa, Max Kepler, Jose Miranda, Nick Gordon, Gio Urshela, Jake Cave, Gary Sanchez, Gilberto Celestino,
2022-08-29, Luis Arraez, Carlos Correa, Max Kepler, Jose Miranda, Nick Gordon, Gio Urshela, Jake Cave, Gilberto Celestino, Sandy Leon,
2022-08-30, Luis Arraez, Carlos Correa, Max Kepler, Jose Miranda, Nick Gordon, Gio Urshela, Jake Cave, Gilberto Celestino, Gary Sanchez,
2022-08-31, Luis Arraez, Carlos Correa, Jose Miranda, Max Kepler, Kyle Garlick, Gio Urshela, Nick Gordon, Gilberto Celestino, Sandy Leon,
2022-09-02, Luis Arraez, Carlos Correa, Max Kepler, Jose Miranda, Nick Gordon, Gio Urshela, Jake Cave, Gary Sanchez, Gilberto Celestino,
2022-09-03, Luis Arraez, Carlos Correa, Max Kepler, Jose Miranda, Nick Gordon, Gio Urshela, Jake Cave, Gary Sanchez, Gilberto Celestino,
2022-09-04, Luis Arraez, Carlos Correa, Jose Miranda, Max Kepler, Gio Urshela, Kyle Garlick, Nick Gordon, Gary Sanchez, Gilberto Celestino,
