date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-07-07, Rafael Ortega, Nico Hoerner, Ian Happ, Seiya Suzuki, Patrick Wisdom, Alfonso Rivas III, Yan Gomes, Christopher Morel, Andrelton Simmons,
2022-07-08, Christopher Morel, Ian Happ, Patrick Wisdom, Seiya Suzuki, Nico Hoerner, Yan Gomes, P.J. Higgins, Nelson Velazquez, David Bote,
2022-07-09, Christopher Morel, Willson Contreras, Patrick Wisdom, Seiya Suzuki, Nico Hoerner, Ian Happ, Yan Gomes, P.J. Higgins, Nelson Velazquez,
2022-07-10, Christopher Morel, Willson Contreras, Ian Happ, Patrick Wisdom, Nico Hoerner, P.J. Higgins, Nelson Velazquez, David Bote, Andrelton Simmons,
2022-07-12, Rafael Ortega, Willson Contreras, Ian Happ, Seiya Suzuki, Patrick Wisdom, Nico Hoerner, Alfonso Rivas III, Yan Gomes, David Bote,
2022-07-13, Rafael Ortega, Willson Contreras, Ian Happ, Seiya Suzuki, Nico Hoerner, Patrick Wisdom, Alfonso Rivas III, Nelson Velazquez, Christopher Morel,
2022-07-14, Rafael Ortega, Willson Contreras, Ian Happ, Seiya Suzuki, Nico Hoerner, Patrick Wisdom, Alfonso Rivas III, Yan Gomes, Christopher Morel,
2022-07-16a, Rafael Ortega, Willson Contreras, Ian Happ, Seiya Suzuki, Nico Hoerner, Frank Schwindel, Patrick Wisdom, P.J. Higgins, Christopher Morel,
2022-07-16b, Rafael Ortega, Ian Happ, Seiya Suzuki, Nico Hoerner, Frank Schwindel, Patrick Wisdom, Alfonso Rivas III, Yan Gomes, David Bote,
2022-07-17, Christopher Morel, Willson Contreras, Ian Happ, Seiya Suzuki, Nico Hoerner, Frank Schwindel, Patrick Wisdom, David Bote, Nelson Velazquez,
2022-07-22, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Patrick Wisdom, Frank Schwindel, Alfonso Rivas III, Christopher Morel,
2022-07-23, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Patrick Wisdom, Alfonso Rivas III, David Bote, Christopher Morel,
2022-07-24, Christopher Morel, Nico Hoerner, Patrick Wisdom, Seiya Suzuki, Ian Happ, Frank Schwindel, Yan Gomes, David Bote, Nelson Velazquez,
2022-07-25, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Patrick Wisdom, Frank Schwindel, Alfonso Rivas III, Christopher Morel,
2022-07-26, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Patrick Wisdom, Yan Gomes, Alfonso Rivas III, Christopher Morel,
2022-07-28, Christopher Morel, Willson Contreras, Ian Happ, Seiya Suzuki, Nico Hoerner, Patrick Wisdom, Frank Schwindel, Yan Gomes, Nelson Velazquez,
2022-07-29, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Patrick Wisdom, Frank Schwindel, Alfonso Rivas III, Christopher Morel,
2022-07-30, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Patrick Wisdom, Yan Gomes, Alfonso Rivas III, David Bote,
2022-07-31, Christopher Morel, Willson Contreras, Ian Happ, Seiya Suzuki, Nico Hoerner, Patrick Wisdom, Nelson Velazquez, David Bote, P.J. Higgins,
2022-08-02, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Patrick Wisdom, Frank Schwindel, Yan Gomes, Zach McKinstry,
2022-08-04a, Christopher Morel, Willson Contreras, Patrick Wisdom, Seiya Suzuki, Nico Hoerner, Nelson Velazquez, Frank Schwindel, P.J. Higgins, Nick Madrigal,
2022-08-04b, Rafael Ortega, Willson Contreras, Ian Happ, Seiya Suzuki, Nico Hoerner, Patrick Wisdom, Zach McKinstry, Nelson Velazquez, David Bote,
2022-08-05, Rafael Ortega, Willson Contreras, Patrick Wisdom, Ian Happ, Nelson Velazquez, Yan Gomes, Zach McKinstry, Christopher Morel, Nick Madrigal,
2022-08-06, Rafael Ortega, Willson Contreras, Seiya Suzuki, Ian Happ, Nico Hoerner, Frank Schwindel, P.J. Higgins, Zach McKinstry, Christopher Morel,
2022-08-07, Nick Madrigal, Willson Contreras, Seiya Suzuki, Patrick Wisdom, Nico Hoerner, Ian Happ, Yan Gomes, Frank Schwindel, Nelson Velazquez,
2022-08-08, Rafael Ortega, Willson Contreras, Ian Happ, Seiya Suzuki, Patrick Wisdom, Nico Hoerner, Nelson Velazquez, Nick Madrigal, Christopher Morel,
2022-08-09, Rafael Ortega, Willson Contreras, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Patrick Wisdom, Zach McKinstry, Christopher Morel,
2022-08-10, Rafael Ortega, Ian Happ, Franmil Reyes, Seiya Suzuki, Nico Hoerner, Zach McKinstry, Yan Gomes, P.J. Higgins, Nick Madrigal,
2022-08-11, Nick Madrigal, Willson Contreras, Patrick Wisdom, Seiya Suzuki, Nico Hoerner, Ian Happ, Nelson Velazquez, P.J. Higgins, Christopher Morel,
2022-08-13, Nick Madrigal, Willson Contreras, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Patrick Wisdom, Nelson Velazquez, Zach McKinstry,
2022-08-14, Rafael Ortega, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Patrick Wisdom, Zach McKinstry, Yan Gomes, Christopher Morel,
2022-08-15, Nick Madrigal, Willson Contreras, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Zach McKinstry, Patrick Wisdom, Christopher Morel,
2022-08-16, Nick Madrigal, Willson Contreras, Patrick Wisdom, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Nelson Velazquez, P.J. Higgins, Christopher Morel,
2022-08-17, Zach McKinstry, Nico Hoerner, Seiya Suzuki, Ian Happ, Franmil Reyes, Rafael Ortega, Patrick Wisdom, Yan Gomes, P.J. Higgins,
2022-08-18, Nick Madrigal, Willson Contreras, Ian Happ, Franmil Reyes, Nico Hoerner, Nelson Velazquez, P.J. Higgins, Zach McKinstry, Christopher Morel,
2022-08-19, Nick Madrigal, Willson Contreras, Patrick Wisdom, Seiya Suzuki, Franmil Reyes, Ian Happ, Nelson Velazquez, P.J. Higgins, Christopher Morel,
2022-08-20, Nick Madrigal, Willson Contreras, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Patrick Wisdom, Zach McKinstry, Christopher Morel,
2022-08-21, Nick Madrigal, Nico Hoerner, Ian Happ, Seiya Suzuki, Franmil Reyes, Rafael Ortega, Yan Gomes, P.J. Higgins, Christopher Morel,
2022-08-22, Nick Madrigal, Willson Contreras, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Nelson Velazquez, P.J. Higgins, Christopher Morel,
2022-08-23a, Nick Madrigal, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Patrick Wisdom, P.J. Higgins, Nelson Velazquez, Christopher Morel,
2022-08-23b, Zach McKinstry, Nico Hoerner, Ian Happ, Seiya Suzuki, Franmil Reyes, Rafael Ortega, Yan Gomes, P.J. Higgins, Christopher Morel,
2022-08-24, Nick Madrigal, Ian Happ, Franmil Reyes, Nico Hoerner, Patrick Wisdom, Rafael Ortega, Yan Gomes, Nelson Velazquez, Zach McKinstry,
2022-08-25, Zach McKinstry, Nico Hoerner, Seiya Suzuki, Ian Happ, Franmil Reyes, P.J. Higgins, Patrick Wisdom, Nelson Velazquez, Christopher Morel,
2022-08-26, Nick Madrigal, Willson Contreras, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Zach McKinstry, Zach McKinstry, P.J. Higgins,
2022-08-27, Nick Madrigal, Willson Contreras, Ian Happ, Seiya Suzuki, Franmil Reyes, Nico Hoerner, Rafael Ortega, Alfonso Rivas III, Christopher Morel,
