date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-02-25, Jonathan India, Tyler Stephenson, Wil Myers, Chad Pinder, Will Benson, Luke Maile, Jose Barrero, Stuart Fairchild, Jason Vosler,
2023-02-26, Jake Fraley, Curt Casali, Spencer Steer, TJ Friedl, Matt Reynolds, Matt Reynolds, Elly De La Cruz, Nick Solak, Richie Martin,
2023-02-27, Jonathan India, Tyler Stephenson, Wil Myers, Chad Pinder, Kevin Newman, Will Benson, Luke Maile, Noelvi Marte, Christian Encarnacion-Strand,
2023-02-28, Jake Fraley, Tyler Stephenson, Chad Pinder, TJ Friedl, Spencer Steer, Will Benson, Jose Barrero, Luke Maile, Stuart Fairchild,
2023-03-01, Jonathan India, Curt Casali, Jason Vosler, Kevin Newman, Elly De La Cruz, Nick Solak, Alex McGarry, Henry Ramos, Michael Siani,
2023-03-03, Jonathan India, Tyler Stephenson, Wil Myers, Jake Fraley, Chad Pinder, Curt Casali, TJ Friedl, Kevin Newman, Spencer Steer,
2023-03-04a, Kevin Newman, Wil Myers, Chad Pinder, Curt Casali, Jason Vosler, Elly De La Cruz, Nick Solak, Alejo Lopez, Henry Ramos,
2023-03-04b, Jake Fraley, Jonathan India, Tyler Stephenson, TJ Friedl, Luke Maile, Spencer Steer, Jose Barrero, Christian Encarnacion-Strand, Stuart Fairchild,
2023-03-05a, Will Benson, Kevin Newman, Wil Myers, Chad Pinder, Jason Vosler, Nick Solak, Elly De La Cruz, Noelvi Marte, Austin Romine,
2023-03-05b, Jonathan India, Tyler Stephenson, Jake Fraley, TJ Friedl, Spencer Steer, Jose Barrero, Matt McLain, Michael Siani, Alex McGarry,
2023-03-06, Will Benson, Jose Barrero, Jason Vosler, Curt Casali, Nick Solak, Luke Maile, Christian Encarnacion-Strand, Richie Martin, Allan Cerda,
2023-03-07, Jonathan India, Tyler Stephenson, Wil Myers, Jake Fraley, Chad Pinder, TJ Friedl, Kevin Newman, Spencer Steer, Luke Maile,
2023-03-08, Jonathan India, Tyler Stephenson, Wil Myers, Jake Fraley, Curt Casali, Spencer Steer, Jose Barrero, Will Benson, Christian Encarnacion-Strand,
2023-03-09, Kevin Newman, TJ Friedl, Chad Pinder, Will Benson, Luke Maile, Elly De La Cruz, Alejo Lopez, Stuart Fairchild, Jason Vosler,
2023-03-10a, Jonathan India, Tyler Stephenson, Jake Fraley, Chad Pinder, Curt Casali, Kevin Newman, Will Benson, Stuart Fairchild, Noelvi Marte,
2023-03-10b, TJ Friedl, Wil Myers, Spencer Steer, Jose Barrero, Nick Solak, Elly De La Cruz, Luke Maile, Christian Encarnacion-Strand, Matt McLain,
2023-03-11, Jonathan India, Tyler Stephenson, Jake Fraley, Kevin Newman, Chad Pinder, Alejo Lopez, Stuart Fairchild, Richie Martin, Austin Romine,
2023-03-12, Will Benson, Joey Votto, Wil Myers, TJ Friedl, Curt Casali, Spencer Steer, Jose Barrero, Luke Maile, Alejo Lopez,
2023-03-13, Jonathan India, Wil Myers, Jake Fraley, Tyler Stephenson, TJ Friedl, Kevin Newman, Will Benson, Spencer Steer, Luke Maile,
2023-03-14, Jonathan India, Joey Votto, Jake Fraley, Tyler Stephenson, Chad Pinder, Will Benson, Spencer Steer, Jose Barrero, Stuart Fairchild,
2023-03-17, Jonathan India, Joey Votto, Wil Myers, Tyler Stephenson, Jake Fraley, Will Benson, Spencer Steer, Curt Casali, Jose Barrero,
2023-03-18, Kevin Newman, TJ Friedl, Chad Pinder, Luke Maile, Jason Vosler, Alejo Lopez, Stuart Fairchild, Noelvi Marte, Alex McGarry,
2023-03-19, Jonathan India, Joey Votto, Wil Myers, Tyler Stephenson, Jake Fraley, Will Benson, Spencer Steer, Chad Pinder, Jose Barrero,
2023-03-20, Jonathan India, Joey Votto, Wil Myers, Tyler Stephenson, Jake Fraley, Kevin Newman, TJ Friedl, Spencer Steer, Chad Pinder,
2023-03-22, Jonathan India, Joey Votto, Wil Myers, Tyler Stephenson, TJ Friedl, Kevin Newman, Spencer Steer, Curt Casali, Will Benson,
2023-03-23, Jonathan India, Joey Votto, Tyler Stephenson, Jake Fraley, Wil Myers, TJ Friedl, Henry Ramos, Nick Senzel, Jose Barrero,
2023-03-24, Kevin Newman, Spencer Steer, Jose Barrero, Will Benson, Curt Casali, Henry Ramos, Luke Maile, Matt Reynolds, Jason Vosler,
2023-03-25, Jonathan India, Joey Votto, Jake Fraley, Tyler Stephenson, Wil Myers, TJ Friedl, Spencer Steer, Curt Casali, Jose Barrero,
2023-03-26a, Kevin Newman, TJ Friedl, Will Benson, Luke Maile, Henry Ramos, Jason Vosler, Matt Reynolds, Matt McLain, Daniel Vellojin,
2023-03-26b, Jonathan India, Jake Fraley, Wil Myers, Tyler Stephenson, Spencer Steer, Curt Casali, Jose Barrero, Stuart Fairchild, Alejo Lopez,
