date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-03-28, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Nick Madrigal, Yan Gomes,
2024-03-30, Nico Hoerner, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Ian Happ, Garrett Cooper, Yan Gomes, Michael Busch,
2024-03-31, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Mike Tauchman, Miguel Amaya,
2024-04-01, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Mike Tauchman, Yan Gomes,
2024-04-02, Nico Hoerner, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Ian Happ, Garrett Cooper, Nick Madrigal, Miguel Amaya,
2024-04-03, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Mike Tauchman, Miguel Amaya,
2024-04-05, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Nick Madrigal, Yan Gomes,
2024-04-06, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Nick Madrigal, Yan Gomes,
2024-04-07, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Mike Tauchman, Miguel Amaya,
2024-04-08, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Mike Tauchman, Miguel Amaya,
2024-04-09, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Garrett Cooper, Yan Gomes,
2024-04-10, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Michael Busch, Dansby Swanson, Mike Tauchman, Miguel Amaya, Miles Mastrobuoni,
2024-04-12, Ian Happ, Seiya Suzuki, Cody Bellinger, Christopher Morel, Dansby Swanson, Michael Busch, Nico Hoerner, Mike Tauchman, Yan Gomes,
