date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-05-09, Charlie Blackmon, Randal Grichuk, Kris Bryant, C.J. Cron, Elias Diaz, Ryan McMahon, Jurickson Profar, Harold Castro, Ezequiel Tovar,
2023-05-10, Jurickson Profar, Ezequiel Tovar, Kris Bryant, C.J. Cron, Randal Grichuk, Ryan McMahon, Austin Wynns, Alan Trejo, Brenton Doyle,
2023-05-12, Charlie Blackmon, Jurickson Profar, Kris Bryant, C.J. Cron, Elias Diaz, Ryan McMahon, Randal Grichuk, Harold Castro, Harold Castro,
2023-05-13, Jurickson Profar, Kris Bryant, Elias Diaz, C.J. Cron, Randal Grichuk, Ryan McMahon, Ezequiel Tovar, Alan Trejo, Brenton Doyle,
2023-05-14, Charlie Blackmon, Jurickson Profar, Kris Bryant, C.J. Cron, Elias Diaz, Ryan McMahon, Ezequiel Tovar, Harold Castro, Brenton Doyle,
2023-05-15, Charlie Blackmon, Ryan McMahon, Kris Bryant, Mike Moustakas, Randal Grichuk, Harold Castro, Ezequiel Tovar, Austin Wynns, Brenton Doyle,
2023-05-16, Charlie Blackmon, Jurickson Profar, Elias Diaz, Randal Grichuk, Mike Moustakas, Michael Toglia, Brenton Doyle, Alan Trejo, Ezequiel Tovar,
2023-05-17, Charlie Blackmon, Jurickson Profar, Kris Bryant, Elias Diaz, Ryan McMahon, Harold Castro, Michael Toglia, Brenton Doyle, Alan Trejo,
2023-05-19, Charlie Blackmon, Kris Bryant, Elias Diaz, Randal Grichuk, Ryan McMahon, Alan Trejo, Brenton Doyle, Michael Toglia, Ezequiel Tovar,
2023-05-20, Charlie Blackmon, Jurickson Profar, Kris Bryant, Elias Diaz, Ryan McMahon, Randal Grichuk, Mike Moustakas, Harold Castro, Ezequiel Tovar,
2023-05-21, Jurickson Profar, Ryan McMahon, Kris Bryant, Randal Grichuk, Mike Moustakas, Brenton Doyle, Alan Trejo, Austin Wynns, Ezequiel Tovar,
2023-05-22, Charlie Blackmon, Jurickson Profar, Kris Bryant, Elias Diaz, Ryan McMahon, Harold Castro, Brenton Doyle, Michael Toglia, Ezequiel Tovar,
2023-05-23, Charlie Blackmon, Jurickson Profar, Elias Diaz, Randal Grichuk, Ryan McMahon, Harold Castro, Brenton Doyle, Michael Toglia, Ezequiel Tovar,
2023-05-24, Charlie Blackmon, Jurickson Profar, Kris Bryant, Elias Diaz, Mike Moustakas, Randal Grichuk, Ryan McMahon, Harold Castro, Ezequiel Tovar,
2023-05-25, Brenton Doyle, Kris Bryant, Elias Diaz, Randal Grichuk, Ryan McMahon, Ezequiel Tovar, Alan Trejo, Michael Toglia, Austin Wynns,
2023-05-26, Charlie Blackmon, Jurickson Profar, Kris Bryant, Elias Diaz, Ryan McMahon, Harold Castro, Nolan Jones, Alan Trejo, Ezequiel Tovar,
2023-05-27, Charlie Blackmon, Jurickson Profar, Elias Diaz, Ryan McMahon, Randal Grichuk, Harold Castro, Nolan Jones, Alan Trejo, Ezequiel Tovar,
2023-05-28, Charlie Blackmon, Jurickson Profar, Kris Bryant, Ryan McMahon, Randal Grichuk, Harold Castro, Nolan Jones, Ezequiel Tovar, Austin Wynns,
2023-05-29, Jurickson Profar, Kris Bryant, Ryan McMahon, Elias Diaz, Randal Grichuk, Harold Castro, Mike Moustakas, Brenton Doyle, Ezequiel Tovar,
2023-05-30, Jurickson Profar, Randal Grichuk, Ryan McMahon, Elias Diaz, Kris Bryant, Harold Castro, Nolan Jones, Brenton Doyle, Ezequiel Tovar,
2023-05-31, Randal Grichuk, Ezequiel Tovar, Ryan McMahon, Elias Diaz, Elehuris Montero, Nolan Jones, Brenton Doyle, Alan Trejo, Austin Wynns,
2023-06-01, Charlie Blackmon, Jurickson Profar, Ryan McMahon, Elias Diaz, Harold Castro, Mike Moustakas, Nolan Jones, Brenton Doyle, Ezequiel Tovar,
2023-06-02, Charlie Blackmon, Jurickson Profar, Ryan McMahon, Elias Diaz, Randal Grichuk, Harold Castro, Nolan Jones, Brenton Doyle, Ezequiel Tovar,
2023-06-03, Charlie Blackmon, Jurickson Profar, Ryan McMahon, Elias Diaz, Randal Grichuk, Elehuris Montero, Brenton Doyle, Alan Trejo, Ezequiel Tovar,
2023-06-04, Brenton Doyle, Jurickson Profar, Ryan McMahon, Mike Moustakas, Nolan Jones, Harold Castro, Elehuris Montero, Ezequiel Tovar, Austin Wynns,
2023-06-06, Charlie Blackmon, Jurickson Profar, Ryan McMahon, Elias Diaz, Randal Grichuk, Nolan Jones, Brenton Doyle, Alan Trejo, Ezequiel Tovar,
2023-06-07, Charlie Blackmon, Jurickson Profar, Ryan McMahon, Randal Grichuk, Mike Moustakas, Nolan Jones, Harold Castro, Ezequiel Tovar, Austin Wynns,
2023-06-08, Charlie Blackmon, Jurickson Profar, Ryan McMahon, Elias Diaz, Randal Grichuk, Nolan Jones, Ezequiel Tovar, Harold Castro, Brenton Doyle,
2023-06-09, Charlie Blackmon, Jurickson Profar, Ryan McMahon, Elias Diaz, Mike Moustakas, Randal Grichuk, Nolan Jones, Harold Castro, Ezequiel Tovar,
2023-06-10, Jurickson Profar, Randal Grichuk, Ryan McMahon, Elias Diaz, Elehuris Montero, Nolan Jones, Ezequiel Tovar, Alan Trejo, Brenton Doyle,
2023-06-11, Jurickson Profar, Ezequiel Tovar, Ryan McMahon, Randal Grichuk, Elehuris Montero, Nolan Jones, Coco Montes, Brenton Doyle, Austin Wynns,
2023-06-12, Jurickson Profar, Ezequiel Tovar, Ryan McMahon, Elias Diaz, Randal Grichuk, Nolan Jones, Coco Montes, Elehuris Montero, Brenton Doyle,
2023-06-13, Jurickson Profar, Ezequiel Tovar, Ryan McMahon, Elias Diaz, Nolan Jones, Randal Grichuk, Mike Moustakas, Harold Castro, Brenton Doyle,
2023-06-14, Nolan Jones, Ezequiel Tovar, Ryan McMahon, Elias Diaz, Randal Grichuk, Harold Castro, Elehuris Montero, Brenton Doyle, Austin Wynns,
2023-06-15, Jurickson Profar, Ezequiel Tovar, Ryan McMahon, Elias Diaz, Nolan Jones, Jorge Alfaro, Coco Montes, Elehuris Montero, Brenton Doyle,
2023-06-16, Jurickson Profar, Ezequiel Tovar, Elias Diaz, Randal Grichuk, Nolan Jones, Jorge Alfaro, Elehuris Montero, Coco Montes, Brenton Doyle,
2023-06-17, Jurickson Profar, Ezequiel Tovar, Ryan McMahon, Elias Diaz, Nolan Jones, Randal Grichuk, Mike Moustakas, Jorge Alfaro, Harold Castro,
2023-06-18, Jurickson Profar, Ezequiel Tovar, Ryan McMahon, Elias Diaz, Nolan Jones, Mike Moustakas, Randal Grichuk, Harold Castro, Brenton Doyle,
2023-06-19, Jurickson Profar, Randal Grichuk, Ryan McMahon, Elias Diaz, Jorge Alfaro, Nolan Jones, Brenton Doyle, Coco Montes, Connor Kaiser,
2023-06-20, Jurickson Profar, Nolan Jones, Ryan McMahon, Elias Diaz, Mike Moustakas, Jorge Alfaro, Harold Castro, Brenton Doyle, Coco Montes,
