date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-02-21a, Harry Ford, Joey Wiemer, Matt Mervis, Trey Lipscomb, Phillip Glasser, Sergio Alcantara, Maxwell Romero Jr., Jack Rogers, Sam Petersen,
2026-02-21b, CJ Abrams, Dylan Crews, Keibert Ruiz, Riley Adams, Jose Tena, Andrew Pinckney, Abimelec Ortiz, Orelvis Martinez, Christian Franklin,
2026-02-22, Nasim Nunez, James Wood, Daylen Lile, Brady House, Harry Ford, Keibert Ruiz, Robert Hassell III, Andres Chaparro, Seaver King,
2026-02-23, Dylan Crews, CJ Abrams, Drew Millas, Joey Wiemer, Jose Tena, Abimelec Ortiz, Orelvis Martinez, Yohandy Morales, Christian Franklin,
2026-02-24, Nasim Nunez, James Wood, Daylen Lile, Brady House, Keibert Ruiz, Andres Chaparro, Robert Hassell III, Harry Ford, Seaver King,
2026-02-25, CJ Abrams, Dylan Crews, Keibert Ruiz, Joey Wiemer, Jose Tena, Trey Lipscomb, Abimelec Ortiz, Christian Franklin, Tres Barrera,
2026-02-26, Nasim Nunez, James Wood, Daylen Lile, Brady House, Robert Hassell III, Andres Chaparro, Riley Adams, Seaver King, Caleb Lomavita,
2026-02-27, CJ Abrams, Jacob Young, Dylan Crews, Luis Garcia Jr., Keibert Ruiz, Jose Tena, Joey Wiemer, Abimelec Ortiz, Matt Mervis,
2026-02-28, Nasim Nunez, James Wood, Daylen Lile, Brady House, Robert Hassell III, Andres Chaparro, Harry Ford, Riley Adams, Seaver King,
2026-03-01, CJ Abrams, Luis Garcia Jr., Christian Franklin, Robert Hassell III, Jose Tena, Drew Millas, Joey Wiemer, Abimelec Ortiz, Warming Bernabel,
2026-03-02, Nasim Nunez, CJ Abrams, James Wood, Brady House, Daylen Lile, Keibert Ruiz, Jose Tena, Andres Chaparro, Joey Wiemer,
2026-03-05, Joey Wiemer, Seaver King, Keibert Ruiz, Andres Chaparro, Jose Tena, Robert Hassell III, Christian Franklin, Trey Lipscomb, Caleb Lomavita,
2026-03-06, Dylan Crews, CJ Abrams, Brady House, James Wood, Luis Garcia Jr., Daylen Lile, Nasim Nunez, Abimelec Ortiz, Riley Adams,
2026-03-07, James Wood, Dylan Crews, CJ Abrams, Daylen Lile, Luis Garcia Jr., Brady House, Andres Chaparro, Jose Tena, Drew Millas,
2026-03-08, Nasim Nunez, Robert Hassell III, Keibert Ruiz, Andres Chaparro, Drew Millas, Jose Tena, Joey Wiemer, Yohandy Morales, Christian Franklin,
2026-03-10, CJ Abrams, James Wood, Dylan Crews, Luis Garcia Jr., Daylen Lile, Brady House, Jose Tena, Drew Millas, Abimelec Ortiz,
2026-03-11, Nasim Nunez, James Wood, Daylen Lile, Andres Chaparro, Keibert Ruiz, Jose Tena, Joey Wiemer, Seaver King, Matt Mervis,
2026-03-12, CJ Abrams, Luis Garcia Jr., Dylan Crews, Keibert Ruiz, Brady House, Nasim Nunez, Robert Hassell III, Andres Chaparro, Christian Franklin,
2026-03-13, CJ Abrams, James Wood, Daylen Lile, Luis Garcia Jr., Dylan Crews, Jose Tena, Nasim Nunez, Drew Millas, Yohandy Morales,
2026-03-14, Jose Tena, Harry Ford, Brady House, Andres Chaparro, Robert Hassell III, Abimelec Ortiz, Joey Wiemer, Christian Franklin, Eli Willits,
2026-03-15, CJ Abrams, James Wood, Keibert Ruiz, Daylen Lile, Luis Garcia Jr., Dylan Crews, Brady House, Nasim Nunez, Joey Wiemer,
2026-03-16, James Wood, Jacob Young, Dylan Crews, Andres Chaparro, Daylen Lile, CJ Abrams, Luis Garcia Jr., Jose Tena, Riley Adams,
2026-03-17, Nasim Nunez, Christian Franklin, Andres Chaparro, Brady House, Keibert Ruiz, Drew Millas, Jose Tena, Joey Wiemer, Robert Hassell III,
2026-03-19, James Wood, Nasim Nunez, Jacob Young, Brady House, Daylen Lile, Luis Garcia Jr., CJ Abrams, Keibert Ruiz, Dylan Crews,
2026-03-20, James Wood, Jacob Young, Daylen Lile, Andres Chaparro, Brady House, CJ Abrams, Christian Franklin, Drew Millas, Jose Tena,
2026-03-21, Nasim Nunez, Jose Tena, Keibert Ruiz, Luis Garcia Jr., Andres Chaparro, Joey Wiemer, Christian Franklin, Seaver King, Sam Petersen,
