date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-02-20, Evan Carter, Corey Seager, Joc Pederson, Jake Burger, Josh Jung, Josh Smith, Kyle Higashioka, Alejandro Osuna, Michael Helman,
2026-02-21, Sam Haggerty, Ezequiel Duran, Danny Jansen, Justin Foscue, Jonah Bride, Mark Canha, Cooper Johnson, Tyler Wade, Aaron Zavala,
2026-02-22, Evan Carter, Corey Seager, Joc Pederson, Jake Burger, Josh Jung, Josh Smith, Kyle Higashioka, Alejandro Osuna, Michael Helman,
2026-02-23, Sam Haggerty, Danny Jansen, Ezequiel Duran, Justin Foscue, Mark Canha, Tyler Wade, Cameron Cauley, Jose Herrera, Andrew Velazquez,
2026-02-24, Evan Carter, Wyatt Langford, Corey Seager, Jake Burger, Joc Pederson, Josh Jung, Josh Smith, Kyle Higashioka, Alejandro Osuna,
2026-02-25, Sam Haggerty, Danny Jansen, Michael Helman, Ezequiel Duran, Tyler Wade, Mark Canha, Jonah Bride, Willie MacIver, Richie Martin,
