date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-02-21, Roman Anthony, Ceddanne Rafaela, Wilyer Abreu, Willson Contreras, Masataka Yoshida, Connor Wong, Andruw Monasterio, Isiah Kiner-Falefa, Brendan Rodgers,
2026-02-22, Roman Anthony, Trevor Story, Jarren Duran, Willson Contreras, Wilyer Abreu, Caleb Durbin, Ceddanne Rafaela, Carlos Narvaez, Isiah Kiner-Falefa,
2026-02-23, Nate Eaton, Nick Sogard, Andruw Monasterio, Kristian Campbell, Matt Thaiss, Carlos Narvaez, Brendan Rodgers, Tsung-Che Cheng, Braiden Ward,
2026-02-24, Roman Anthony, Trevor Story, Jarren Duran, Willson Contreras, Wilyer Abreu, Caleb Durbin, Ceddanne Rafaela, Isiah Kiner-Falefa, Connor Wong,
2026-02-25, Roman Anthony, Ceddanne Rafaela, Jarren Duran, Carlos Narvaez, Wilyer Abreu, Nick Sogard, Andruw Monasterio, Nathan Hickey, Brendan Rodgers,
2026-02-26, Nate Eaton, Trevor Story, Willson Contreras, Caleb Durbin, Connor Wong, Kristian Campbell, Andruw Monasterio, Allan Castro, Braiden Ward,
2026-02-27, Roman Anthony, Ceddanne Rafaela, Jarren Duran, Wilyer Abreu, Isiah Kiner-Falefa, Marcelo Mayer, Nick Sogard, Vinny Capra, Jason Delay,
2026-02-28, Roman Anthony, Trevor Story, Jarren Duran, Willson Contreras, Caleb Durbin, Ceddanne Rafaela, Carlos Narvaez, Nate Eaton, Nick Sogard,
2026-03-01, Wilyer Abreu, Trevor Story, Willson Contreras, Caleb Durbin, Marcelo Mayer, Carlos Narvaez, Kristian Campbell, Isiah Kiner-Falefa, Allan Castro,
2026-03-02, Braiden Ward, Nick Sogard, Matt Thaiss, Mickey Gasper, Vinny Capra, Allan Castro, Tyler McDonough, Max Ferguson, Franklin Arias,
2026-03-04, Kristian Campbell, Trevor Story, Marcelo Mayer, Caleb Durbin, Andruw Monasterio, Carlos Narvaez, Isiah Kiner-Falefa, Tyler McDonough, Enddy Azocar,
2026-03-05, Braiden Ward, Nick Sogard, Matt Thaiss, Connor Wong, Vinny Capra, Nathan Hickey, Allan Castro, Max Ferguson, Tyler McDonough,
2026-03-06, Braiden Ward, Kristian Campbell, Max Ferguson, Connor Wong, Mickey Gasper, Nathan Hickey, Vinny Capra, Allan Castro, Tyler McDonough,
2026-03-07, Kristian Campbell, Trevor Story, Marcelo Mayer, Caleb Durbin, Carlos Narvaez, Isiah Kiner-Falefa, Mikey Romero, Justin Gonzales, Miguel Bleis,
2026-03-08, Braiden Ward, Isiah Kiner-Falefa, Andruw Monasterio, Connor Wong, Matt Thaiss, Mikey Romero, Vinny Capra, Allan Castro, Tyler McDonough,
2026-03-09, Kristian Campbell, Trevor Story, Marcelo Mayer, Caleb Durbin, Carlos Narvaez, Andruw Monasterio, Nick Sogard, Braiden Ward, Allan Castro,
2026-03-10, Kristian Campbell, Trevor Story, Marcelo Mayer, Caleb Durbin, Carlos Narvaez, Isiah Kiner-Falefa, Mickey Gasper, Braiden Ward, Tyler McDonough,
2026-03-12, Caleb Durbin, Trevor Story, Marcelo Mayer, Isiah Kiner-Falefa, Connor Wong, Andruw Monasterio, Kristian Campbell, Braiden Ward, Allan Castro,
2026-03-13, Caleb Durbin, Marcelo Mayer, Isiah Kiner-Falefa, Carlos Narvaez, Andruw Monasterio, Nate Eaton, Tsung-Che Cheng, Kristian Campbell, Braiden Ward,
2026-03-14, Braiden Ward, Ceddanne Rafaela, Matt Thaiss, Andruw Monasterio, Nick Sogard, Nathan Hickey, Vinny Capra, Tsung-Che Cheng, Allan Castro,
2026-03-15, Jarren Duran, Ceddanne Rafaela, Caleb Durbin, Isiah Kiner-Falefa, Nick Sogard, Carlos Narvaez, Connor Wong, Nate Eaton, Mikey Romero,
2026-03-17, Masataka Yoshida, Trevor Story, Jarren Duran, Caleb Durbin, Marcelo Mayer, Ceddanne Rafaela, Isiah Kiner-Falefa, Carlos Narvaez, Nate Eaton,
2026-03-18, Braiden Ward, Kristian Campbell, Jason Delay, Nathan Hickey, Allan Castro, Mikey Romero, Vinny Capra, Max Ferguson, Tsung-Che Cheng,
2026-03-19, Masataka Yoshida, Trevor Story, Jarren Duran, Willson Contreras, Caleb Durbin, Marcelo Mayer, Ceddanne Rafaela, Carlos Narvaez, Nate Eaton,
2026-03-20, Roman Anthony, Caleb Durbin, Jarren Duran, Willson Contreras, Masataka Yoshida, Isiah Kiner-Falefa, Marcelo Mayer, Ceddanne Rafaela, Mickey Gasper,
