team,player,games_vs_lhp,start_pct_vs_lhp,games_vs_rhp,start_pct_vs_rhp,usage_label
SF,Daniel Susac,30,0.5,81,0.2962962962962963,extended_absence_candidate
SF,Eric Haase,20,0.5,46,0.2826086956521739,extended_absence_candidate
SF,Christian Koss,36,0.3333333333333333,90,0.26666666666666666,extended_absence_candidate
SF,Jesus Rodriguez,17,0.17647058823529413,55,0.2,extended_absence_candidate
SF,Will Brennan,9,0.0,29,0.20689655172413793,extended_absence_candidate
SF,Buddy Kennedy,24,0.25,49,0.04081632653061224,extended_absence_candidate
CLE,Chase DeLauter,44,0.7045454545454546,88,0.8522727272727273,extended_absence_candidate
CLE,Jose Ramirez,44,0.7045454545454546,88,0.7613636363636364,extended_absence_candidate
CLE,Angel Martinez,44,0.6818181818181818,86,0.5232558139534884,extended_absence_candidate
CLE,Petey Halpin,33,0.21212121212121213,63,0.4603174603174603,extended_absence_candidate
CLE,Gabriel Arias,38,0.3157894736842105,70,0.3,extended_absence_candidate
SEA,Cal Raleigh,43,0.7209302325581395,94,0.7446808510638298,extended_absence_candidate
SEA,Taylor Ward,12,0.75,15,0.7333333333333333,extended_absence_candidate
SEA,J.P. Crawford,41,0.5853658536585366,91,0.7252747252747253,extended_absence_candidate
SEA,Brendan Donovan,39,0.2564102564102564,88,0.29545454545454547,extended_absence_candidate
SEA,Victor Robles,41,0.3902439024390244,86,0.2441860465116279,extended_absence_candidate
SEA,Leo Rivas,41,0.3170731707317073,88,0.2159090909090909,extended_absence_candidate
SEA,Jhonny Pereda,34,0.29411764705882354,72,0.19444444444444445,extended_absence_candidate
SEA,Patrick Wisdom,28,0.14285714285714285,57,0.10526315789473684,extended_absence_candidate
MIA,Agustin Ramirez,38,0.5,101,0.25742574257425743,extended_absence_candidate
MIA,Deyvison De Los Santos,31,0.0967741935483871,97,0.010309278350515464,extended_absence_candidate
NYM,Marcus Semien,39,0.7948717948717948,95,0.8210526315789474,extended_absence_candidate
NYM,Francisco Alvarez,39,0.6923076923076923,94,0.6170212765957447,extended_absence_candidate
NYM,Francisco Lindor,39,0.6153846153846154,95,0.5789473684210527,extended_absence_candidate
NYM,Luis Torrens,39,0.5128205128205128,93,0.44086021505376344,extended_absence_candidate
NYM,Luis Robert Jr.,38,0.42105263157894735,93,0.3333333333333333,extended_absence_candidate
NYM,Jorge Polanco,33,0.21212121212121213,88,0.3181818181818182,extended_absence_candidate
NYM,Ronny Mauricio,21,0.09523809523809523,53,0.1509433962264151,extended_absence_candidate
NYM,Vidal Brujan,9,0.2222222222222222,24,0.041666666666666664,extended_absence_candidate
NYM,Nick Morabito,27,0.07407407407407407,62,0.03225806451612903,extended_absence_candidate
WSH,Brady House,41,0.5365853658536586,96,0.40625,extended_absence_candidate
BAL,Adley Rutschman,29,0.7586206896551724,66,0.6060606060606061,extended_absence_candidate
BAL,Blaze Alexander,42,0.6190476190476191,93,0.41935483870967744,extended_absence_candidate
BAL,Jeremiah Jackson,37,0.5675675675675675,82,0.4268292682926829,extended_absence_candidate
BAL,Ryan Mountcastle,0,,12,0.3333333333333333,extended_absence_candidate
BAL,Chadwick Tromp,9,0.3333333333333333,16,0.25,extended_absence_candidate
BAL,Sam Huff,31,0.12903225806451613,50,0.06,extended_absence_candidate
BAL,Johnathan Rodriguez,31,0.12903225806451613,50,0.0,extended_absence_candidate
SD,Ty France,34,0.8529411764705882,103,0.6504854368932039,extended_absence_candidate
SD,Jake Cronenworth,35,0.5142857142857142,103,0.6213592233009708,extended_absence_candidate
SD,Freddy Fermin,34,0.5882352941176471,103,0.4368932038834951,extended_absence_candidate
SD,Luis Campusano,34,0.29411764705882354,103,0.3592233009708738,extended_absence_candidate
SD,Samad Taylor,20,0.4,56,0.30357142857142855,extended_absence_candidate
SD,Bryce Johnson,14,0.2857142857142857,47,0.1702127659574468,extended_absence_candidate
PHI,J.T. Realmuto,48,0.8125,88,0.6931818181818182,extended_absence_candidate
PHI,Rafael Marchan,37,0.21621621621621623,60,0.21666666666666667,extended_absence_candidate
PHI,Garrett Stubbs,35,0.02857142857142857,75,0.2,extended_absence_candidate
PIT,Ryan O'Hearn,30,0.6666666666666666,76,0.8552631578947368,extended_absence_candidate
PIT,Konnor Griffin,20,0.8,63,0.6507936507936508,extended_absence_candidate
PIT,Jake Mangum,41,0.6341463414634146,92,0.6521739130434783,extended_absence_candidate
PIT,Oneil Cruz,41,0.4146341463414634,93,0.5913978494623656,extended_absence_candidate
PIT,Jhostynxon Garcia,20,0.25,44,0.18181818181818182,extended_absence_candidate
TEX,Alejandro Osuna,21,0.5238095238095238,63,0.6984126984126984,extended_absence_candidate
TEX,Wyatt Langford,40,0.75,95,0.5789473684210527,extended_absence_candidate
TEX,Corey Seager,40,0.5,95,0.5789473684210527,extended_absence_candidate
TEX,Danny Jansen,40,0.325,95,0.28421052631578947,extended_absence_candidate
TEX,Jarred Kelenic,16,0.0,35,0.14285714285714285,extended_absence_candidate
TB,Kenny Piper,3,0.3333333333333333,14,0.07142857142857142,extended_absence_candidate
TB,Carson Williams,33,0.15151515151515152,82,0.07317073170731707,extended_absence_candidate
BOS,Anthony Seigler,14,0.5,50,0.52,extended_absence_candidate
BOS,Nick Sogard,21,0.38095238095238093,65,0.49230769230769234,extended_absence_candidate
BOS,Connor Wong,30,0.6,98,0.3979591836734694,extended_absence_candidate
BOS,Trevor Story,31,0.3225806451612903,99,0.3434343434343434,extended_absence_candidate
BOS,Roman Anthony,31,0.1935483870967742,99,0.2727272727272727,extended_absence_candidate
CIN,Elly De La Cruz,32,0.90625,102,0.8529411764705882,extended_absence_candidate
CIN,Matt McLain,32,0.875,102,0.7352941176470589,extended_absence_candidate
CIN,Eugenio Suarez,32,0.78125,100,0.74,extended_absence_candidate
CIN,Edwin Arroyo,19,0.47368421052631576,59,0.5084745762711864,extended_absence_candidate
CIN,Ke'Bryan Hayes,30,0.5,98,0.4489795918367347,extended_absence_candidate
CIN,Noelvi Marte,26,0.5769230769230769,93,0.3870967741935484,extended_absence_candidate
CIN,Jose Trevino,31,0.25806451612903225,101,0.2871287128712871,extended_absence_candidate
CIN,P.J. Higgins,12,0.08333333333333333,41,0.1951219512195122,extended_absence_candidate
