team,player,games_vs_lhp,start_pct_vs_lhp,games_vs_rhp,start_pct_vs_rhp,usage_label
ATH,Nick Kurtz,42,0.8095238095238095,67,0.9253731343283582,losing_time
AZ,Ketel Marte,36,0.8055555555555556,102,0.8725490196078431,losing_time
LAD,Will Smith,43,0.27906976744186046,92,0.3804347826086957,losing_time
SEA,Miles Mastrobuoni,5,0.2,22,0.36363636363636365,losing_time
MIA,Kyle Stowers,31,0.6774193548387096,87,0.8850574712643678,losing_time
MIA,Connor Norby,20,0.9,60,0.7,losing_time
NYM,Juan Soto,39,0.6153846153846154,95,0.6526315789473685,losing_time
NYM,Mark Vientos,39,0.6410256410256411,89,0.39325842696629215,losing_time
WSH,James Wood,41,0.8780487804878049,97,0.7835051546391752,losing_time
COL,Kyle Karros,39,0.8717948717948718,89,0.7303370786516854,losing_time
KC,Maikel Garcia,40,0.5,86,0.5465116279069767,losing_time
DET,Riley Greene,43,0.7441860465116279,91,0.8901098901098901,losing_time
MIN,Victor Caratini,43,0.6976744186046512,92,0.5760869565217391,losing_time
